[{'label': 'fear', 'score': 0.9938428401947021}, {'label': 'neutral', 'score': 0.00176040839869529}, {'label': 'nervousness', 'score': 0.0009399746195413172}, {'label': 'approval', 'score': 0.0005978410481475294}, {'label': 'caring', 'score': 0.00045154811232350767}]
[{'label': 'fear', 'score': 0.9887378215789795}, {'label': 'nervousness', 'score': 0.0031140868086367846}, {'label': 'neutral', 'score': 0.0025937906466424465}, {'label': 'disappointment', 'score': 0.002025522757321596}, {'label': 'sadness', 'score': 0.001047306228429079}]
[{'label': 'fear', 'score': 0.9920752048492432}, {'label': 'nervousness', 'score': 0.002659262390807271}, {'label': 'neutral', 'score': 0.0020221807062625885}, {'label': 'disappointment', 'score': 0.0008765621460042894}, {'label': 'sadness', 'score': 0.0005596824921667576}]
[{'label': 'fear', 'score': 0.9905731081962585}, {'label': 'neutral', 'score': 0.00405453285202384}, {'label': 'nervousness', 'score': 0.0024478239938616753}, {'label': 'disappointment', 'score': 0.0004990030429325998}, {'label': 'sadness', 'score': 0.00047393832937814295}]
[{'label': 'fear', 'score': 0.9806070327758789}, {'label': 'neutral', 'score': 0.01114320196211338}, {'label': 'nervousness', 'score': 0.0035325561184436083}, {'label': 'approval', 'score': 0.0009543760679662228}, {'label': 'disappointment', 'score': 0.0008196415728889406}]
[{'label': 'fear', 'score': 0.9813845157623291}, {'label': 'neutral', 'score': 0.01068954635411501}, {'label': 'nervousness', 'score': 0.0034406462218612432}, {'label': 'approval', 'score': 0.0010688704205676913}, {'label': 'sadness', 'score': 0.0006780641269870102}]
[{'label': 'fear', 'score': 0.9882311224937439}, {'label': 'neutral', 'score': 0.0055124699138104916}, {'label': 'nervousness', 'score': 0.0029523761477321386}, {'label': 'sadness', 'score': 0.0006823546136729419}, {'label': 'approval', 'score': 0.0005188073846511543}]
[{'label': 'fear', 'score': 0.9583567976951599}, {'label': 'neutral', 'score': 0.019232675433158875}, {'label': 'sadness', 'score': 0.007135247346013784}, {'label': 'nervousness', 'score': 0.005665064789354801}, {'label': 'disappointment', 'score': 0.004737681243568659}]
[{'label': 'fear', 'score': 0.7669385075569153}, {'label': 'neutral', 'score': 0.10366366058588028}, {'label': 'disappointment', 'score': 0.06100723147392273}, {'label': 'sadness', 'score': 0.041228871792554855}, {'label': 'nervousness', 'score': 0.008390004746615887}]
[{'label': 'fear', 'score': 0.5654154419898987}, {'label': 'disappointment', 'score': 0.1925830990076065}, {'label': 'neutral', 'score': 0.13777443766593933}, {'label': 'sadness', 'score': 0.0523894764482975}, {'label': 'disgust', 'score': 0.010769796557724476}]
[{'label': 'fear', 'score': 0.43731769919395447}, {'label': 'disappointment', 'score': 0.40534570813179016}, {'label': 'neutral', 'score': 0.05782872810959816}, {'label': 'sadness', 'score': 0.04334847256541252}, {'label': 'disgust', 'score': 0.014540583826601505}]
[{'label': 'fear', 'score': 0.631348192691803}, {'label': 'disappointment', 'score': 0.2431340366601944}, {'label': 'sadness', 'score': 0.05127215012907982}, {'label': 'neutral', 'score': 0.029880231246352196}, {'label': 'disgust', 'score': 0.01531826052814722}]
[{'label': 'fear', 'score': 0.7661705017089844}, {'label': 'disappointment', 'score': 0.1134827733039856}, {'label': 'sadness', 'score': 0.06557586044073105}, {'label': 'neutral', 'score': 0.021092627197504044}, {'label': 'disgust', 'score': 0.01330344844609499}]
[{'label': 'fear', 'score': 0.6461076736450195}, {'label': 'sadness', 'score': 0.1893569827079773}, {'label': 'disappointment', 'score': 0.09878666698932648}, {'label': 'neutral', 'score': 0.0374489463865757}, {'label': 'disgust', 'score': 0.010618799366056919}]
[{'label': 'fear', 'score': 0.9713549613952637}, {'label': 'neutral', 'score': 0.012348327785730362}, {'label': 'sadness', 'score': 0.006891064811497927}, {'label': 'nervousness', 'score': 0.0025611338205635548}, {'label': 'disappointment', 'score': 0.002458784496411681}]
[{'label': 'fear', 'score': 0.9583950042724609}, {'label': 'neutral', 'score': 0.02786324732005596}, {'label': 'nervousness', 'score': 0.004162803757935762}, {'label': 'sadness', 'score': 0.003792255651205778}, {'label': 'disappointment', 'score': 0.001509587629698217}]
[{'label': 'fear', 'score': 0.8297117352485657}, {'label': 'neutral', 'score': 0.12237075716257095}, {'label': 'sadness', 'score': 0.022049235180020332}, {'label': 'disappointment', 'score': 0.007578828372061253}, {'label': 'nervousness', 'score': 0.006311746779829264}]
[{'label': 'fear', 'score': 0.9337168335914612}, {'label': 'neutral', 'score': 0.016612615436315536}, {'label': 'sadness', 'score': 0.015557634644210339}, {'label': 'disappointment', 'score': 0.012596206739544868}, {'label': 'nervousness', 'score': 0.011384619399905205}]
[{'label': 'fear', 'score': 0.9711247086524963}, {'label': 'neutral', 'score': 0.009256113320589066}, {'label': 'nervousness', 'score': 0.0071397097781300545}, {'label': 'sadness', 'score': 0.004762004129588604}, {'label': 'disappointment', 'score': 0.003150238888338208}]
[{'label': 'fear', 'score': 0.9904677271842957}, {'label': 'nervousness', 'score': 0.004071590956300497}, {'label': 'neutral', 'score': 0.001971891615539789}, {'label': 'sadness', 'score': 0.0011100928531959653}, {'label': 'disappointment', 'score': 0.0006156153394840658}]
[{'label': 'fear', 'score': 0.9924065470695496}, {'label': 'nervousness', 'score': 0.003084569238126278}, {'label': 'neutral', 'score': 0.0014745803782716393}, {'label': 'sadness', 'score': 0.0008640887681394815}, {'label': 'disappointment', 'score': 0.0006076472927816212}]
[{'label': 'fear', 'score': 0.9775797724723816}, {'label': 'neutral', 'score': 0.010775786824524403}, {'label': 'nervousness', 'score': 0.004284285008907318}, {'label': 'sadness', 'score': 0.002770960796624422}, {'label': 'disappointment', 'score': 0.0013559157960116863}]
[{'label': 'neutral', 'score': 0.4216168224811554}, {'label': 'fear', 'score': 0.3553573787212372}, {'label': 'sadness', 'score': 0.12018411606550217}, {'label': 'disappointment', 'score': 0.061376895755529404}, {'label': 'nervousness', 'score': 0.009260266087949276}]
[{'label': 'neutral', 'score': 0.7442630529403687}, {'label': 'fear', 'score': 0.0973496213555336}, {'label': 'disappointment', 'score': 0.07670174539089203}, {'label': 'sadness', 'score': 0.04741546884179115}, {'label': 'caring', 'score': 0.004925319459289312}]
[{'label': 'fear', 'score': 0.8120607733726501}, {'label': 'neutral', 'score': 0.0953790694475174}, {'label': 'disappointment', 'score': 0.042555492371320724}, {'label': 'sadness', 'score': 0.02579975686967373}, {'label': 'nervousness', 'score': 0.007668284699320793}]
[{'label': 'fear', 'score': 0.8405812382698059}, {'label': 'disappointment', 'score': 0.06081016734242439}, {'label': 'neutral', 'score': 0.05321779474616051}, {'label': 'sadness', 'score': 0.023216309025883675}, {'label': 'nervousness', 'score': 0.0050103506073355675}]
[{'label': 'fear', 'score': 0.8775111436843872}, {'label': 'neutral', 'score': 0.045434482395648956}, {'label': 'disappointment', 'score': 0.03832703083753586}, {'label': 'sadness', 'score': 0.020490877330303192}, {'label': 'nervousness', 'score': 0.004202248994261026}]
[{'label': 'fear', 'score': 0.9819509983062744}, {'label': 'neutral', 'score': 0.007398044690489769}, {'label': 'sadness', 'score': 0.003298264229670167}, {'label': 'nervousness', 'score': 0.002395885530859232}, {'label': 'disappointment', 'score': 0.0019125478575006127}]
[{'label': 'fear', 'score': 0.976405143737793}, {'label': 'neutral', 'score': 0.012718016281723976}, {'label': 'sadness', 'score': 0.0033905701711773872}, {'label': 'nervousness', 'score': 0.0021781681571155787}, {'label': 'disappointment', 'score': 0.001809914712794125}]
[{'label': 'fear', 'score': 0.9784930348396301}, {'label': 'neutral', 'score': 0.010940373875200748}, {'label': 'sadness', 'score': 0.0025409299414604902}, {'label': 'disappointment', 'score': 0.0018916463013738394}, {'label': 'nervousness', 'score': 0.0017365120584145188}]
[{'label': 'fear', 'score': 0.8436760902404785}, {'label': 'neutral', 'score': 0.0959625169634819}, {'label': 'sadness', 'score': 0.01827714405953884}, {'label': 'disappointment', 'score': 0.013725081458687782}, {'label': 'caring', 'score': 0.008430599234998226}]
[{'label': 'fear', 'score': 0.9291519522666931}, {'label': 'neutral', 'score': 0.04322420805692673}, {'label': 'sadness', 'score': 0.0076833912171423435}, {'label': 'disappointment', 'score': 0.005313403904438019}, {'label': 'caring', 'score': 0.003839646466076374}]
[{'label': 'fear', 'score': 0.7449309229850769}, {'label': 'neutral', 'score': 0.09445203095674515}, {'label': 'sadness', 'score': 0.07980138063430786}, {'label': 'disappointment', 'score': 0.0339655876159668}, {'label': 'caring', 'score': 0.021769274026155472}]
[{'label': 'fear', 'score': 0.9509263038635254}, {'label': 'sadness', 'score': 0.018676888197660446}, {'label': 'disappointment', 'score': 0.014583100564777851}, {'label': 'neutral', 'score': 0.0050176093354821205}, {'label': 'nervousness', 'score': 0.003959701396524906}]
[{'label': 'fear', 'score': 0.795486330986023}, {'label': 'sadness', 'score': 0.13504928350448608}, {'label': 'disappointment', 'score': 0.02783123590052128}, {'label': 'neutral', 'score': 0.023341920226812363}, {'label': 'nervousness', 'score': 0.004490256309509277}]
[{'label': 'fear', 'score': 0.33633020520210266}, {'label': 'neutral', 'score': 0.32003024220466614}, {'label': 'sadness', 'score': 0.1702858954668045}, {'label': 'disappointment', 'score': 0.03962564095854759}, {'label': 'grief', 'score': 0.03758178651332855}]
[{'label': 'neutral', 'score': 0.506413996219635}, {'label': 'fear', 'score': 0.19182440638542175}, {'label': 'sadness', 'score': 0.07589417695999146}, {'label': 'surprise', 'score': 0.057220254093408585}, {'label': 'disappointment', 'score': 0.05209296941757202}]
[{'label': 'fear', 'score': 0.9757633209228516}, {'label': 'neutral', 'score': 0.011295425705611706}, {'label': 'sadness', 'score': 0.0034312668722122908}, {'label': 'nervousness', 'score': 0.0031242067925632}, {'label': 'disappointment', 'score': 0.0018272326560691}]
[{'label': 'fear', 'score': 0.9954617619514465}, {'label': 'disgust', 'score': 0.0012173149734735489}, {'label': 'nervousness', 'score': 0.0009864267194643617}, {'label': 'sadness', 'score': 0.00046073360135778785}, {'label': 'disappointment', 'score': 0.00042981066508218646}]
[{'label': 'neutral', 'score': 0.5661336779594421}, {'label': 'sadness', 'score': 0.3652341961860657}, {'label': 'disappointment', 'score': 0.02548188716173172}, {'label': 'grief', 'score': 0.013114594854414463}, {'label': 'realization', 'score': 0.005699025467038155}]
[{'label': 'neutral', 'score': 0.4236757159233093}, {'label': 'disappointment', 'score': 0.2548833191394806}, {'label': 'sadness', 'score': 0.24398262798786163}, {'label': 'grief', 'score': 0.014948226511478424}, {'label': 'realization', 'score': 0.008293099701404572}]
[{'label': 'neutral', 'score': 0.4997800290584564}, {'label': 'sadness', 'score': 0.17891883850097656}, {'label': 'disappointment', 'score': 0.15330292284488678}, {'label': 'surprise', 'score': 0.04270530864596367}, {'label': 'grief', 'score': 0.04236193373799324}]
[{'label': 'neutral', 'score': 0.43874064087867737}, {'label': 'sadness', 'score': 0.18801215291023254}, {'label': 'disappointment', 'score': 0.16526618599891663}, {'label': 'grief', 'score': 0.057517219334840775}, {'label': 'surprise', 'score': 0.04075518250465393}]
[{'label': 'neutral', 'score': 0.7569097280502319}, {'label': 'surprise', 'score': 0.043027009814977646}, {'label': 'grief', 'score': 0.038309577852487564}, {'label': 'disappointment', 'score': 0.030779235064983368}, {'label': 'sadness', 'score': 0.030288832262158394}]
[{'label': 'neutral', 'score': 0.7727447748184204}, {'label': 'disappointment', 'score': 0.04471747577190399}, {'label': 'sadness', 'score': 0.04273524135351181}, {'label': 'grief', 'score': 0.025374149903655052}, {'label': 'fear', 'score': 0.019210388883948326}]
[{'label': 'neutral', 'score': 0.7359827756881714}, {'label': 'optimism', 'score': 0.06339893490076065}, {'label': 'disappointment', 'score': 0.04383305460214615}, {'label': 'admiration', 'score': 0.031134024262428284}, {'label': 'grief', 'score': 0.014304693788290024}]
[{'label': 'neutral', 'score': 0.41976693272590637}, {'label': 'disappointment', 'score': 0.2794678509235382}, {'label': 'sadness', 'score': 0.08372577279806137}, {'label': 'disgust', 'score': 0.0353362038731575}, {'label': 'optimism', 'score': 0.0317133292555809}]
[{'label': 'disappointment', 'score': 0.41209080815315247}, {'label': 'neutral', 'score': 0.3645225465297699}, {'label': 'sadness', 'score': 0.11562544107437134}, {'label': 'disgust', 'score': 0.0256777536123991}, {'label': 'fear', 'score': 0.017134863883256912}]
[{'label': 'disappointment', 'score': 0.7380072474479675}, {'label': 'neutral', 'score': 0.1162479817867279}, {'label': 'sadness', 'score': 0.0832613855600357}, {'label': 'remorse', 'score': 0.012209621258080006}, {'label': 'fear', 'score': 0.010210532695055008}]
[{'label': 'disappointment', 'score': 0.5966675877571106}, {'label': 'neutral', 'score': 0.17786289751529694}, {'label': 'sadness', 'score': 0.17712874710559845}, {'label': 'remorse', 'score': 0.00938238762319088}, {'label': 'fear', 'score': 0.008929185569286346}]
[{'label': 'neutral', 'score': 0.7762776613235474}, {'label': 'disappointment', 'score': 0.11263557523488998}, {'label': 'sadness', 'score': 0.07159625738859177}, {'label': 'optimism', 'score': 0.007113859988749027}, {'label': 'fear', 'score': 0.005483012646436691}]
[{'label': 'neutral', 'score': 0.9512524008750916}, {'label': 'optimism', 'score': 0.011503261514008045}, {'label': 'disappointment', 'score': 0.00906385201960802}, {'label': 'sadness', 'score': 0.00627139862626791}, {'label': 'grief', 'score': 0.004161865450441837}]
[{'label': 'neutral', 'score': 0.9345049262046814}, {'label': 'disappointment', 'score': 0.012217603623867035}, {'label': 'optimism', 'score': 0.009994985535740852}, {'label': 'grief', 'score': 0.00715826079249382}, {'label': 'sadness', 'score': 0.006719345226883888}]
[{'label': 'neutral', 'score': 0.9491814970970154}, {'label': 'sadness', 'score': 0.021495092660188675}, {'label': 'disappointment', 'score': 0.010198328644037247}, {'label': 'caring', 'score': 0.004348420538008213}, {'label': 'optimism', 'score': 0.0029194424860179424}]
[{'label': 'neutral', 'score': 0.7188573479652405}, {'label': 'sadness', 'score': 0.18736524879932404}, {'label': 'caring', 'score': 0.02622375451028347}, {'label': 'disappointment', 'score': 0.01952340640127659}, {'label': 'grief', 'score': 0.018606431782245636}]
[{'label': 'neutral', 'score': 0.9047542214393616}, {'label': 'sadness', 'score': 0.0397687628865242}, {'label': 'disappointment', 'score': 0.03311142325401306}, {'label': 'optimism', 'score': 0.00546215521171689}, {'label': 'approval', 'score': 0.0027055556420236826}]
[{'label': 'neutral', 'score': 0.7898419499397278}, {'label': 'disappointment', 'score': 0.14138874411582947}, {'label': 'sadness', 'score': 0.051535412669181824}, {'label': 'approval', 'score': 0.0040402705781161785}, {'label': 'optimism', 'score': 0.003766416572034359}]
[{'label': 'neutral', 'score': 0.8977805376052856}, {'label': 'disappointment', 'score': 0.05134820565581322}, {'label': 'sadness', 'score': 0.03862086683511734}, {'label': 'approval', 'score': 0.0033955404069274664}, {'label': 'optimism', 'score': 0.0020335535518825054}]
[{'label': 'neutral', 'score': 0.9909237027168274}, {'label': 'disappointment', 'score': 0.002039744285866618}, {'label': 'optimism', 'score': 0.001565060461871326}, {'label': 'sadness', 'score': 0.0012230006977915764}, {'label': 'approval', 'score': 0.0009758496889844537}]
[{'label': 'neutral', 'score': 0.9811520576477051}, {'label': 'disappointment', 'score': 0.009443883784115314}, {'label': 'sadness', 'score': 0.00311431847512722}, {'label': 'optimism', 'score': 0.0016588653670623899}, {'label': 'approval', 'score': 0.0013894567964598536}]
[{'label': 'neutral', 'score': 0.9927452206611633}, {'label': 'disappointment', 'score': 0.0011915959184989333}, {'label': 'optimism', 'score': 0.0010725324973464012}, {'label': 'sadness', 'score': 0.0009975215652957559}, {'label': 'admiration', 'score': 0.000920035585295409}]
[{'label': 'neutral', 'score': 0.9804161190986633}, {'label': 'sadness', 'score': 0.005836403928697109}, {'label': 'disappointment', 'score': 0.0033116822596639395}, {'label': 'caring', 'score': 0.001728186965920031}, {'label': 'grief', 'score': 0.001605142722837627}]
[{'label': 'neutral', 'score': 0.8735565543174744}, {'label': 'love', 'score': 0.052986323833465576}, {'label': 'caring', 'score': 0.01787501387298107}, {'label': 'admiration', 'score': 0.008685278706252575}, {'label': 'disappointment', 'score': 0.007355866022408009}]
[{'label': 'neutral', 'score': 0.9548588991165161}, {'label': 'sadness', 'score': 0.01036634761840105}, {'label': 'disappointment', 'score': 0.008638087660074234}, {'label': 'caring', 'score': 0.007870268076658249}, {'label': 'optimism', 'score': 0.004305921960622072}]
[{'label': 'neutral', 'score': 0.9490180611610413}, {'label': 'sadness', 'score': 0.012382403947412968}, {'label': 'disappointment', 'score': 0.011590334586799145}, {'label': 'caring', 'score': 0.00852268747985363}, {'label': 'optimism', 'score': 0.006134137511253357}]
[{'label': 'neutral', 'score': 0.9624016880989075}, {'label': 'disappointment', 'score': 0.01648056134581566}, {'label': 'sadness', 'score': 0.00869440846145153}, {'label': 'approval', 'score': 0.0030075840186327696}, {'label': 'realization', 'score': 0.0020951195620000362}]
[{'label': 'neutral', 'score': 0.9530750513076782}, {'label': 'disappointment', 'score': 0.018548378720879555}, {'label': 'sadness', 'score': 0.011014288291335106}, {'label': 'optimism', 'score': 0.004375567194074392}, {'label': 'approval', 'score': 0.0024379517417401075}]
[{'label': 'neutral', 'score': 0.9511316418647766}, {'label': 'love', 'score': 0.014949129894375801}, {'label': 'disappointment', 'score': 0.0059618460945785046}, {'label': 'sadness', 'score': 0.005736245773732662}, {'label': 'optimism', 'score': 0.005147246178239584}]
[{'label': 'neutral', 'score': 0.92935711145401}, {'label': 'love', 'score': 0.03722343221306801}, {'label': 'sadness', 'score': 0.004917606711387634}, {'label': 'disappointment', 'score': 0.004482802469283342}, {'label': 'caring', 'score': 0.0040128035470843315}]
[{'label': 'neutral', 'score': 0.9350998997688293}, {'label': 'love', 'score': 0.031979627907276154}, {'label': 'sadness', 'score': 0.005227556452155113}, {'label': 'disappointment', 'score': 0.0046520838513970375}, {'label': 'caring', 'score': 0.004402009770274162}]
[{'label': 'neutral', 'score': 0.9766155481338501}, {'label': 'sadness', 'score': 0.0057676718570292}, {'label': 'disappointment', 'score': 0.004634428303688765}, {'label': 'caring', 'score': 0.0029798385221511126}, {'label': 'grief', 'score': 0.0016291242791339755}]
[{'label': 'neutral', 'score': 0.9774347543716431}, {'label': 'disappointment', 'score': 0.0075328657403588295}, {'label': 'sadness', 'score': 0.007185882423073053}, {'label': 'optimism', 'score': 0.0015964927151799202}, {'label': 'caring', 'score': 0.0010620597749948502}]
[{'label': 'neutral', 'score': 0.9925612807273865}, {'label': 'sadness', 'score': 0.0017732521519064903}, {'label': 'disappointment', 'score': 0.0013312706723809242}, {'label': 'approval', 'score': 0.0008337615290656686}, {'label': 'admiration', 'score': 0.0006413922528736293}]
[{'label': 'neutral', 'score': 0.9632106423377991}, {'label': 'sadness', 'score': 0.01570974849164486}, {'label': 'disappointment', 'score': 0.010774923488497734}, {'label': 'caring', 'score': 0.0021303442772477865}, {'label': 'optimism', 'score': 0.0017839587526395917}]
[{'label': 'neutral', 'score': 0.9920058846473694}, {'label': 'sadness', 'score': 0.0014063859125599265}, {'label': 'disappointment', 'score': 0.0011822605738416314}, {'label': 'admiration', 'score': 0.0009393442887812853}, {'label': 'optimism', 'score': 0.0008886873256415129}]
[{'label': 'neutral', 'score': 0.9862767457962036}, {'label': 'caring', 'score': 0.0018938116263598204}, {'label': 'optimism', 'score': 0.0018556605791673064}, {'label': 'admiration', 'score': 0.0017475011991336942}, {'label': 'disappointment', 'score': 0.0015359550016000867}]
[{'label': 'neutral', 'score': 0.9798667430877686}, {'label': 'caring', 'score': 0.005103178322315216}, {'label': 'optimism', 'score': 0.003837707219645381}, {'label': 'desire', 'score': 0.002432405948638916}, {'label': 'disappointment', 'score': 0.0015877169789746404}]
[{'label': 'neutral', 'score': 0.9886576533317566}, {'label': 'caring', 'score': 0.0021882771980017424}, {'label': 'sadness', 'score': 0.001625454518944025}, {'label': 'disappointment', 'score': 0.0013637742958962917}, {'label': 'optimism', 'score': 0.0010011529084295034}]
[{'label': 'neutral', 'score': 0.985968828201294}, {'label': 'caring', 'score': 0.004259663634002209}, {'label': 'sadness', 'score': 0.0018230988644063473}, {'label': 'disappointment', 'score': 0.0014041921822354198}, {'label': 'admiration', 'score': 0.0010007588425651193}]
[{'label': 'neutral', 'score': 0.9770383238792419}, {'label': 'caring', 'score': 0.009192533791065216}, {'label': 'sadness', 'score': 0.0018521999008953571}, {'label': 'admiration', 'score': 0.0017854192992672324}, {'label': 'disappointment', 'score': 0.00175537692848593}]
[{'label': 'neutral', 'score': 0.9508340358734131}, {'label': 'caring', 'score': 0.03165777027606964}, {'label': 'sadness', 'score': 0.0028606064151972532}, {'label': 'grief', 'score': 0.002374598290771246}, {'label': 'disappointment', 'score': 0.001980431145057082}]
