[{'label': 'fear', 'score': 0.9769452810287476}, {'label': 'approval', 'score': 0.010637711733579636}, {'label': 'nervousness', 'score': 0.002849962329491973}, {'label': 'disapproval', 'score': 0.0018613779684528708}, {'label': 'optimism', 'score': 0.0010947523405775428}]
[{'label': 'admiration', 'score': 0.944660484790802}, {'label': 'approval', 'score': 0.042086873203516006}, {'label': 'optimism', 'score': 0.0026488476432859898}, {'label': 'disapproval', 'score': 0.0016521995421499014}, {'label': 'love', 'score': 0.0014382449444383383}]
[{'label': 'admiration', 'score': 0.9415475726127625}, {'label': 'approval', 'score': 0.04556687921285629}, {'label': 'optimism', 'score': 0.00262524769641459}, {'label': 'disapproval', 'score': 0.001755888806656003}, {'label': 'love', 'score': 0.001491636736318469}]
[{'label': 'admiration', 'score': 0.9622076153755188}, {'label': 'approval', 'score': 0.01769765466451645}, {'label': 'joy', 'score': 0.005062437616288662}, {'label': 'love', 'score': 0.004060929641127586}, {'label': 'optimism', 'score': 0.002007922390475869}]
[{'label': 'admiration', 'score': 0.9710464477539062}, {'label': 'approval', 'score': 0.01714315079152584}, {'label': 'joy', 'score': 0.0023763258941471577}, {'label': 'love', 'score': 0.0020853036548942327}, {'label': 'relief', 'score': 0.0011393659515306354}]
[{'label': 'admiration', 'score': 0.8457025289535522}, {'label': 'excitement', 'score': 0.08688909560441971}, {'label': 'approval', 'score': 0.020271867513656616}, {'label': 'joy', 'score': 0.01638565957546234}, {'label': 'surprise', 'score': 0.008353055454790592}]
[{'label': 'fear', 'score': 0.9951848387718201}, {'label': 'nervousness', 'score': 0.002014897530898452}, {'label': 'approval', 'score': 0.00040535631706006825}, {'label': 'sadness', 'score': 0.0003521432226989418}, {'label': 'disgust', 'score': 0.0003296002687420696}]
[{'label': 'fear', 'score': 0.9954503178596497}, {'label': 'nervousness', 'score': 0.001535987132228911}, {'label': 'approval', 'score': 0.0004489760904107243}, {'label': 'disgust', 'score': 0.00039894331712275743}, {'label': 'sadness', 'score': 0.00038215829408727586}]
[{'label': 'fear', 'score': 0.9935204386711121}, {'label': 'nervousness', 'score': 0.0018639374757185578}, {'label': 'disappointment', 'score': 0.0006977340672165155}, {'label': 'sadness', 'score': 0.0006279340595938265}, {'label': 'neutral', 'score': 0.0006224217358976603}]
[{'label': 'fear', 'score': 0.9936391711235046}, {'label': 'disgust', 'score': 0.0011762522626668215}, {'label': 'nervousness', 'score': 0.0010660130064934492}, {'label': 'approval', 'score': 0.0007022072095423937}, {'label': 'disappointment', 'score': 0.0006392034702003002}]
[{'label': 'fear', 'score': 0.9943254590034485}, {'label': 'nervousness', 'score': 0.001726382179185748}, {'label': 'approval', 'score': 0.0006033782265149057}, {'label': 'disgust', 'score': 0.0005762993241660297}, {'label': 'sadness', 'score': 0.0005331722786650062}]
[{'label': 'fear', 'score': 0.9883813261985779}, {'label': 'nervousness', 'score': 0.002932222792878747}, {'label': 'approval', 'score': 0.00271206209436059}, {'label': 'disgust', 'score': 0.0013002295745536685}, {'label': 'sadness', 'score': 0.0007652798667550087}]
[{'label': 'fear', 'score': 0.9562195539474487}, {'label': 'nervousness', 'score': 0.015408607199788094}, {'label': 'approval', 'score': 0.014244095422327518}, {'label': 'neutral', 'score': 0.002648895839229226}, {'label': 'realization', 'score': 0.002303425455465913}]
[{'label': 'fear', 'score': 0.8830265998840332}, {'label': 'approval', 'score': 0.04291670769453049}, {'label': 'nervousness', 'score': 0.038795214146375656}, {'label': 'realization', 'score': 0.01358842384070158}, {'label': 'neutral', 'score': 0.004674042109400034}]
[{'label': 'fear', 'score': 0.7874017953872681}, {'label': 'approval', 'score': 0.06916581839323044}, {'label': 'realization', 'score': 0.06638125330209732}, {'label': 'nervousness', 'score': 0.04094428941607475}, {'label': 'neutral', 'score': 0.007156378589570522}]
[{'label': 'fear', 'score': 0.9282270669937134}, {'label': 'realization', 'score': 0.024538816884160042}, {'label': 'nervousness', 'score': 0.016363155096769333}, {'label': 'approval', 'score': 0.013931041583418846}, {'label': 'disappointment', 'score': 0.0023668319918215275}]
[{'label': 'fear', 'score': 0.9040566682815552}, {'label': 'realization', 'score': 0.05096327140927315}, {'label': 'nervousness', 'score': 0.016504976898431778}, {'label': 'approval', 'score': 0.011205463670194149}, {'label': 'disappointment', 'score': 0.0022057315800338984}]
[{'label': 'fear', 'score': 0.9671446084976196}, {'label': 'realization', 'score': 0.010281532071530819}, {'label': 'approval', 'score': 0.005785452667623758}, {'label': 'nervousness', 'score': 0.005355886183679104}, {'label': 'disgust', 'score': 0.002232193248346448}]
[{'label': 'fear', 'score': 0.9693694114685059}, {'label': 'approval', 'score': 0.008655241690576077}, {'label': 'realization', 'score': 0.0068588401190936565}, {'label': 'nervousness', 'score': 0.0032528541050851345}, {'label': 'disgust', 'score': 0.0026838325429707766}]
[{'label': 'fear', 'score': 0.8865848779678345}, {'label': 'approval', 'score': 0.034800123423337936}, {'label': 'realization', 'score': 0.030224498361349106}, {'label': 'disgust', 'score': 0.013710036873817444}, {'label': 'optimism', 'score': 0.00819074921309948}]
[{'label': 'fear', 'score': 0.9444726705551147}, {'label': 'disgust', 'score': 0.03678220510482788}, {'label': 'disapproval', 'score': 0.004033840727061033}, {'label': 'annoyance', 'score': 0.00292936316691339}, {'label': 'approval', 'score': 0.002519431756809354}]
[{'label': 'fear', 'score': 0.9704243540763855}, {'label': 'disgust', 'score': 0.019493089988827705}, {'label': 'annoyance', 'score': 0.0019039635080844164}, {'label': 'disapproval', 'score': 0.001548117958009243}, {'label': 'disappointment', 'score': 0.0012046641204506159}]
[{'label': 'fear', 'score': 0.9766899347305298}, {'label': 'disgust', 'score': 0.014639810658991337}, {'label': 'annoyance', 'score': 0.0015597630990669131}, {'label': 'approval', 'score': 0.0009667685953900218}, {'label': 'disapproval', 'score': 0.0009546049986965954}]
[{'label': 'fear', 'score': 0.9711010456085205}, {'label': 'disgust', 'score': 0.015446525998413563}, {'label': 'approval', 'score': 0.002922756364569068}, {'label': 'annoyance', 'score': 0.0015392379136756063}, {'label': 'nervousness', 'score': 0.001346789998933673}]
[{'label': 'fear', 'score': 0.9809850454330444}, {'label': 'disgust', 'score': 0.005797849502414465}, {'label': 'approval', 'score': 0.002440866082906723}, {'label': 'nervousness', 'score': 0.0021887440234422684}, {'label': 'realization', 'score': 0.0015961003955453634}]
[{'label': 'fear', 'score': 0.9901716113090515}, {'label': 'disgust', 'score': 0.0033985315822064877}, {'label': 'nervousness', 'score': 0.0016362967435270548}, {'label': 'approval', 'score': 0.0006043280009180307}, {'label': 'disappointment', 'score': 0.0005267725791782141}]
[{'label': 'fear', 'score': 0.9896630644798279}, {'label': 'disgust', 'score': 0.0038380813784897327}, {'label': 'nervousness', 'score': 0.0014136243844404817}, {'label': 'approval', 'score': 0.0008230499806813896}, {'label': 'annoyance', 'score': 0.000602575542870909}]
[{'label': 'fear', 'score': 0.9854109287261963}, {'label': 'disgust', 'score': 0.005973229184746742}, {'label': 'nervousness', 'score': 0.0015846382593736053}, {'label': 'approval', 'score': 0.0012379219988361}, {'label': 'annoyance', 'score': 0.0009682737290859222}]
[{'label': 'fear', 'score': 0.9925386309623718}, {'label': 'disgust', 'score': 0.0022831629030406475}, {'label': 'nervousness', 'score': 0.0014298491878435016}, {'label': 'annoyance', 'score': 0.0005338601768016815}, {'label': 'approval', 'score': 0.0005197688587941229}]
[{'label': 'fear', 'score': 0.9901953339576721}, {'label': 'disgust', 'score': 0.004541666712611914}, {'label': 'disappointment', 'score': 0.0008622842724435031}, {'label': 'sadness', 'score': 0.0008455957868136466}, {'label': 'nervousness', 'score': 0.0006534407148137689}]
[{'label': 'fear', 'score': 0.9301919937133789}, {'label': 'realization', 'score': 0.019282160326838493}, {'label': 'approval', 'score': 0.012776747345924377}, {'label': 'disappointment', 'score': 0.0077779656276106834}, {'label': 'optimism', 'score': 0.005356022156774998}]
[{'label': 'approval', 'score': 0.6718801259994507}, {'label': 'realization', 'score': 0.21488098800182343}, {'label': 'neutral', 'score': 0.0992778018116951}, {'label': 'optimism', 'score': 0.0028517155442386866}, {'label': 'joy', 'score': 0.0024547085631638765}]
[{'label': 'approval', 'score': 0.5629655718803406}, {'label': 'realization', 'score': 0.23974262177944183}, {'label': 'neutral', 'score': 0.17863139510154724}, {'label': 'optimism', 'score': 0.0031981647480279207}, {'label': 'excitement', 'score': 0.002765570767223835}]
[{'label': 'approval', 'score': 0.4026898443698883}, {'label': 'realization', 'score': 0.2859392464160919}, {'label': 'neutral', 'score': 0.2819082736968994}, {'label': 'joy', 'score': 0.006850488018244505}, {'label': 'excitement', 'score': 0.0061775571666657925}]
[{'label': 'approval', 'score': 0.42312678694725037}, {'label': 'neutral', 'score': 0.3768889904022217}, {'label': 'realization', 'score': 0.16130682826042175}, {'label': 'excitement', 'score': 0.008357473649084568}, {'label': 'joy', 'score': 0.007447397336363792}]
[{'label': 'approval', 'score': 0.6169341206550598}, {'label': 'realization', 'score': 0.18241964280605316}, {'label': 'neutral', 'score': 0.1548844575881958}, {'label': 'optimism', 'score': 0.008033854886889458}, {'label': 'joy', 'score': 0.007826347835361958}]
[{'label': 'admiration', 'score': 0.8872848153114319}, {'label': 'joy', 'score': 0.05368226766586304}, {'label': 'approval', 'score': 0.033665940165519714}, {'label': 'excitement', 'score': 0.00855188351124525}, {'label': 'realization', 'score': 0.0036810808815062046}]
[{'label': 'admiration', 'score': 0.42488181591033936}, {'label': 'approval', 'score': 0.3876296579837799}, {'label': 'realization', 'score': 0.05680186673998833}, {'label': 'joy', 'score': 0.042994193732738495}, {'label': 'excitement', 'score': 0.02248133160173893}]
[{'label': 'approval', 'score': 0.8956846594810486}, {'label': 'realization', 'score': 0.0427381657063961}, {'label': 'relief', 'score': 0.019090140238404274}, {'label': 'neutral', 'score': 0.014326956123113632}, {'label': 'optimism', 'score': 0.009046727791428566}]
[{'label': 'approval', 'score': 0.8762820959091187}, {'label': 'realization', 'score': 0.05060978978872299}, {'label': 'neutral', 'score': 0.030639637261629105}, {'label': 'relief', 'score': 0.009240143932402134}, {'label': 'optimism', 'score': 0.007940305396914482}]
[{'label': 'approval', 'score': 0.7846291661262512}, {'label': 'neutral', 'score': 0.1160648986697197}, {'label': 'realization', 'score': 0.05129476636648178}, {'label': 'curiosity', 'score': 0.02034887857735157}, {'label': 'optimism', 'score': 0.005630026571452618}]
[{'label': 'approval', 'score': 0.9062862396240234}, {'label': 'neutral', 'score': 0.04580783471465111}, {'label': 'realization', 'score': 0.025691578164696693}, {'label': 'optimism', 'score': 0.004661892540752888}, {'label': 'curiosity', 'score': 0.004119236953556538}]
[{'label': 'approval', 'score': 0.604561984539032}, {'label': 'neutral', 'score': 0.3057461977005005}, {'label': 'realization', 'score': 0.0696377232670784}, {'label': 'optimism', 'score': 0.004378452897071838}, {'label': 'curiosity', 'score': 0.0038153505884110928}]
[{'label': 'approval', 'score': 0.8134048581123352}, {'label': 'neutral', 'score': 0.12617962062358856}, {'label': 'realization', 'score': 0.04041830822825432}, {'label': 'admiration', 'score': 0.005660986062139273}, {'label': 'optimism', 'score': 0.00316413352265954}]
[{'label': 'approval', 'score': 0.8887828588485718}, {'label': 'neutral', 'score': 0.05510691553354263}, {'label': 'realization', 'score': 0.03207458183169365}, {'label': 'admiration', 'score': 0.012328452430665493}, {'label': 'optimism', 'score': 0.0025566238909959793}]
[{'label': 'approval', 'score': 0.686976432800293}, {'label': 'realization', 'score': 0.10438002645969391}, {'label': 'neutral', 'score': 0.09598677605390549}, {'label': 'admiration', 'score': 0.08713404834270477}, {'label': 'gratitude', 'score': 0.004286422394216061}]
[{'label': 'approval', 'score': 0.6212642192840576}, {'label': 'admiration', 'score': 0.2488097995519638}, {'label': 'realization', 'score': 0.0638354942202568}, {'label': 'neutral', 'score': 0.031061332672834396}, {'label': 'gratitude', 'score': 0.006375681143254042}]
[{'label': 'approval', 'score': 0.5037736296653748}, {'label': 'admiration', 'score': 0.4316907823085785}, {'label': 'neutral', 'score': 0.020536772906780243}, {'label': 'realization', 'score': 0.01904158852994442}, {'label': 'gratitude', 'score': 0.005967831704765558}]
[{'label': 'approval', 'score': 0.7044364213943481}, {'label': 'admiration', 'score': 0.23159152269363403}, {'label': 'neutral', 'score': 0.02084990218281746}, {'label': 'realization', 'score': 0.01907428726553917}, {'label': 'gratitude', 'score': 0.006341451779007912}]
[{'label': 'approval', 'score': 0.8290970325469971}, {'label': 'neutral', 'score': 0.10365167260169983}, {'label': 'realization', 'score': 0.04041564092040062}, {'label': 'admiration', 'score': 0.008791753090918064}, {'label': 'optimism', 'score': 0.0037321927957236767}]
[{'label': 'approval', 'score': 0.7019661068916321}, {'label': 'neutral', 'score': 0.19631816446781158}, {'label': 'realization', 'score': 0.06448794156312943}, {'label': 'curiosity', 'score': 0.010239902883768082}, {'label': 'optimism', 'score': 0.005093807354569435}]
[{'label': 'approval', 'score': 0.7846270799636841}, {'label': 'neutral', 'score': 0.1285766363143921}, {'label': 'realization', 'score': 0.04363783821463585}, {'label': 'optimism', 'score': 0.009073102846741676}, {'label': 'curiosity', 'score': 0.007804325316101313}]
[{'label': 'approval', 'score': 0.765641987323761}, {'label': 'neutral', 'score': 0.14012213051319122}, {'label': 'realization', 'score': 0.06543367356061935}, {'label': 'optimism', 'score': 0.008015736006200314}, {'label': 'admiration', 'score': 0.003649386577308178}]
[{'label': 'approval', 'score': 0.57658851146698}, {'label': 'neutral', 'score': 0.3628281056880951}, {'label': 'realization', 'score': 0.024027608335018158}, {'label': 'curiosity', 'score': 0.008809536695480347}, {'label': 'optimism', 'score': 0.007777915336191654}]
[{'label': 'neutral', 'score': 0.36710259318351746}, {'label': 'approval', 'score': 0.23557397723197937}, {'label': 'disappointment', 'score': 0.19896626472473145}, {'label': 'realization', 'score': 0.10353589802980423}, {'label': 'sadness', 'score': 0.022814588621258736}]
[{'label': 'approval', 'score': 0.8839050531387329}, {'label': 'neutral', 'score': 0.06819470226764679}, {'label': 'realization', 'score': 0.027193928137421608}, {'label': 'admiration', 'score': 0.005042261444032192}, {'label': 'relief', 'score': 0.0035640113055706024}]
[{'label': 'approval', 'score': 0.9352879524230957}, {'label': 'neutral', 'score': 0.025858517736196518}, {'label': 'realization', 'score': 0.019431529566645622}, {'label': 'relief', 'score': 0.005707891192287207}, {'label': 'admiration', 'score': 0.0039121531881392}]
[{'label': 'approval', 'score': 0.9302863478660583}, {'label': 'neutral', 'score': 0.021556872874498367}, {'label': 'realization', 'score': 0.014421897940337658}, {'label': 'relief', 'score': 0.011295652016997337}, {'label': 'optimism', 'score': 0.0041230530478060246}]
[{'label': 'approval', 'score': 0.93978351354599}, {'label': 'neutral', 'score': 0.021568840369582176}, {'label': 'relief', 'score': 0.00869146827608347}, {'label': 'desire', 'score': 0.005799538921564817}, {'label': 'realization', 'score': 0.004865385126322508}]
[{'label': 'approval', 'score': 0.9307498335838318}, {'label': 'neutral', 'score': 0.03158349171280861}, {'label': 'relief', 'score': 0.0071173496544361115}, {'label': 'desire', 'score': 0.00615662569180131}, {'label': 'realization', 'score': 0.005700530484318733}]
[{'label': 'approval', 'score': 0.7987558245658875}, {'label': 'neutral', 'score': 0.12837430834770203}, {'label': 'desire', 'score': 0.015213795937597752}, {'label': 'realization', 'score': 0.011674321256577969}, {'label': 'joy', 'score': 0.011155528947710991}]
[{'label': 'approval', 'score': 0.7848678827285767}, {'label': 'neutral', 'score': 0.13557155430316925}, {'label': 'desire', 'score': 0.01774865761399269}, {'label': 'realization', 'score': 0.014116193167865276}, {'label': 'curiosity', 'score': 0.010925988666713238}]
[{'label': 'approval', 'score': 0.5212982892990112}, {'label': 'neutral', 'score': 0.3978981673717499}, {'label': 'realization', 'score': 0.020673628896474838}, {'label': 'joy', 'score': 0.01753762736916542}, {'label': 'optimism', 'score': 0.008569154888391495}]
[{'label': 'approval', 'score': 0.6903951168060303}, {'label': 'neutral', 'score': 0.2588393986225128}, {'label': 'realization', 'score': 0.012920164503157139}, {'label': 'curiosity', 'score': 0.006456773728132248}, {'label': 'optimism', 'score': 0.005834076553583145}]
[{'label': 'approval', 'score': 0.8588233590126038}, {'label': 'neutral', 'score': 0.09604931622743607}, {'label': 'realization', 'score': 0.016547761857509613}, {'label': 'relief', 'score': 0.006348199211061001}, {'label': 'optimism', 'score': 0.005733659956604242}]
[{'label': 'approval', 'score': 0.882243812084198}, {'label': 'neutral', 'score': 0.07873261719942093}, {'label': 'realization', 'score': 0.013114777393639088}, {'label': 'relief', 'score': 0.0053487191908061504}, {'label': 'optimism', 'score': 0.004999855533242226}]
[{'label': 'approval', 'score': 0.9395525455474854}, {'label': 'neutral', 'score': 0.02493700198829174}, {'label': 'admiration', 'score': 0.01483253575861454}, {'label': 'realization', 'score': 0.005574545357376337}, {'label': 'optimism', 'score': 0.0042335581965744495}]
[{'label': 'approval', 'score': 0.9298034906387329}, {'label': 'admiration', 'score': 0.03133706748485565}, {'label': 'neutral', 'score': 0.01372702606022358}, {'label': 'relief', 'score': 0.006237667519599199}, {'label': 'optimism', 'score': 0.004973079077899456}]
[{'label': 'approval', 'score': 0.8292019963264465}, {'label': 'admiration', 'score': 0.1290281116962433}, {'label': 'neutral', 'score': 0.007893766276538372}, {'label': 'gratitude', 'score': 0.007667577359825373}, {'label': 'relief', 'score': 0.006291023455560207}]
[{'label': 'approval', 'score': 0.9244693517684937}, {'label': 'admiration', 'score': 0.031534504145383835}, {'label': 'neutral', 'score': 0.015888430178165436}, {'label': 'gratitude', 'score': 0.006777944974601269}, {'label': 'optimism', 'score': 0.006000933703035116}]
[{'label': 'approval', 'score': 0.885248064994812}, {'label': 'neutral', 'score': 0.04844263568520546}, {'label': 'admiration', 'score': 0.021434355527162552}, {'label': 'gratitude', 'score': 0.008873294107615948}, {'label': 'optimism', 'score': 0.007785823196172714}]
[{'label': 'approval', 'score': 0.7602566480636597}, {'label': 'neutral', 'score': 0.15503667294979095}, {'label': 'admiration', 'score': 0.044369857758283615}, {'label': 'gratitude', 'score': 0.012345809489488602}, {'label': 'optimism', 'score': 0.008976347744464874}]
[{'label': 'approval', 'score': 0.8405515551567078}, {'label': 'neutral', 'score': 0.053719934076070786}, {'label': 'admiration', 'score': 0.04398929327726364}, {'label': 'gratitude', 'score': 0.014717851765453815}, {'label': 'optimism', 'score': 0.008581784553825855}]
[{'label': 'approval', 'score': 0.8142344355583191}, {'label': 'neutral', 'score': 0.11053746938705444}, {'label': 'admiration', 'score': 0.04488421604037285}, {'label': 'gratitude', 'score': 0.008326099254190922}, {'label': 'optimism', 'score': 0.006768824998289347}]
[{'label': 'approval', 'score': 0.732213020324707}, {'label': 'neutral', 'score': 0.15684889256954193}, {'label': 'admiration', 'score': 0.08122489601373672}, {'label': 'gratitude', 'score': 0.009123672731220722}, {'label': 'optimism', 'score': 0.005380955059081316}]
[{'label': 'approval', 'score': 0.7812162041664124}, {'label': 'neutral', 'score': 0.10816920548677444}, {'label': 'admiration', 'score': 0.08411546051502228}, {'label': 'gratitude', 'score': 0.005677038338035345}, {'label': 'optimism', 'score': 0.0052876342087984085}]
[{'label': 'approval', 'score': 0.7808053493499756}, {'label': 'admiration', 'score': 0.13790841400623322}, {'label': 'neutral', 'score': 0.05270552635192871}, {'label': 'gratitude', 'score': 0.005995098035782576}, {'label': 'optimism', 'score': 0.005875658243894577}]
[{'label': 'approval', 'score': 0.7428733706474304}, {'label': 'admiration', 'score': 0.2085391730070114}, {'label': 'neutral', 'score': 0.015040313825011253}, {'label': 'gratitude', 'score': 0.01041292306035757}, {'label': 'optimism', 'score': 0.004522080533206463}]
[{'label': 'approval', 'score': 0.7225427627563477}, {'label': 'admiration', 'score': 0.22069086134433746}, {'label': 'neutral', 'score': 0.022333983331918716}, {'label': 'gratitude', 'score': 0.012988447211682796}, {'label': 'optimism', 'score': 0.004605508875101805}]
[{'label': 'approval', 'score': 0.8938894271850586}, {'label': 'neutral', 'score': 0.035670772194862366}, {'label': 'admiration', 'score': 0.029804954305291176}, {'label': 'gratitude', 'score': 0.00857424084097147}, {'label': 'relief', 'score': 0.006088002119213343}]
[{'label': 'approval', 'score': 0.8428145051002502}, {'label': 'admiration', 'score': 0.08040747046470642}, {'label': 'neutral', 'score': 0.04076066613197327}, {'label': 'gratitude', 'score': 0.011380789801478386}, {'label': 'optimism', 'score': 0.005010282155126333}]
[{'label': 'approval', 'score': 0.8208924531936646}, {'label': 'admiration', 'score': 0.09025413542985916}, {'label': 'neutral', 'score': 0.045216940343379974}, {'label': 'gratitude', 'score': 0.01366625726222992}, {'label': 'optimism', 'score': 0.005458659492433071}]
[{'label': 'approval', 'score': 0.8781365156173706}, {'label': 'admiration', 'score': 0.055584657937288284}, {'label': 'neutral', 'score': 0.03351496532559395}, {'label': 'gratitude', 'score': 0.013710091821849346}, {'label': 'optimism', 'score': 0.005125608295202255}]
[{'label': 'approval', 'score': 0.8204891681671143}, {'label': 'neutral', 'score': 0.08937909454107285}, {'label': 'admiration', 'score': 0.059111595153808594}, {'label': 'gratitude', 'score': 0.007046753074973822}, {'label': 'optimism', 'score': 0.005532489623874426}]
[{'label': 'approval', 'score': 0.9152657389640808}, {'label': 'neutral', 'score': 0.04932445287704468}, {'label': 'admiration', 'score': 0.015065562911331654}, {'label': 'optimism', 'score': 0.004529575817286968}, {'label': 'relief', 'score': 0.002964780433103442}]
[{'label': 'approval', 'score': 0.9078832864761353}, {'label': 'neutral', 'score': 0.05518379062414169}, {'label': 'admiration', 'score': 0.015403714030981064}, {'label': 'optimism', 'score': 0.004822480957955122}, {'label': 'relief', 'score': 0.0030875166412442923}]
[{'label': 'approval', 'score': 0.7555716633796692}, {'label': 'neutral', 'score': 0.17787069082260132}, {'label': 'admiration', 'score': 0.01862126588821411}, {'label': 'optimism', 'score': 0.010837719775736332}, {'label': 'disapproval', 'score': 0.00916203297674656}]
[{'label': 'approval', 'score': 0.8741099834442139}, {'label': 'neutral', 'score': 0.060080818831920624}, {'label': 'admiration', 'score': 0.02365165390074253}, {'label': 'optimism', 'score': 0.013329093344509602}, {'label': 'gratitude', 'score': 0.007159373257309198}]
