[{'label': 'sadness', 'score': 0.9200335144996643}, {'label': 'disappointment', 'score': 0.04467884078621864}, {'label': 'anger', 'score': 0.0121521120890975}, {'label': 'neutral', 'score': 0.010963325388729572}, {'label': 'annoyance', 'score': 0.004911137744784355}]
[{'label': 'sadness', 'score': 0.8971168994903564}, {'label': 'neutral', 'score': 0.05359964817762375}, {'label': 'disappointment', 'score': 0.029230237007141113}, {'label': 'anger', 'score': 0.008200123906135559}, {'label': 'annoyance', 'score': 0.002968961838632822}]
[{'label': 'sadness', 'score': 0.569783627986908}, {'label': 'neutral', 'score': 0.3364943861961365}, {'label': 'disappointment', 'score': 0.03254735469818115}, {'label': 'anger', 'score': 0.03244052454829216}, {'label': 'annoyance', 'score': 0.007206703536212444}]
[{'label': 'sadness', 'score': 0.48163384199142456}, {'label': 'neutral', 'score': 0.42337945103645325}, {'label': 'anger', 'score': 0.039830099791288376}, {'label': 'disappointment', 'score': 0.028783580288290977}, {'label': 'annoyance', 'score': 0.008739408105611801}]
[{'label': 'sadness', 'score': 0.6674455404281616}, {'label': 'neutral', 'score': 0.24575230479240417}, {'label': 'disappointment', 'score': 0.04409780725836754}, {'label': 'anger', 'score': 0.02013184130191803}, {'label': 'annoyance', 'score': 0.007090783677995205}]
[{'label': 'sadness', 'score': 0.7756011486053467}, {'label': 'neutral', 'score': 0.11630871891975403}, {'label': 'disappointment', 'score': 0.0791451558470726}, {'label': 'anger', 'score': 0.012512452900409698}, {'label': 'annoyance', 'score': 0.004602112807333469}]
[{'label': 'sadness', 'score': 0.7399449944496155}, {'label': 'neutral', 'score': 0.15876244008541107}, {'label': 'disappointment', 'score': 0.07306857407093048}, {'label': 'anger', 'score': 0.009350043721497059}, {'label': 'annoyance', 'score': 0.0065440526232123375}]
[{'label': 'sadness', 'score': 0.5163530707359314}, {'label': 'neutral', 'score': 0.29593026638031006}, {'label': 'disappointment', 'score': 0.12167664617300034}, {'label': 'annoyance', 'score': 0.02680368348956108}, {'label': 'anger', 'score': 0.022685233503580093}]
[{'label': 'sadness', 'score': 0.6398575901985168}, {'label': 'neutral', 'score': 0.24936498701572418}, {'label': 'disappointment', 'score': 0.0580330453813076}, {'label': 'anger', 'score': 0.02038215473294258}, {'label': 'annoyance', 'score': 0.016039030626416206}]
[{'label': 'sadness', 'score': 0.644813060760498}, {'label': 'neutral', 'score': 0.28159695863723755}, {'label': 'disappointment', 'score': 0.030232926830649376}, {'label': 'anger', 'score': 0.016842516139149666}, {'label': 'annoyance', 'score': 0.006591814570128918}]
[{'label': 'sadness', 'score': 0.7364100813865662}, {'label': 'neutral', 'score': 0.20174528658390045}, {'label': 'disappointment', 'score': 0.02700188383460045}, {'label': 'anger', 'score': 0.014666402712464333}, {'label': 'annoyance', 'score': 0.004500410053879023}]
[{'label': 'sadness', 'score': 0.7221069931983948}, {'label': 'neutral', 'score': 0.2124643474817276}, {'label': 'disappointment', 'score': 0.027187563478946686}, {'label': 'anger', 'score': 0.016100909560918808}, {'label': 'grief', 'score': 0.004415306728333235}]
[{'label': 'sadness', 'score': 0.8696467280387878}, {'label': 'neutral', 'score': 0.08266619592905045}, {'label': 'disappointment', 'score': 0.02468305267393589}, {'label': 'anger', 'score': 0.004043941386044025}, {'label': 'realization', 'score': 0.0036202501505613327}]
[{'label': 'sadness', 'score': 0.801741898059845}, {'label': 'neutral', 'score': 0.1432761251926422}, {'label': 'disappointment', 'score': 0.028731931000947952}, {'label': 'anger', 'score': 0.004556074272841215}, {'label': 'realization', 'score': 0.004345014225691557}]
[{'label': 'sadness', 'score': 0.8404937982559204}, {'label': 'neutral', 'score': 0.10778452455997467}, {'label': 'disappointment', 'score': 0.031803980469703674}, {'label': 'anger', 'score': 0.004385264124721289}, {'label': 'annoyance', 'score': 0.003497523022815585}]
[{'label': 'sadness', 'score': 0.9175475835800171}, {'label': 'neutral', 'score': 0.05617766082286835}, {'label': 'disappointment', 'score': 0.013452867045998573}, {'label': 'anger', 'score': 0.0023217503912746906}, {'label': 'caring', 'score': 0.0016673565842211246}]
[{'label': 'sadness', 'score': 0.9433751702308655}, {'label': 'neutral', 'score': 0.03644903376698494}, {'label': 'disappointment', 'score': 0.011229929514229298}, {'label': 'anger', 'score': 0.0012809642357751727}, {'label': 'grief', 'score': 0.0012345969444140792}]
[{'label': 'sadness', 'score': 0.9631307721138}, {'label': 'neutral', 'score': 0.013855095021426678}, {'label': 'disappointment', 'score': 0.011566522531211376}, {'label': 'caring', 'score': 0.002637135097756982}, {'label': 'grief', 'score': 0.0023765405640006065}]
[{'label': 'sadness', 'score': 0.9498171210289001}, {'label': 'neutral', 'score': 0.027478178963065147}, {'label': 'disappointment', 'score': 0.009468055330216885}, {'label': 'grief', 'score': 0.0028838864527642727}, {'label': 'caring', 'score': 0.002583728637546301}]
[{'label': 'sadness', 'score': 0.9070454835891724}, {'label': 'neutral', 'score': 0.06092554330825806}, {'label': 'disappointment', 'score': 0.00931795034557581}, {'label': 'caring', 'score': 0.006521954201161861}, {'label': 'grief', 'score': 0.0060358294285833836}]
[{'label': 'sadness', 'score': 0.9148240089416504}, {'label': 'neutral', 'score': 0.05489980801939964}, {'label': 'disappointment', 'score': 0.009126429446041584}, {'label': 'grief', 'score': 0.005434018559753895}, {'label': 'caring', 'score': 0.004673872143030167}]
[{'label': 'sadness', 'score': 0.9296562075614929}, {'label': 'neutral', 'score': 0.045877546072006226}, {'label': 'disappointment', 'score': 0.008299941197037697}, {'label': 'caring', 'score': 0.005395873449742794}, {'label': 'grief', 'score': 0.00268875272013247}]
[{'label': 'sadness', 'score': 0.8884484171867371}, {'label': 'neutral', 'score': 0.07922384887933731}, {'label': 'disappointment', 'score': 0.012061707675457}, {'label': 'caring', 'score': 0.006768437102437019}, {'label': 'grief', 'score': 0.002692376496270299}]
[{'label': 'sadness', 'score': 0.927571177482605}, {'label': 'neutral', 'score': 0.040876857936382294}, {'label': 'disappointment', 'score': 0.012815809808671474}, {'label': 'caring', 'score': 0.0057600741274654865}, {'label': 'grief', 'score': 0.0029717041179537773}]
[{'label': 'sadness', 'score': 0.9297234416007996}, {'label': 'neutral', 'score': 0.038386695086956024}, {'label': 'disappointment', 'score': 0.015523573383688927}, {'label': 'caring', 'score': 0.004086853936314583}, {'label': 'grief', 'score': 0.0021995638962835073}]
[{'label': 'sadness', 'score': 0.9143601655960083}, {'label': 'neutral', 'score': 0.0563700906932354}, {'label': 'disappointment', 'score': 0.009823033586144447}, {'label': 'caring', 'score': 0.007622095290571451}, {'label': 'grief', 'score': 0.003251209855079651}]
[{'label': 'sadness', 'score': 0.9037225842475891}, {'label': 'neutral', 'score': 0.06185973435640335}, {'label': 'disappointment', 'score': 0.012568813748657703}, {'label': 'caring', 'score': 0.010182156227529049}, {'label': 'grief', 'score': 0.0028035466093569994}]
[{'label': 'sadness', 'score': 0.9504483938217163}, {'label': 'neutral', 'score': 0.028435703366994858}, {'label': 'disappointment', 'score': 0.007989698089659214}, {'label': 'grief', 'score': 0.004065743647515774}, {'label': 'caring', 'score': 0.0023603574372828007}]
[{'label': 'sadness', 'score': 0.9701093435287476}, {'label': 'neutral', 'score': 0.010837378911674023}, {'label': 'disappointment', 'score': 0.006354915909469128}, {'label': 'grief', 'score': 0.004337599966675043}, {'label': 'caring', 'score': 0.0022732880897819996}]
[{'label': 'sadness', 'score': 0.8349276781082153}, {'label': 'neutral', 'score': 0.10260607302188873}, {'label': 'disappointment', 'score': 0.013434002175927162}, {'label': 'grief', 'score': 0.013062166050076485}, {'label': 'anger', 'score': 0.01238813903182745}]
[{'label': 'sadness', 'score': 0.8254730105400085}, {'label': 'neutral', 'score': 0.11552603542804718}, {'label': 'disappointment', 'score': 0.014652643352746964}, {'label': 'anger', 'score': 0.012695581652224064}, {'label': 'grief', 'score': 0.0088244853541255}]
[{'label': 'sadness', 'score': 0.67963045835495}, {'label': 'neutral', 'score': 0.18775033950805664}, {'label': 'caring', 'score': 0.044778671115636826}, {'label': 'grief', 'score': 0.02989959716796875}, {'label': 'anger', 'score': 0.02317238226532936}]
[{'label': 'sadness', 'score': 0.8269351720809937}, {'label': 'neutral', 'score': 0.0771290510892868}, {'label': 'grief', 'score': 0.02534162998199463}, {'label': 'disappointment', 'score': 0.020335083827376366}, {'label': 'anger', 'score': 0.014182685874402523}]
[{'label': 'sadness', 'score': 0.8775382041931152}, {'label': 'neutral', 'score': 0.06549540162086487}, {'label': 'disappointment', 'score': 0.015627481043338776}, {'label': 'grief', 'score': 0.0132281593978405}, {'label': 'caring', 'score': 0.006433257833123207}]
[{'label': 'sadness', 'score': 0.7805861234664917}, {'label': 'neutral', 'score': 0.14383694529533386}, {'label': 'grief', 'score': 0.020769845694303513}, {'label': 'disappointment', 'score': 0.01729370281100273}, {'label': 'caring', 'score': 0.012070156633853912}]
[{'label': 'sadness', 'score': 0.6510250568389893}, {'label': 'neutral', 'score': 0.19791564345359802}, {'label': 'grief', 'score': 0.07026493549346924}, {'label': 'caring', 'score': 0.02078150026500225}, {'label': 'anger', 'score': 0.017465880140662193}]
[{'label': 'sadness', 'score': 0.47649842500686646}, {'label': 'neutral', 'score': 0.2469601333141327}, {'label': 'grief', 'score': 0.12897314131259918}, {'label': 'caring', 'score': 0.060728520154953}, {'label': 'anger', 'score': 0.033096250146627426}]
[{'label': 'sadness', 'score': 0.8245226740837097}, {'label': 'neutral', 'score': 0.06269966810941696}, {'label': 'grief', 'score': 0.05288375914096832}, {'label': 'disappointment', 'score': 0.017614809796214104}, {'label': 'caring', 'score': 0.015009123831987381}]
[{'label': 'sadness', 'score': 0.7255608439445496}, {'label': 'neutral', 'score': 0.12372451275587082}, {'label': 'caring', 'score': 0.05155162513256073}, {'label': 'grief', 'score': 0.03374578803777695}, {'label': 'disappointment', 'score': 0.024739256128668785}]
[{'label': 'sadness', 'score': 0.9299090504646301}, {'label': 'disappointment', 'score': 0.028392460197210312}, {'label': 'neutral', 'score': 0.017338162288069725}, {'label': 'grief', 'score': 0.0092632956802845}, {'label': 'anger', 'score': 0.003677834989503026}]
[{'label': 'sadness', 'score': 0.9550873637199402}, {'label': 'disappointment', 'score': 0.014665362425148487}, {'label': 'neutral', 'score': 0.01351168006658554}, {'label': 'grief', 'score': 0.008121815510094166}, {'label': 'caring', 'score': 0.0015786188887432218}]
[{'label': 'sadness', 'score': 0.9129406213760376}, {'label': 'neutral', 'score': 0.03598170727491379}, {'label': 'disappointment', 'score': 0.02225152961909771}, {'label': 'grief', 'score': 0.012977320700883865}, {'label': 'anger', 'score': 0.003506061155349016}]
[{'label': 'sadness', 'score': 0.8333038091659546}, {'label': 'neutral', 'score': 0.0889912098646164}, {'label': 'disappointment', 'score': 0.036450352519750595}, {'label': 'grief', 'score': 0.012370850890874863}, {'label': 'anger', 'score': 0.0080232173204422}]
[{'label': 'sadness', 'score': 0.5117133855819702}, {'label': 'neutral', 'score': 0.3097614645957947}, {'label': 'anger', 'score': 0.06309788674116135}, {'label': 'disappointment', 'score': 0.050210967659950256}, {'label': 'grief', 'score': 0.013700873591005802}]
[{'label': 'sadness', 'score': 0.4204923212528229}, {'label': 'neutral', 'score': 0.4122525155544281}, {'label': 'disappointment', 'score': 0.0698382779955864}, {'label': 'anger', 'score': 0.034663841128349304}, {'label': 'grief', 'score': 0.01587965339422226}]
[{'label': 'sadness', 'score': 0.5662253499031067}, {'label': 'neutral', 'score': 0.24404987692832947}, {'label': 'disappointment', 'score': 0.11244869232177734}, {'label': 'anger', 'score': 0.029776189476251602}, {'label': 'grief', 'score': 0.01119551807641983}]
[{'label': 'sadness', 'score': 0.4754660129547119}, {'label': 'neutral', 'score': 0.25975748896598816}, {'label': 'anger', 'score': 0.1137118712067604}, {'label': 'disappointment', 'score': 0.08933047950267792}, {'label': 'annoyance', 'score': 0.014600245282053947}]
[{'label': 'sadness', 'score': 0.4755379855632782}, {'label': 'neutral', 'score': 0.31980109214782715}, {'label': 'anger', 'score': 0.08374320715665817}, {'label': 'disappointment', 'score': 0.05701189860701561}, {'label': 'caring', 'score': 0.018330665305256844}]
[{'label': 'neutral', 'score': 0.511817216873169}, {'label': 'sadness', 'score': 0.2975873351097107}, {'label': 'anger', 'score': 0.07544752955436707}, {'label': 'disappointment', 'score': 0.05067672207951546}, {'label': 'caring', 'score': 0.017512694001197815}]
[{'label': 'neutral', 'score': 0.7245783805847168}, {'label': 'sadness', 'score': 0.12516815960407257}, {'label': 'anger', 'score': 0.05708903819322586}, {'label': 'caring', 'score': 0.026259204372763634}, {'label': 'disappointment', 'score': 0.02552194893360138}]
[{'label': 'neutral', 'score': 0.8597405552864075}, {'label': 'caring', 'score': 0.04717091843485832}, {'label': 'sadness', 'score': 0.03212461620569229}, {'label': 'optimism', 'score': 0.015884341672062874}, {'label': 'anger', 'score': 0.01428734976798296}]
[{'label': 'neutral', 'score': 0.7611714601516724}, {'label': 'sadness', 'score': 0.16387256979942322}, {'label': 'disappointment', 'score': 0.022361109033226967}, {'label': 'optimism', 'score': 0.011412869207561016}, {'label': 'anger', 'score': 0.010235182009637356}]
[{'label': 'neutral', 'score': 0.6548613905906677}, {'label': 'sadness', 'score': 0.2616038918495178}, {'label': 'disappointment', 'score': 0.025098128244280815}, {'label': 'optimism', 'score': 0.012346713803708553}, {'label': 'anger', 'score': 0.01143509242683649}]
[{'label': 'sadness', 'score': 0.944035530090332}, {'label': 'disappointment', 'score': 0.02899906598031521}, {'label': 'neutral', 'score': 0.016754675656557083}, {'label': 'grief', 'score': 0.0024811183102428913}, {'label': 'caring', 'score': 0.0017068949528038502}]
[{'label': 'neutral', 'score': 0.7452147603034973}, {'label': 'sadness', 'score': 0.07581628113985062}, {'label': 'anger', 'score': 0.04818914830684662}, {'label': 'desire', 'score': 0.0387289859354496}, {'label': 'optimism', 'score': 0.03183683007955551}]
[{'label': 'neutral', 'score': 0.6385205388069153}, {'label': 'sadness', 'score': 0.12018389999866486}, {'label': 'anger', 'score': 0.08917736262083054}, {'label': 'desire', 'score': 0.0337093323469162}, {'label': 'grief', 'score': 0.027680249884724617}]
[{'label': 'neutral', 'score': 0.7829445004463196}, {'label': 'anger', 'score': 0.06552700698375702}, {'label': 'sadness', 'score': 0.062031835317611694}, {'label': 'optimism', 'score': 0.020183827728033066}, {'label': 'caring', 'score': 0.014241042546927929}]
[{'label': 'neutral', 'score': 0.781924843788147}, {'label': 'anger', 'score': 0.09260837733745575}, {'label': 'sadness', 'score': 0.050331052392721176}, {'label': 'optimism', 'score': 0.01493904646486044}, {'label': 'desire', 'score': 0.012754101306200027}]
[{'label': 'neutral', 'score': 0.6256964206695557}, {'label': 'sadness', 'score': 0.174289733171463}, {'label': 'anger', 'score': 0.08470708876848221}, {'label': 'disappointment', 'score': 0.030767051503062248}, {'label': 'optimism', 'score': 0.02291746996343136}]
[{'label': 'neutral', 'score': 0.3910951614379883}, {'label': 'anger', 'score': 0.2845521867275238}, {'label': 'sadness', 'score': 0.17205984890460968}, {'label': 'disappointment', 'score': 0.06349670886993408}, {'label': 'annoyance', 'score': 0.03464244306087494}]
[{'label': 'neutral', 'score': 0.47751766443252563}, {'label': 'sadness', 'score': 0.26167866587638855}, {'label': 'anger', 'score': 0.08658407628536224}, {'label': 'disappointment', 'score': 0.05987493321299553}, {'label': 'fear', 'score': 0.02401294745504856}]
[{'label': 'neutral', 'score': 0.6735454201698303}, {'label': 'sadness', 'score': 0.16715453565120697}, {'label': 'anger', 'score': 0.03746505454182625}, {'label': 'grief', 'score': 0.028902072459459305}, {'label': 'disappointment', 'score': 0.026489419862627983}]
[{'label': 'neutral', 'score': 0.7802919149398804}, {'label': 'sadness', 'score': 0.10995181649923325}, {'label': 'anger', 'score': 0.02248775213956833}, {'label': 'disappointment', 'score': 0.019277682527899742}, {'label': 'grief', 'score': 0.016379252076148987}]
[{'label': 'neutral', 'score': 0.7856139540672302}, {'label': 'sadness', 'score': 0.08312676846981049}, {'label': 'anger', 'score': 0.04799412190914154}, {'label': 'disappointment', 'score': 0.017610669136047363}, {'label': 'grief', 'score': 0.012316059321165085}]
[{'label': 'neutral', 'score': 0.8696420192718506}, {'label': 'sadness', 'score': 0.03798219934105873}, {'label': 'anger', 'score': 0.024496247991919518}, {'label': 'optimism', 'score': 0.014828660525381565}, {'label': 'disappointment', 'score': 0.010534742847084999}]
[{'label': 'neutral', 'score': 0.9153403043746948}, {'label': 'anger', 'score': 0.03510228171944618}, {'label': 'optimism', 'score': 0.014968328177928925}, {'label': 'sadness', 'score': 0.009885015897452831}, {'label': 'annoyance', 'score': 0.007737147156149149}]
[{'label': 'neutral', 'score': 0.8904910087585449}, {'label': 'anger', 'score': 0.04275931790471077}, {'label': 'optimism', 'score': 0.022449791431427002}, {'label': 'annoyance', 'score': 0.020231306552886963}, {'label': 'sadness', 'score': 0.006817216984927654}]
[{'label': 'neutral', 'score': 0.862983226776123}, {'label': 'anger', 'score': 0.05841381847858429}, {'label': 'optimism', 'score': 0.037622466683387756}, {'label': 'annoyance', 'score': 0.019121479243040085}, {'label': 'sadness', 'score': 0.004626075737178326}]
[{'label': 'neutral', 'score': 0.6424915194511414}, {'label': 'optimism', 'score': 0.09086034446954727}, {'label': 'anger', 'score': 0.08354746550321579}, {'label': 'disappointment', 'score': 0.05083984136581421}, {'label': 'annoyance', 'score': 0.044006504118442535}]
[{'label': 'neutral', 'score': 0.9574047327041626}, {'label': 'sadness', 'score': 0.016713015735149384}, {'label': 'optimism', 'score': 0.005668811500072479}, {'label': 'disappointment', 'score': 0.004146516788750887}, {'label': 'caring', 'score': 0.003394135506823659}]
[{'label': 'neutral', 'score': 0.8725965023040771}, {'label': 'sadness', 'score': 0.07192780822515488}, {'label': 'grief', 'score': 0.00977016519755125}, {'label': 'disappointment', 'score': 0.00916560459882021}, {'label': 'desire', 'score': 0.00742520485073328}]
[{'label': 'neutral', 'score': 0.8372230529785156}, {'label': 'sadness', 'score': 0.09336508065462112}, {'label': 'grief', 'score': 0.012860510498285294}, {'label': 'desire', 'score': 0.01130568515509367}, {'label': 'disappointment', 'score': 0.00998446624726057}]
[{'label': 'neutral', 'score': 0.7216139435768127}, {'label': 'sadness', 'score': 0.11636683344841003}, {'label': 'grief', 'score': 0.045435987412929535}, {'label': 'desire', 'score': 0.03551588952541351}, {'label': 'caring', 'score': 0.019567249342799187}]
[{'label': 'neutral', 'score': 0.7467350959777832}, {'label': 'sadness', 'score': 0.10902325809001923}, {'label': 'grief', 'score': 0.03810315206646919}, {'label': 'desire', 'score': 0.032906610518693924}, {'label': 'caring', 'score': 0.0190573800355196}]
[{'label': 'neutral', 'score': 0.843393862247467}, {'label': 'sadness', 'score': 0.07972360402345657}, {'label': 'grief', 'score': 0.016616977751255035}, {'label': 'desire', 'score': 0.016218028962612152}, {'label': 'disappointment', 'score': 0.00975116528570652}]
[{'label': 'neutral', 'score': 0.9218815565109253}, {'label': 'sadness', 'score': 0.026077456772327423}, {'label': 'desire', 'score': 0.011389125138521194}, {'label': 'optimism', 'score': 0.010425027459859848}, {'label': 'grief', 'score': 0.00700431177392602}]
[{'label': 'neutral', 'score': 0.9418365955352783}, {'label': 'sadness', 'score': 0.015327953733503819}, {'label': 'optimism', 'score': 0.008375073783099651}, {'label': 'desire', 'score': 0.008095024153590202}, {'label': 'caring', 'score': 0.00521929282695055}]
[{'label': 'neutral', 'score': 0.9497572183609009}, {'label': 'sadness', 'score': 0.017417650669813156}, {'label': 'grief', 'score': 0.004996086470782757}, {'label': 'optimism', 'score': 0.004917349200695753}, {'label': 'caring', 'score': 0.004619481973350048}]
[{'label': 'neutral', 'score': 0.9357703924179077}, {'label': 'sadness', 'score': 0.02642638422548771}, {'label': 'grief', 'score': 0.006924922112375498}, {'label': 'caring', 'score': 0.005643818061798811}, {'label': 'optimism', 'score': 0.0043492428958415985}]
[{'label': 'neutral', 'score': 0.9176964163780212}, {'label': 'sadness', 'score': 0.03454551845788956}, {'label': 'grief', 'score': 0.009057343006134033}, {'label': 'desire', 'score': 0.007218911778181791}, {'label': 'optimism', 'score': 0.006805109325796366}]
[{'label': 'neutral', 'score': 0.8731371760368347}, {'label': 'desire', 'score': 0.030405504629015923}, {'label': 'sadness', 'score': 0.028548140078783035}, {'label': 'grief', 'score': 0.023692432790994644}, {'label': 'love', 'score': 0.00902691762894392}]
[{'label': 'neutral', 'score': 0.9066095352172852}, {'label': 'sadness', 'score': 0.04046240448951721}, {'label': 'desire', 'score': 0.012875053100287914}, {'label': 'grief', 'score': 0.008486812002956867}, {'label': 'optimism', 'score': 0.006371847819536924}]
[{'label': 'neutral', 'score': 0.9409637451171875}, {'label': 'sadness', 'score': 0.025769678875803947}, {'label': 'desire', 'score': 0.00805629137903452}, {'label': 'disappointment', 'score': 0.006149705965071917}, {'label': 'optimism', 'score': 0.004744009580463171}]
[{'label': 'neutral', 'score': 0.9409956932067871}, {'label': 'sadness', 'score': 0.020474029704928398}, {'label': 'desire', 'score': 0.010620370507240295}, {'label': 'disappointment', 'score': 0.0065472740679979324}, {'label': 'optimism', 'score': 0.005238878540694714}]
[{'label': 'neutral', 'score': 0.8767423629760742}, {'label': 'sadness', 'score': 0.059713803231716156}, {'label': 'desire', 'score': 0.0212472602725029}, {'label': 'disappointment', 'score': 0.011021794751286507}, {'label': 'optimism', 'score': 0.007621548604220152}]
[{'label': 'neutral', 'score': 0.7738825082778931}, {'label': 'sadness', 'score': 0.14334779977798462}, {'label': 'desire', 'score': 0.017476243898272514}, {'label': 'grief', 'score': 0.014439139515161514}, {'label': 'disappointment', 'score': 0.013782559894025326}]
[{'label': 'neutral', 'score': 0.7774257659912109}, {'label': 'sadness', 'score': 0.08280116319656372}, {'label': 'caring', 'score': 0.028743937611579895}, {'label': 'desire', 'score': 0.027537239715456963}, {'label': 'grief', 'score': 0.026967329904437065}]
[{'label': 'neutral', 'score': 0.7214289307594299}, {'label': 'sadness', 'score': 0.08219021558761597}, {'label': 'caring', 'score': 0.06797165423631668}, {'label': 'grief', 'score': 0.049807168543338776}, {'label': 'desire', 'score': 0.020639825612306595}]
[{'label': 'neutral', 'score': 0.6804956197738647}, {'label': 'sadness', 'score': 0.10005394369363785}, {'label': 'grief', 'score': 0.06507601588964462}, {'label': 'caring', 'score': 0.0623481459915638}, {'label': 'desire', 'score': 0.02276919223368168}]
[{'label': 'neutral', 'score': 0.5591760873794556}, {'label': 'sadness', 'score': 0.10794372111558914}, {'label': 'grief', 'score': 0.1011243686079979}, {'label': 'caring', 'score': 0.09440775960683823}, {'label': 'love', 'score': 0.038685716688632965}]
[{'label': 'neutral', 'score': 0.7126320600509644}, {'label': 'sadness', 'score': 0.07185155898332596}, {'label': 'caring', 'score': 0.06402790546417236}, {'label': 'grief', 'score': 0.051113877445459366}, {'label': 'desire', 'score': 0.03115817718207836}]
[{'label': 'neutral', 'score': 0.7082859873771667}, {'label': 'sadness', 'score': 0.07958094030618668}, {'label': 'caring', 'score': 0.05341160669922829}, {'label': 'desire', 'score': 0.050603169947862625}, {'label': 'grief', 'score': 0.03979351744055748}]
[{'label': 'neutral', 'score': 0.7398395538330078}, {'label': 'caring', 'score': 0.07801833748817444}, {'label': 'sadness', 'score': 0.048737864941358566}, {'label': 'desire', 'score': 0.034219589084386826}, {'label': 'grief', 'score': 0.032933373004198074}]
[{'label': 'neutral', 'score': 0.8569054007530212}, {'label': 'desire', 'score': 0.03239063918590546}, {'label': 'caring', 'score': 0.0247833039611578}, {'label': 'sadness', 'score': 0.023839851841330528}, {'label': 'optimism', 'score': 0.019542386755347252}]
[{'label': 'neutral', 'score': 0.8729562163352966}, {'label': 'sadness', 'score': 0.024815978482365608}, {'label': 'desire', 'score': 0.023450804874300957}, {'label': 'optimism', 'score': 0.02220591902732849}, {'label': 'caring', 'score': 0.014550178311765194}]
[{'label': 'neutral', 'score': 0.8466069102287292}, {'label': 'sadness', 'score': 0.030606931075453758}, {'label': 'desire', 'score': 0.02465454488992691}, {'label': 'optimism', 'score': 0.0242157019674778}, {'label': 'love', 'score': 0.01841607689857483}]
[{'label': 'neutral', 'score': 0.6894996166229248}, {'label': 'desire', 'score': 0.10845537483692169}, {'label': 'optimism', 'score': 0.03933452442288399}, {'label': 'sadness', 'score': 0.03445829451084137}, {'label': 'grief', 'score': 0.03269510716199875}]
