[{'label': 'fear', 'score': 0.39768972992897034}, {'label': 'realization', 'score': 0.3802420198917389}, {'label': 'approval', 'score': 0.13116179406642914}, {'label': 'neutral', 'score': 0.02718631736934185}, {'label': 'optimism', 'score': 0.013111941516399384}]
[{'label': 'fear', 'score': 0.5472699403762817}, {'label': 'neutral', 'score': 0.28246960043907166}, {'label': 'approval', 'score': 0.04105783998966217}, {'label': 'confusion', 'score': 0.03976172208786011}, {'label': 'realization', 'score': 0.012771455571055412}]
[{'label': 'fear', 'score': 0.8456323146820068}, {'label': 'neutral', 'score': 0.0876610204577446}, {'label': 'confusion', 'score': 0.015879524871706963}, {'label': 'approval', 'score': 0.012816756963729858}, {'label': 'realization', 'score': 0.005129099357873201}]
[{'label': 'fear', 'score': 0.9121649265289307}, {'label': 'neutral', 'score': 0.02619958482682705}, {'label': 'realization', 'score': 0.01689699850976467}, {'label': 'approval', 'score': 0.009943310171365738}, {'label': 'surprise', 'score': 0.008827604353427887}]
[{'label': 'realization', 'score': 0.5336441993713379}, {'label': 'surprise', 'score': 0.17763151228427887}, {'label': 'fear', 'score': 0.17141389846801758}, {'label': 'neutral', 'score': 0.02626607194542885}, {'label': 'approval', 'score': 0.025967281311750412}]
[{'label': 'realization', 'score': 0.7299389839172363}, {'label': 'surprise', 'score': 0.16570477187633514}, {'label': 'approval', 'score': 0.025657059624791145}, {'label': 'confusion', 'score': 0.020252037793397903}, {'label': 'fear', 'score': 0.017179245129227638}]
[{'label': 'realization', 'score': 0.6322072744369507}, {'label': 'surprise', 'score': 0.14109615981578827}, {'label': 'fear', 'score': 0.10512250661849976}, {'label': 'confusion', 'score': 0.03316840901970863}, {'label': 'approval', 'score': 0.025722092017531395}]
[{'label': 'fear', 'score': 0.9824221730232239}, {'label': 'realization', 'score': 0.002933293581008911}, {'label': 'surprise', 'score': 0.002124032936990261}, {'label': 'nervousness', 'score': 0.0021042050793766975}, {'label': 'disgust', 'score': 0.0019613357726484537}]
[{'label': 'fear', 'score': 0.9912206530570984}, {'label': 'disgust', 'score': 0.0016079794149845839}, {'label': 'nervousness', 'score': 0.0013140513328835368}, {'label': 'realization', 'score': 0.0007677343674004078}, {'label': 'sadness', 'score': 0.0006791906780563295}]
[{'label': 'fear', 'score': 0.9785646200180054}, {'label': 'disgust', 'score': 0.004754243418574333}, {'label': 'neutral', 'score': 0.0032454903703182936}, {'label': 'sadness', 'score': 0.0019910724367946386}, {'label': 'nervousness', 'score': 0.0018792120972648263}]
[{'label': 'neutral', 'score': 0.25474637746810913}, {'label': 'realization', 'score': 0.21201252937316895}, {'label': 'surprise', 'score': 0.1492430865764618}, {'label': 'curiosity', 'score': 0.10479933023452759}, {'label': 'optimism', 'score': 0.06689772009849548}]
[{'label': 'neutral', 'score': 0.9292231798171997}, {'label': 'realization', 'score': 0.019685661420226097}, {'label': 'curiosity', 'score': 0.013814836740493774}, {'label': 'confusion', 'score': 0.008945098146796227}, {'label': 'approval', 'score': 0.007966154254972935}]
[{'label': 'neutral', 'score': 0.9080661535263062}, {'label': 'realization', 'score': 0.03516878932714462}, {'label': 'curiosity', 'score': 0.019798675552010536}, {'label': 'confusion', 'score': 0.011127534322440624}, {'label': 'approval', 'score': 0.010449513792991638}]
[{'label': 'neutral', 'score': 0.7332935929298401}, {'label': 'realization', 'score': 0.1430012732744217}, {'label': 'curiosity', 'score': 0.045192621648311615}, {'label': 'confusion', 'score': 0.03797086700797081}, {'label': 'approval', 'score': 0.015529255382716656}]
[{'label': 'realization', 'score': 0.5422744750976562}, {'label': 'neutral', 'score': 0.38887983560562134}, {'label': 'approval', 'score': 0.033598192036151886}, {'label': 'surprise', 'score': 0.010142462328076363}, {'label': 'curiosity', 'score': 0.005637533497065306}]
[{'label': 'realization', 'score': 0.9376928806304932}, {'label': 'neutral', 'score': 0.03473588824272156}, {'label': 'approval', 'score': 0.01191524788737297}, {'label': 'surprise', 'score': 0.006952397059649229}, {'label': 'optimism', 'score': 0.002257306594401598}]
[{'label': 'realization', 'score': 0.9593432545661926}, {'label': 'neutral', 'score': 0.015408415347337723}, {'label': 'approval', 'score': 0.009042413905262947}, {'label': 'surprise', 'score': 0.007348251063376665}, {'label': 'optimism', 'score': 0.0023292619735002518}]
[{'label': 'realization', 'score': 0.9685927629470825}, {'label': 'neutral', 'score': 0.010494009591639042}, {'label': 'approval', 'score': 0.006727300118654966}, {'label': 'surprise', 'score': 0.006687303073704243}, {'label': 'optimism', 'score': 0.0019365648040547967}]
[{'label': 'realization', 'score': 0.9768516421318054}, {'label': 'neutral', 'score': 0.011386219412088394}, {'label': 'approval', 'score': 0.003957950975745916}, {'label': 'surprise', 'score': 0.003396835643798113}, {'label': 'optimism', 'score': 0.001285857055336237}]
[{'label': 'realization', 'score': 0.9594236016273499}, {'label': 'neutral', 'score': 0.02294599637389183}, {'label': 'surprise', 'score': 0.00808433536440134}, {'label': 'approval', 'score': 0.003980298992246389}, {'label': 'optimism', 'score': 0.0015076701529324055}]
[{'label': 'realization', 'score': 0.9004262685775757}, {'label': 'neutral', 'score': 0.06670011579990387}, {'label': 'surprise', 'score': 0.014727741479873657}, {'label': 'approval', 'score': 0.009214290417730808}, {'label': 'optimism', 'score': 0.0025974027812480927}]
[{'label': 'realization', 'score': 0.895343542098999}, {'label': 'neutral', 'score': 0.07072106003761292}, {'label': 'surprise', 'score': 0.01509860809892416}, {'label': 'approval', 'score': 0.009843341074883938}, {'label': 'optimism', 'score': 0.002708044834434986}]
[{'label': 'neutral', 'score': 0.5032597184181213}, {'label': 'realization', 'score': 0.46634358167648315}, {'label': 'approval', 'score': 0.011494655162096024}, {'label': 'surprise', 'score': 0.007479079067707062}, {'label': 'optimism', 'score': 0.0028868752997368574}]
[{'label': 'neutral', 'score': 0.794625461101532}, {'label': 'realization', 'score': 0.17709249258041382}, {'label': 'approval', 'score': 0.014330017380416393}, {'label': 'surprise', 'score': 0.0032453471794724464}, {'label': 'optimism', 'score': 0.0024005644954741}]
[{'label': 'neutral', 'score': 0.8293404579162598}, {'label': 'realization', 'score': 0.1366744339466095}, {'label': 'approval', 'score': 0.018082797527313232}, {'label': 'confusion', 'score': 0.003206223016604781}, {'label': 'surprise', 'score': 0.003132888814434409}]
[{'label': 'neutral', 'score': 0.7341426610946655}, {'label': 'realization', 'score': 0.2264126092195511}, {'label': 'approval', 'score': 0.01990552246570587}, {'label': 'confusion', 'score': 0.0065386537462472916}, {'label': 'surprise', 'score': 0.0030007355380803347}]
[{'label': 'neutral', 'score': 0.6752870082855225}, {'label': 'realization', 'score': 0.2613459825515747}, {'label': 'approval', 'score': 0.03271343559026718}, {'label': 'confusion', 'score': 0.00658337352797389}, {'label': 'surprise', 'score': 0.005303897429257631}]
[{'label': 'realization', 'score': 0.8896762728691101}, {'label': 'neutral', 'score': 0.07099153101444244}, {'label': 'approval', 'score': 0.01897258870303631}, {'label': 'surprise', 'score': 0.0058549679815769196}, {'label': 'confusion', 'score': 0.003468794748187065}]
[{'label': 'realization', 'score': 0.9718689322471619}, {'label': 'neutral', 'score': 0.013895493932068348}, {'label': 'approval', 'score': 0.005072335246950388}, {'label': 'surprise', 'score': 0.002958404365926981}, {'label': 'confusion', 'score': 0.0017263635527342558}]
[{'label': 'realization', 'score': 0.9790763854980469}, {'label': 'neutral', 'score': 0.010931403376162052}, {'label': 'surprise', 'score': 0.0030285916291177273}, {'label': 'approval', 'score': 0.0025181497912853956}, {'label': 'confusion', 'score': 0.0015516002895310521}]
[{'label': 'realization', 'score': 0.9684101343154907}, {'label': 'neutral', 'score': 0.01539273839443922}, {'label': 'surprise', 'score': 0.008274850435554981}, {'label': 'confusion', 'score': 0.0023039099760353565}, {'label': 'approval', 'score': 0.0020596953108906746}]
[{'label': 'realization', 'score': 0.9019244313240051}, {'label': 'surprise', 'score': 0.04557407274842262}, {'label': 'neutral', 'score': 0.033278144896030426}, {'label': 'confusion', 'score': 0.005476610269397497}, {'label': 'approval', 'score': 0.005028460640460253}]
[{'label': 'realization', 'score': 0.8964802026748657}, {'label': 'surprise', 'score': 0.047075122594833374}, {'label': 'neutral', 'score': 0.03673890233039856}, {'label': 'approval', 'score': 0.005730563309043646}, {'label': 'confusion', 'score': 0.004956627730280161}]
[{'label': 'realization', 'score': 0.6810687780380249}, {'label': 'surprise', 'score': 0.14052583277225494}, {'label': 'neutral', 'score': 0.13123324513435364}, {'label': 'confusion', 'score': 0.010591086000204086}, {'label': 'approval', 'score': 0.008633910678327084}]
[{'label': 'realization', 'score': 0.632882297039032}, {'label': 'neutral', 'score': 0.16595271229743958}, {'label': 'surprise', 'score': 0.09675300866365433}, {'label': 'disappointment', 'score': 0.02920638956129551}, {'label': 'sadness', 'score': 0.023601720109581947}]
[{'label': 'realization', 'score': 0.4968619644641876}, {'label': 'approval', 'score': 0.16885772347450256}, {'label': 'neutral', 'score': 0.13479427993297577}, {'label': 'surprise', 'score': 0.06262148171663284}, {'label': 'curiosity', 'score': 0.03390579670667648}]
[{'label': 'realization', 'score': 0.6665552258491516}, {'label': 'neutral', 'score': 0.11013185977935791}, {'label': 'approval', 'score': 0.09233275800943375}, {'label': 'surprise', 'score': 0.06433938443660736}, {'label': 'confusion', 'score': 0.01840956322848797}]
[{'label': 'realization', 'score': 0.6421809792518616}, {'label': 'approval', 'score': 0.10878079384565353}, {'label': 'neutral', 'score': 0.10200277715921402}, {'label': 'surprise', 'score': 0.04944087564945221}, {'label': 'confusion', 'score': 0.046755772083997726}]
[{'label': 'realization', 'score': 0.48506951332092285}, {'label': 'approval', 'score': 0.1683804839849472}, {'label': 'neutral', 'score': 0.0906749814748764}, {'label': 'surprise', 'score': 0.08472253382205963}, {'label': 'curiosity', 'score': 0.06845194846391678}]
[{'label': 'realization', 'score': 0.8727767467498779}, {'label': 'surprise', 'score': 0.04032789170742035}, {'label': 'approval', 'score': 0.024150120094418526}, {'label': 'neutral', 'score': 0.0212149266153574}, {'label': 'confusion', 'score': 0.019021205604076385}]
[{'label': 'realization', 'score': 0.9386168122291565}, {'label': 'surprise', 'score': 0.028916338458657265}, {'label': 'confusion', 'score': 0.008470021188259125}, {'label': 'approval', 'score': 0.007092638872563839}, {'label': 'neutral', 'score': 0.006808956619352102}]
[{'label': 'realization', 'score': 0.9384322166442871}, {'label': 'surprise', 'score': 0.029833650216460228}, {'label': 'confusion', 'score': 0.008034011349081993}, {'label': 'neutral', 'score': 0.006789719220250845}, {'label': 'approval', 'score': 0.006723880302160978}]
[{'label': 'realization', 'score': 0.9098014831542969}, {'label': 'surprise', 'score': 0.05256548523902893}, {'label': 'confusion', 'score': 0.013702550902962685}, {'label': 'neutral', 'score': 0.008653693832457066}, {'label': 'approval', 'score': 0.005899934563785791}]
[{'label': 'realization', 'score': 0.8899029493331909}, {'label': 'surprise', 'score': 0.06709694862365723}, {'label': 'confusion', 'score': 0.013500625267624855}, {'label': 'neutral', 'score': 0.01214416790753603}, {'label': 'approval', 'score': 0.006835871376097202}]
[{'label': 'realization', 'score': 0.9293254017829895}, {'label': 'surprise', 'score': 0.04633066803216934}, {'label': 'neutral', 'score': 0.008978123776614666}, {'label': 'approval', 'score': 0.004772144369781017}, {'label': 'confusion', 'score': 0.003628498874604702}]
[{'label': 'realization', 'score': 0.9279952049255371}, {'label': 'surprise', 'score': 0.0464840866625309}, {'label': 'neutral', 'score': 0.009085940197110176}, {'label': 'approval', 'score': 0.005727291107177734}, {'label': 'confusion', 'score': 0.0033708640839904547}]
[{'label': 'realization', 'score': 0.9202147722244263}, {'label': 'surprise', 'score': 0.04603447765111923}, {'label': 'neutral', 'score': 0.013841594569385052}, {'label': 'approval', 'score': 0.008236771449446678}, {'label': 'excitement', 'score': 0.002317185280844569}]
[{'label': 'realization', 'score': 0.7819039225578308}, {'label': 'approval', 'score': 0.08730585128068924}, {'label': 'surprise', 'score': 0.050231851637363434}, {'label': 'neutral', 'score': 0.044317543506622314}, {'label': 'optimism', 'score': 0.007538876496255398}]
[{'label': 'realization', 'score': 0.5969284772872925}, {'label': 'approval', 'score': 0.218946635723114}, {'label': 'neutral', 'score': 0.09243123978376389}, {'label': 'admiration', 'score': 0.02612382359802723}, {'label': 'surprise', 'score': 0.02217705361545086}]
[{'label': 'realization', 'score': 0.6804226636886597}, {'label': 'approval', 'score': 0.2095164805650711}, {'label': 'neutral', 'score': 0.05836545303463936}, {'label': 'surprise', 'score': 0.013332806527614594}, {'label': 'optimism', 'score': 0.007661170791834593}]
[{'label': 'realization', 'score': 0.847270131111145}, {'label': 'approval', 'score': 0.0731060802936554}, {'label': 'neutral', 'score': 0.048046745359897614}, {'label': 'surprise', 'score': 0.011091746389865875}, {'label': 'optimism', 'score': 0.004141152370721102}]
[{'label': 'realization', 'score': 0.9591183066368103}, {'label': 'neutral', 'score': 0.0164308063685894}, {'label': 'approval', 'score': 0.012243315577507019}, {'label': 'surprise', 'score': 0.006176372524350882}, {'label': 'optimism', 'score': 0.0017209069337695837}]
[{'label': 'realization', 'score': 0.8332609534263611}, {'label': 'approval', 'score': 0.07049909234046936}, {'label': 'neutral', 'score': 0.06018218398094177}, {'label': 'surprise', 'score': 0.014104645699262619}, {'label': 'optimism', 'score': 0.004345922730863094}]
[{'label': 'realization', 'score': 0.9797275066375732}, {'label': 'neutral', 'score': 0.008266203105449677}, {'label': 'surprise', 'score': 0.004898569546639919}, {'label': 'approval', 'score': 0.003684943774715066}, {'label': 'optimism', 'score': 0.0009439474670216441}]
[{'label': 'realization', 'score': 0.9651340246200562}, {'label': 'surprise', 'score': 0.022302597761154175}, {'label': 'neutral', 'score': 0.004821306560188532}, {'label': 'approval', 'score': 0.0026543145067989826}, {'label': 'confusion', 'score': 0.000942898856010288}]
[{'label': 'realization', 'score': 0.9507513046264648}, {'label': 'surprise', 'score': 0.03426907956600189}, {'label': 'neutral', 'score': 0.0054949065670371056}, {'label': 'approval', 'score': 0.002956126583740115}, {'label': 'excitement', 'score': 0.0012337167281657457}]
[{'label': 'realization', 'score': 0.943989634513855}, {'label': 'surprise', 'score': 0.03725732862949371}, {'label': 'neutral', 'score': 0.007896660827100277}, {'label': 'approval', 'score': 0.0038572074845433235}, {'label': 'excitement', 'score': 0.0014148341724649072}]
[{'label': 'realization', 'score': 0.35096612572669983}, {'label': 'approval', 'score': 0.34569764137268066}, {'label': 'admiration', 'score': 0.08290080726146698}, {'label': 'surprise', 'score': 0.0764097049832344}, {'label': 'neutral', 'score': 0.0639876052737236}]
[{'label': 'approval', 'score': 0.6241369843482971}, {'label': 'admiration', 'score': 0.10414417088031769}, {'label': 'realization', 'score': 0.07569005340337753}, {'label': 'neutral', 'score': 0.054910458624362946}, {'label': 'surprise', 'score': 0.0349591001868248}]
[{'label': 'approval', 'score': 0.6221255660057068}, {'label': 'neutral', 'score': 0.07844869792461395}, {'label': 'curiosity', 'score': 0.07477393746376038}, {'label': 'realization', 'score': 0.053296104073524475}, {'label': 'admiration', 'score': 0.04522327706217766}]
[{'label': 'approval', 'score': 0.5215464234352112}, {'label': 'neutral', 'score': 0.1717669814825058}, {'label': 'admiration', 'score': 0.09274253994226456}, {'label': 'realization', 'score': 0.05920403450727463}, {'label': 'surprise', 'score': 0.047621820122003555}]
[{'label': 'approval', 'score': 0.5070446133613586}, {'label': 'neutral', 'score': 0.17435143887996674}, {'label': 'admiration', 'score': 0.09009522944688797}, {'label': 'realization', 'score': 0.058830808848142624}, {'label': 'surprise', 'score': 0.05294539034366608}]
[{'label': 'realization', 'score': 0.2601172626018524}, {'label': 'approval', 'score': 0.25437429547309875}, {'label': 'neutral', 'score': 0.19125142693519592}, {'label': 'surprise', 'score': 0.11918514221906662}, {'label': 'excitement', 'score': 0.054500874131917953}]
[{'label': 'realization', 'score': 0.32150036096572876}, {'label': 'surprise', 'score': 0.2471657693386078}, {'label': 'neutral', 'score': 0.10823938995599747}, {'label': 'approval', 'score': 0.09488841146230698}, {'label': 'curiosity', 'score': 0.07664921879768372}]
[{'label': 'realization', 'score': 0.5402063727378845}, {'label': 'surprise', 'score': 0.2945794463157654}, {'label': 'neutral', 'score': 0.046292055398225784}, {'label': 'approval', 'score': 0.03197724372148514}, {'label': 'curiosity', 'score': 0.02320774458348751}]
[{'label': 'realization', 'score': 0.5477284789085388}, {'label': 'surprise', 'score': 0.2878309190273285}, {'label': 'neutral', 'score': 0.042735178023576736}, {'label': 'approval', 'score': 0.03206590190529823}, {'label': 'curiosity', 'score': 0.02440847083926201}]
[{'label': 'realization', 'score': 0.47863730788230896}, {'label': 'surprise', 'score': 0.36503690481185913}, {'label': 'approval', 'score': 0.045468054711818695}, {'label': 'neutral', 'score': 0.031137844547629356}, {'label': 'curiosity', 'score': 0.02401815354824066}]
[{'label': 'realization', 'score': 0.5569652915000916}, {'label': 'surprise', 'score': 0.26628369092941284}, {'label': 'approval', 'score': 0.062131695449352264}, {'label': 'neutral', 'score': 0.04132619872689247}, {'label': 'curiosity', 'score': 0.018540410324931145}]
[{'label': 'realization', 'score': 0.7032395005226135}, {'label': 'surprise', 'score': 0.15659722685813904}, {'label': 'neutral', 'score': 0.05330941081047058}, {'label': 'approval', 'score': 0.043410640209913254}, {'label': 'optimism', 'score': 0.008040018379688263}]
