[{'label': 'surprise', 'score': 0.9759148955345154}, {'label': 'realization', 'score': 0.013276294805109501}, {'label': 'neutral', 'score': 0.00579014653339982}, {'label': 'excitement', 'score': 0.0011472522746771574}, {'label': 'disapproval', 'score': 0.0008893171907402575}]
[{'label': 'surprise', 'score': 0.9651674628257751}, {'label': 'realization', 'score': 0.02092541940510273}, {'label': 'neutral', 'score': 0.005692147184163332}, {'label': 'excitement', 'score': 0.002017701743170619}, {'label': 'confusion', 'score': 0.0016801046440377831}]
[{'label': 'surprise', 'score': 0.9656824469566345}, {'label': 'realization', 'score': 0.021198907867074013}, {'label': 'neutral', 'score': 0.004689970053732395}, {'label': 'excitement', 'score': 0.0020364471711218357}, {'label': 'confusion', 'score': 0.0017585543682798743}]
[{'label': 'surprise', 'score': 0.9473325610160828}, {'label': 'realization', 'score': 0.026091912761330605}, {'label': 'neutral', 'score': 0.016560135409235954}, {'label': 'excitement', 'score': 0.0030730930157005787}, {'label': 'confusion', 'score': 0.0012371331686154008}]
[{'label': 'surprise', 'score': 0.9337663650512695}, {'label': 'realization', 'score': 0.03147893026471138}, {'label': 'neutral', 'score': 0.024239787831902504}, {'label': 'excitement', 'score': 0.002713620662689209}, {'label': 'disapproval', 'score': 0.001568734529428184}]
[{'label': 'surprise', 'score': 0.8905282020568848}, {'label': 'realization', 'score': 0.05264980345964432}, {'label': 'neutral', 'score': 0.04082654044032097}, {'label': 'disapproval', 'score': 0.0032839681953191757}, {'label': 'excitement', 'score': 0.003051263280212879}]
[{'label': 'surprise', 'score': 0.9376510381698608}, {'label': 'realization', 'score': 0.037628281861543655}, {'label': 'neutral', 'score': 0.011887738481163979}, {'label': 'disapproval', 'score': 0.0034814130049198866}, {'label': 'excitement', 'score': 0.0022048484534025192}]
[{'label': 'surprise', 'score': 0.9710068702697754}, {'label': 'realization', 'score': 0.019381966441869736}, {'label': 'neutral', 'score': 0.003194924211129546}, {'label': 'excitement', 'score': 0.0015056388219818473}, {'label': 'disapproval', 'score': 0.0012668961426243186}]
[{'label': 'surprise', 'score': 0.9823598861694336}, {'label': 'realization', 'score': 0.011229465715587139}, {'label': 'neutral', 'score': 0.001909785671159625}, {'label': 'excitement', 'score': 0.001085431664250791}, {'label': 'disapproval', 'score': 0.0008161056321114302}]
[{'label': 'surprise', 'score': 0.986874520778656}, {'label': 'realization', 'score': 0.007666583638638258}, {'label': 'neutral', 'score': 0.0016592410393059254}, {'label': 'excitement', 'score': 0.0008805227698758245}, {'label': 'disapproval', 'score': 0.000722626456990838}]
[{'label': 'surprise', 'score': 0.9893901944160461}, {'label': 'realization', 'score': 0.006187894847244024}, {'label': 'neutral', 'score': 0.001185762695968151}, {'label': 'excitement', 'score': 0.0008033465128391981}, {'label': 'disapproval', 'score': 0.000540788983926177}]
[{'label': 'surprise', 'score': 0.9884940981864929}, {'label': 'realization', 'score': 0.006309794262051582}, {'label': 'neutral', 'score': 0.0017591167706996202}, {'label': 'excitement', 'score': 0.0007280135760083795}, {'label': 'disapproval', 'score': 0.0006199773051775992}]
[{'label': 'surprise', 'score': 0.9829694032669067}, {'label': 'realization', 'score': 0.010900918394327164}, {'label': 'neutral', 'score': 0.0018055742839351296}, {'label': 'disapproval', 'score': 0.0008730487315915525}, {'label': 'excitement', 'score': 0.0008450490422546864}]
[{'label': 'surprise', 'score': 0.9773968458175659}, {'label': 'realization', 'score': 0.01587929204106331}, {'label': 'neutral', 'score': 0.001923857955262065}, {'label': 'disapproval', 'score': 0.0009969683596864343}, {'label': 'excitement', 'score': 0.0009739428642205894}]
[{'label': 'surprise', 'score': 0.9777554869651794}, {'label': 'realization', 'score': 0.015605135820806026}, {'label': 'neutral', 'score': 0.001860869931988418}, {'label': 'excitement', 'score': 0.001015297370031476}, {'label': 'disapproval', 'score': 0.0009671649313531816}]
[{'label': 'surprise', 'score': 0.95792156457901}, {'label': 'realization', 'score': 0.03255791589617729}, {'label': 'neutral', 'score': 0.0025160510558634996}, {'label': 'excitement', 'score': 0.0015961005119606853}, {'label': 'disapproval', 'score': 0.0013764245668426156}]
[{'label': 'surprise', 'score': 0.9585923552513123}, {'label': 'realization', 'score': 0.03173922002315521}, {'label': 'neutral', 'score': 0.002601595828309655}, {'label': 'excitement', 'score': 0.001656164531596005}, {'label': 'disapproval', 'score': 0.0013950035208836198}]
[{'label': 'surprise', 'score': 0.9627339243888855}, {'label': 'realization', 'score': 0.030069101601839066}, {'label': 'excitement', 'score': 0.001246522064320743}, {'label': 'neutral', 'score': 0.001189687056466937}, {'label': 'disapproval', 'score': 0.0010093352757394314}]
[{'label': 'surprise', 'score': 0.9776891469955444}, {'label': 'realization', 'score': 0.017345057800412178}, {'label': 'excitement', 'score': 0.0010368645889684558}, {'label': 'neutral', 'score': 0.0006897521088831127}, {'label': 'disapproval', 'score': 0.0005395497428253293}]
[{'label': 'surprise', 'score': 0.9769087433815002}, {'label': 'realization', 'score': 0.01800459623336792}, {'label': 'excitement', 'score': 0.001211493625305593}, {'label': 'neutral', 'score': 0.0006577596068382263}, {'label': 'disapproval', 'score': 0.00048282762872986495}]
[{'label': 'surprise', 'score': 0.9787176847457886}, {'label': 'realization', 'score': 0.016354531049728394}, {'label': 'excitement', 'score': 0.0012539095478132367}, {'label': 'neutral', 'score': 0.0006211432628333569}, {'label': 'disapproval', 'score': 0.0004896657774224877}]
[{'label': 'surprise', 'score': 0.9741398096084595}, {'label': 'realization', 'score': 0.020618027076125145}, {'label': 'excitement', 'score': 0.0013419276801869273}, {'label': 'neutral', 'score': 0.0007621364784426987}, {'label': 'disapproval', 'score': 0.0004863476497121155}]
[{'label': 'surprise', 'score': 0.9716785550117493}, {'label': 'realization', 'score': 0.02292991802096367}, {'label': 'excitement', 'score': 0.001360587659291923}, {'label': 'neutral', 'score': 0.0007271163631230593}, {'label': 'disapproval', 'score': 0.0005565978935919702}]
[{'label': 'surprise', 'score': 0.9662244319915771}, {'label': 'realization', 'score': 0.027620097622275352}, {'label': 'excitement', 'score': 0.001530577428638935}, {'label': 'neutral', 'score': 0.0009741196990944445}, {'label': 'disapproval', 'score': 0.0007045186357572675}]
[{'label': 'surprise', 'score': 0.9597116112709045}, {'label': 'realization', 'score': 0.032721154391765594}, {'label': 'neutral', 'score': 0.0018106079660356045}, {'label': 'excitement', 'score': 0.001664771349169314}, {'label': 'disapproval', 'score': 0.0009498644503764808}]
[{'label': 'surprise', 'score': 0.9526287913322449}, {'label': 'realization', 'score': 0.029390236362814903}, {'label': 'neutral', 'score': 0.009214703924953938}, {'label': 'disapproval', 'score': 0.002501885639503598}, {'label': 'excitement', 'score': 0.0016794783296063542}]
[{'label': 'surprise', 'score': 0.9590330123901367}, {'label': 'realization', 'score': 0.023423315957188606}, {'label': 'neutral', 'score': 0.008130935952067375}, {'label': 'disapproval', 'score': 0.0032516890205442905}, {'label': 'excitement', 'score': 0.0014552600914612412}]
[{'label': 'surprise', 'score': 0.9679122567176819}, {'label': 'realization', 'score': 0.018687676638364792}, {'label': 'neutral', 'score': 0.00600637961179018}, {'label': 'disapproval', 'score': 0.002066703513264656}, {'label': 'excitement', 'score': 0.0013249400071799755}]
[{'label': 'surprise', 'score': 0.9853109121322632}, {'label': 'realization', 'score': 0.008304930292069912}, {'label': 'neutral', 'score': 0.00215297588147223}, {'label': 'excitement', 'score': 0.0009574723662808537}, {'label': 'disapproval', 'score': 0.0008404185646213591}]
[{'label': 'surprise', 'score': 0.9880023002624512}, {'label': 'realization', 'score': 0.0069192638620734215}, {'label': 'neutral', 'score': 0.0015964460326358676}, {'label': 'excitement', 'score': 0.0009748577140271664}, {'label': 'disapproval', 'score': 0.00048783625243231654}]
[{'label': 'surprise', 'score': 0.9873964190483093}, {'label': 'realization', 'score': 0.007671359460800886}, {'label': 'neutral', 'score': 0.001523007289506495}, {'label': 'excitement', 'score': 0.0010217330418527126}, {'label': 'disapproval', 'score': 0.00042028387542814016}]
[{'label': 'surprise', 'score': 0.9874795079231262}, {'label': 'realization', 'score': 0.008044549264013767}, {'label': 'excitement', 'score': 0.0010910410201177}, {'label': 'neutral', 'score': 0.0010385301429778337}, {'label': 'disapproval', 'score': 0.00046035167179070413}]
[{'label': 'surprise', 'score': 0.9869645237922668}, {'label': 'realization', 'score': 0.008496136404573917}, {'label': 'excitement', 'score': 0.0010919923661276698}, {'label': 'neutral', 'score': 0.0008279235917143524}, {'label': 'disapproval', 'score': 0.0005869917222298682}]
[{'label': 'surprise', 'score': 0.9865565896034241}, {'label': 'realization', 'score': 0.008206413127481937}, {'label': 'excitement', 'score': 0.0010756989941000938}, {'label': 'neutral', 'score': 0.000995574751868844}, {'label': 'disapproval', 'score': 0.0008971732459031045}]
[{'label': 'surprise', 'score': 0.9842206239700317}, {'label': 'realization', 'score': 0.008665304630994797}, {'label': 'neutral', 'score': 0.0019520758651196957}, {'label': 'disapproval', 'score': 0.0014415548648685217}, {'label': 'excitement', 'score': 0.001056103385053575}]
[{'label': 'surprise', 'score': 0.9845581650733948}, {'label': 'realization', 'score': 0.007904238998889923}, {'label': 'neutral', 'score': 0.0023428609129041433}, {'label': 'disapproval', 'score': 0.0014804754173383117}, {'label': 'excitement', 'score': 0.0010482821380719543}]
[{'label': 'surprise', 'score': 0.9873846769332886}, {'label': 'realization', 'score': 0.006609420292079449}, {'label': 'neutral', 'score': 0.002036269987002015}, {'label': 'excitement', 'score': 0.0009478963329456747}, {'label': 'disapproval', 'score': 0.0008060500840656459}]
[{'label': 'surprise', 'score': 0.988926887512207}, {'label': 'realization', 'score': 0.006007366813719273}, {'label': 'neutral', 'score': 0.0014531888300552964}, {'label': 'excitement', 'score': 0.0009449602803215384}, {'label': 'disapproval', 'score': 0.0006170194828882813}]
[{'label': 'surprise', 'score': 0.9890959858894348}, {'label': 'realization', 'score': 0.005840921774506569}, {'label': 'neutral', 'score': 0.0015275117475539446}, {'label': 'excitement', 'score': 0.0009376344969496131}, {'label': 'disapproval', 'score': 0.000585207890253514}]
[{'label': 'surprise', 'score': 0.9904181361198425}, {'label': 'realization', 'score': 0.005283783655613661}, {'label': 'excitement', 'score': 0.0008886051364243031}, {'label': 'neutral', 'score': 0.0008111454080790281}, {'label': 'disapproval', 'score': 0.00047690121573396027}]
[{'label': 'surprise', 'score': 0.990301787853241}, {'label': 'realization', 'score': 0.005756378639489412}, {'label': 'excitement', 'score': 0.0008831076556816697}, {'label': 'neutral', 'score': 0.0006080544553697109}, {'label': 'disapproval', 'score': 0.00040517078014090657}]
[{'label': 'surprise', 'score': 0.9893248677253723}, {'label': 'realization', 'score': 0.006926586385816336}, {'label': 'excitement', 'score': 0.0008804688695818186}, {'label': 'neutral', 'score': 0.0004335024277679622}, {'label': 'confusion', 'score': 0.00038277730345726013}]
[{'label': 'surprise', 'score': 0.9863292574882507}, {'label': 'realization', 'score': 0.009464052505791187}, {'label': 'excitement', 'score': 0.000883157947100699}, {'label': 'confusion', 'score': 0.0005044827703386545}, {'label': 'neutral', 'score': 0.0004905055393464863}]
[{'label': 'surprise', 'score': 0.9830580353736877}, {'label': 'realization', 'score': 0.012255115434527397}, {'label': 'neutral', 'score': 0.0008173198439180851}, {'label': 'excitement', 'score': 0.0007727645570412278}, {'label': 'confusion', 'score': 0.0006246388074941933}]
[{'label': 'surprise', 'score': 0.9827462434768677}, {'label': 'realization', 'score': 0.012461568228900433}, {'label': 'neutral', 'score': 0.0008538263500668108}, {'label': 'excitement', 'score': 0.0007932681473903358}, {'label': 'confusion', 'score': 0.0006315865903161466}]
[{'label': 'surprise', 'score': 0.9832971096038818}, {'label': 'realization', 'score': 0.011777765117585659}, {'label': 'excitement', 'score': 0.0010994670446962118}, {'label': 'neutral', 'score': 0.0007119658985175192}, {'label': 'confusion', 'score': 0.0006020931759849191}]
[{'label': 'surprise', 'score': 0.9715191125869751}, {'label': 'realization', 'score': 0.02201596274971962}, {'label': 'excitement', 'score': 0.0014057726366445422}, {'label': 'confusion', 'score': 0.0009573408751748502}, {'label': 'amusement', 'score': 0.0006894835387356579}]
[{'label': 'surprise', 'score': 0.969292938709259}, {'label': 'realization', 'score': 0.023498231545090675}, {'label': 'excitement', 'score': 0.001495191128924489}, {'label': 'confusion', 'score': 0.0011412868043407798}, {'label': 'amusement', 'score': 0.0008404413820244372}]
[{'label': 'surprise', 'score': 0.9627535939216614}, {'label': 'realization', 'score': 0.028728947043418884}, {'label': 'confusion', 'score': 0.0018154437420889735}, {'label': 'excitement', 'score': 0.001541887759231031}, {'label': 'disapproval', 'score': 0.0009791628690436482}]
[{'label': 'surprise', 'score': 0.9588042497634888}, {'label': 'realization', 'score': 0.031190039590001106}, {'label': 'confusion', 'score': 0.002697093179449439}, {'label': 'excitement', 'score': 0.0015881588915362954}, {'label': 'disapproval', 'score': 0.0012063229223713279}]
[{'label': 'surprise', 'score': 0.9742567539215088}, {'label': 'realization', 'score': 0.019666578620672226}, {'label': 'excitement', 'score': 0.0013240610715001822}, {'label': 'confusion', 'score': 0.0009318964439444244}, {'label': 'disapproval', 'score': 0.0006892131641507149}]
[{'label': 'surprise', 'score': 0.9719794988632202}, {'label': 'realization', 'score': 0.021575545892119408}, {'label': 'excitement', 'score': 0.0012292609317228198}, {'label': 'confusion', 'score': 0.0011306885862722993}, {'label': 'neutral', 'score': 0.0008357124170288444}]
[{'label': 'surprise', 'score': 0.9600460529327393}, {'label': 'realization', 'score': 0.03024194948375225}, {'label': 'confusion', 'score': 0.0019201532704755664}, {'label': 'neutral', 'score': 0.0014407880371436477}, {'label': 'excitement', 'score': 0.0013934251619502902}]
[{'label': 'surprise', 'score': 0.9700615406036377}, {'label': 'realization', 'score': 0.021298116073012352}, {'label': 'neutral', 'score': 0.001459260587580502}, {'label': 'disapproval', 'score': 0.0014590302016586065}, {'label': 'confusion', 'score': 0.0013093500165268779}]
[{'label': 'surprise', 'score': 0.9736922383308411}, {'label': 'realization', 'score': 0.018175367265939713}, {'label': 'confusion', 'score': 0.0014680343447253108}, {'label': 'neutral', 'score': 0.0014391477452591062}, {'label': 'disapproval', 'score': 0.0012258314527571201}]
[{'label': 'surprise', 'score': 0.9747880697250366}, {'label': 'realization', 'score': 0.016422182321548462}, {'label': 'confusion', 'score': 0.002085312968119979}, {'label': 'neutral', 'score': 0.001526599982753396}, {'label': 'excitement', 'score': 0.0012919317232444882}]
[{'label': 'surprise', 'score': 0.9697622060775757}, {'label': 'realization', 'score': 0.0160757414996624}, {'label': 'confusion', 'score': 0.005365959368646145}, {'label': 'neutral', 'score': 0.0023443682584911585}, {'label': 'excitement', 'score': 0.0014829437714070082}]
[{'label': 'surprise', 'score': 0.9595810770988464}, {'label': 'realization', 'score': 0.02002095989882946}, {'label': 'confusion', 'score': 0.009911476634442806}, {'label': 'neutral', 'score': 0.002706947736442089}, {'label': 'excitement', 'score': 0.001663105795159936}]
[{'label': 'surprise', 'score': 0.9345715045928955}, {'label': 'realization', 'score': 0.032992128282785416}, {'label': 'confusion', 'score': 0.016120372340083122}, {'label': 'neutral', 'score': 0.005952156148850918}, {'label': 'excitement', 'score': 0.0020121228881180286}]
[{'label': 'surprise', 'score': 0.9210079908370972}, {'label': 'realization', 'score': 0.03590921312570572}, {'label': 'confusion', 'score': 0.024731241166591644}, {'label': 'neutral', 'score': 0.006746976636350155}, {'label': 'excitement', 'score': 0.002320932922884822}]
[{'label': 'surprise', 'score': 0.9085264205932617}, {'label': 'realization', 'score': 0.03774544596672058}, {'label': 'confusion', 'score': 0.03311555087566376}, {'label': 'neutral', 'score': 0.007783572655171156}, {'label': 'excitement', 'score': 0.002371224109083414}]
[{'label': 'surprise', 'score': 0.947108805179596}, {'label': 'realization', 'score': 0.023656850680708885}, {'label': 'confusion', 'score': 0.017878351733088493}, {'label': 'neutral', 'score': 0.001916841953061521}, {'label': 'amusement', 'score': 0.0017631212249398232}]
[{'label': 'surprise', 'score': 0.942672073841095}, {'label': 'realization', 'score': 0.026498420163989067}, {'label': 'confusion', 'score': 0.018090717494487762}, {'label': 'neutral', 'score': 0.002374467207118869}, {'label': 'amusement', 'score': 0.002115473849698901}]
[{'label': 'surprise', 'score': 0.950131893157959}, {'label': 'realization', 'score': 0.02259255014359951}, {'label': 'confusion', 'score': 0.014950111508369446}, {'label': 'amusement', 'score': 0.0023402213118970394}, {'label': 'neutral', 'score': 0.002011136617511511}]
[{'label': 'surprise', 'score': 0.9591906070709229}, {'label': 'realization', 'score': 0.01858566701412201}, {'label': 'confusion', 'score': 0.01126799639314413}, {'label': 'amusement', 'score': 0.0021238410845398903}, {'label': 'disapproval', 'score': 0.0017636273987591267}]
[{'label': 'surprise', 'score': 0.9726566076278687}, {'label': 'realization', 'score': 0.013447734527289867}, {'label': 'confusion', 'score': 0.005870439112186432}, {'label': 'amusement', 'score': 0.0015145995421335101}, {'label': 'excitement', 'score': 0.001315521658398211}]
[{'label': 'surprise', 'score': 0.9776310324668884}, {'label': 'realization', 'score': 0.013437388464808464}, {'label': 'confusion', 'score': 0.002404338913038373}, {'label': 'excitement', 'score': 0.0013722822768613696}, {'label': 'amusement', 'score': 0.0010723273735493422}]
[{'label': 'surprise', 'score': 0.964849591255188}, {'label': 'realization', 'score': 0.027295589447021484}, {'label': 'excitement', 'score': 0.001921772607602179}, {'label': 'neutral', 'score': 0.001275690388865769}, {'label': 'confusion', 'score': 0.0009184099617414176}]
[{'label': 'surprise', 'score': 0.9533772468566895}, {'label': 'realization', 'score': 0.03635028749704361}, {'label': 'neutral', 'score': 0.0030210434924811125}, {'label': 'excitement', 'score': 0.00221069878898561}, {'label': 'confusion', 'score': 0.0009523520711809397}]
[{'label': 'surprise', 'score': 0.9560167193412781}, {'label': 'realization', 'score': 0.03496003523468971}, {'label': 'neutral', 'score': 0.0021936921402812004}, {'label': 'excitement', 'score': 0.001963635440915823}, {'label': 'confusion', 'score': 0.0009481974993832409}]
[{'label': 'surprise', 'score': 0.970443844795227}, {'label': 'realization', 'score': 0.02309456095099449}, {'label': 'excitement', 'score': 0.0013111747102811933}, {'label': 'neutral', 'score': 0.0010662621352821589}, {'label': 'confusion', 'score': 0.0008281041518785059}]
[{'label': 'surprise', 'score': 0.9702109694480896}, {'label': 'realization', 'score': 0.023034825921058655}, {'label': 'excitement', 'score': 0.0012229621643200517}, {'label': 'neutral', 'score': 0.0010544407414272428}, {'label': 'confusion', 'score': 0.0009127596276812255}]
[{'label': 'surprise', 'score': 0.9674692749977112}, {'label': 'realization', 'score': 0.025743240490555763}, {'label': 'excitement', 'score': 0.0012229226995259523}, {'label': 'neutral', 'score': 0.00104094750713557}, {'label': 'confusion', 'score': 0.0010032084537670016}]
[{'label': 'surprise', 'score': 0.973176121711731}, {'label': 'realization', 'score': 0.020688997581601143}, {'label': 'excitement', 'score': 0.001226309104822576}, {'label': 'confusion', 'score': 0.0010194615460932255}, {'label': 'neutral', 'score': 0.0006679314537905157}]
[{'label': 'surprise', 'score': 0.9745253324508667}, {'label': 'realization', 'score': 0.019290108233690262}, {'label': 'excitement', 'score': 0.0013766555348411202}, {'label': 'neutral', 'score': 0.0008287082891911268}, {'label': 'disapproval', 'score': 0.0007642799173481762}]
[{'label': 'surprise', 'score': 0.9799260497093201}, {'label': 'realization', 'score': 0.014435064047574997}, {'label': 'excitement', 'score': 0.001423234585672617}, {'label': 'disapproval', 'score': 0.000798896886408329}, {'label': 'neutral', 'score': 0.0006286562420427799}]
[{'label': 'surprise', 'score': 0.9759818315505981}, {'label': 'realization', 'score': 0.017931614071130753}, {'label': 'excitement', 'score': 0.0016330564394593239}, {'label': 'confusion', 'score': 0.0007610560278408229}, {'label': 'disapproval', 'score': 0.0007106139091774821}]
[{'label': 'surprise', 'score': 0.9781121015548706}, {'label': 'realization', 'score': 0.015220304019749165}, {'label': 'excitement', 'score': 0.001637258566915989}, {'label': 'confusion', 'score': 0.0011896358337253332}, {'label': 'disapproval', 'score': 0.0007183513953350484}]
[{'label': 'surprise', 'score': 0.9725655317306519}, {'label': 'realization', 'score': 0.019711917266249657}, {'label': 'confusion', 'score': 0.001964657800272107}, {'label': 'excitement', 'score': 0.0015801290282979608}, {'label': 'amusement', 'score': 0.0006512999534606934}]
[{'label': 'surprise', 'score': 0.9618287682533264}, {'label': 'realization', 'score': 0.02836097776889801}, {'label': 'confusion', 'score': 0.0032977538648992777}, {'label': 'excitement', 'score': 0.0015830916818231344}, {'label': 'disapproval', 'score': 0.0007467397954314947}]
[{'label': 'surprise', 'score': 0.9597994685173035}, {'label': 'realization', 'score': 0.0303312037140131}, {'label': 'confusion', 'score': 0.003267757361754775}, {'label': 'excitement', 'score': 0.0015827133320271969}, {'label': 'disapproval', 'score': 0.0007507713744416833}]
[{'label': 'surprise', 'score': 0.9617610573768616}, {'label': 'realization', 'score': 0.027809355407953262}, {'label': 'confusion', 'score': 0.003745295573025942}, {'label': 'excitement', 'score': 0.001542425248771906}, {'label': 'neutral', 'score': 0.0010332181118428707}]
[{'label': 'surprise', 'score': 0.9671651124954224}, {'label': 'realization', 'score': 0.02480953373014927}, {'label': 'confusion', 'score': 0.0017046415014192462}, {'label': 'neutral', 'score': 0.0015596870798617601}, {'label': 'excitement', 'score': 0.001362791983410716}]
[{'label': 'surprise', 'score': 0.9627273082733154}, {'label': 'realization', 'score': 0.02954571694135666}, {'label': 'neutral', 'score': 0.0015150808030739427}, {'label': 'excitement', 'score': 0.0013968064449727535}, {'label': 'confusion', 'score': 0.0013240270782262087}]
[{'label': 'surprise', 'score': 0.9708139300346375}, {'label': 'realization', 'score': 0.020062526687979698}, {'label': 'confusion', 'score': 0.002431715838611126}, {'label': 'neutral', 'score': 0.001858422881923616}, {'label': 'excitement', 'score': 0.0012967672664672136}]
[{'label': 'surprise', 'score': 0.9523212313652039}, {'label': 'realization', 'score': 0.019785530865192413}, {'label': 'confusion', 'score': 0.015076476149260998}, {'label': 'neutral', 'score': 0.0037961199413985014}, {'label': 'excitement', 'score': 0.0021299647632986307}]
[{'label': 'surprise', 'score': 0.9482218623161316}, {'label': 'realization', 'score': 0.02269778400659561}, {'label': 'confusion', 'score': 0.010715534910559654}, {'label': 'neutral', 'score': 0.008658765815198421}, {'label': 'excitement', 'score': 0.0027005819138139486}]
[{'label': 'surprise', 'score': 0.9170843362808228}, {'label': 'realization', 'score': 0.03646897152066231}, {'label': 'confusion', 'score': 0.023137012496590614}, {'label': 'neutral', 'score': 0.010928668081760406}, {'label': 'amusement', 'score': 0.0028333617374300957}]
