[{'label': 'remorse', 'score': 0.3367615342140198}, {'label': 'sadness', 'score': 0.21818599104881287}, {'label': 'grief', 'score': 0.15338227152824402}, {'label': 'caring', 'score': 0.09675418585538864}, {'label': 'fear', 'score': 0.053386837244033813}]
[{'label': 'sadness', 'score': 0.4712215065956116}, {'label': 'remorse', 'score': 0.39775359630584717}, {'label': 'grief', 'score': 0.0382881797850132}, {'label': 'fear', 'score': 0.024674132466316223}, {'label': 'gratitude', 'score': 0.02025061473250389}]
[{'label': 'remorse', 'score': 0.5786939263343811}, {'label': 'sadness', 'score': 0.3051165044307709}, {'label': 'grief', 'score': 0.029906366020441055}, {'label': 'gratitude', 'score': 0.02119993045926094}, {'label': 'fear', 'score': 0.020138034597039223}]
[{'label': 'remorse', 'score': 0.5540508031845093}, {'label': 'sadness', 'score': 0.2912823259830475}, {'label': 'grief', 'score': 0.047444604337215424}, {'label': 'gratitude', 'score': 0.03183114156126976}, {'label': 'fear', 'score': 0.028850538656115532}]
[{'label': 'remorse', 'score': 0.5719085931777954}, {'label': 'sadness', 'score': 0.26292380690574646}, {'label': 'grief', 'score': 0.0644393339753151}, {'label': 'gratitude', 'score': 0.0358196459710598}, {'label': 'fear', 'score': 0.020965836942195892}]
[{'label': 'remorse', 'score': 0.5744492411613464}, {'label': 'sadness', 'score': 0.2713322341442108}, {'label': 'grief', 'score': 0.0507270023226738}, {'label': 'fear', 'score': 0.03094552271068096}, {'label': 'gratitude', 'score': 0.028367480263113976}]
[{'label': 'remorse', 'score': 0.5431551337242126}, {'label': 'sadness', 'score': 0.28594040870666504}, {'label': 'gratitude', 'score': 0.055074628442525864}, {'label': 'grief', 'score': 0.04210282117128372}, {'label': 'fear', 'score': 0.02171371877193451}]
[{'label': 'sadness', 'score': 0.5170224905014038}, {'label': 'remorse', 'score': 0.30120059847831726}, {'label': 'grief', 'score': 0.051017094403505325}, {'label': 'disappointment', 'score': 0.031831394881010056}, {'label': 'fear', 'score': 0.025470394641160965}]
[{'label': 'sadness', 'score': 0.4769419729709625}, {'label': 'remorse', 'score': 0.3211512863636017}, {'label': 'grief', 'score': 0.07755454629659653}, {'label': 'disappointment', 'score': 0.024898413568735123}, {'label': 'caring', 'score': 0.0245513953268528}]
[{'label': 'sadness', 'score': 0.7307306528091431}, {'label': 'remorse', 'score': 0.11776243150234222}, {'label': 'grief', 'score': 0.05732478201389313}, {'label': 'fear', 'score': 0.0378694161772728}, {'label': 'disappointment', 'score': 0.02198512852191925}]
[{'label': 'sadness', 'score': 0.6419950127601624}, {'label': 'remorse', 'score': 0.14888416230678558}, {'label': 'grief', 'score': 0.08673055469989777}, {'label': 'fear', 'score': 0.06347742676734924}, {'label': 'disappointment', 'score': 0.01599731482565403}]
[{'label': 'sadness', 'score': 0.4415278434753418}, {'label': 'remorse', 'score': 0.22920989990234375}, {'label': 'grief', 'score': 0.18389259278774261}, {'label': 'fear', 'score': 0.07084297388792038}, {'label': 'gratitude', 'score': 0.02506759762763977}]
[{'label': 'sadness', 'score': 0.36887961626052856}, {'label': 'remorse', 'score': 0.27836528420448303}, {'label': 'grief', 'score': 0.20776596665382385}, {'label': 'fear', 'score': 0.07060607522726059}, {'label': 'gratitude', 'score': 0.025057673454284668}]
[{'label': 'remorse', 'score': 0.41501879692077637}, {'label': 'sadness', 'score': 0.3863058388233185}, {'label': 'grief', 'score': 0.07627129554748535}, {'label': 'fear', 'score': 0.03812004253268242}, {'label': 'gratitude', 'score': 0.03134223073720932}]
[{'label': 'remorse', 'score': 0.6076204776763916}, {'label': 'sadness', 'score': 0.23612110316753387}, {'label': 'grief', 'score': 0.05024334043264389}, {'label': 'gratitude', 'score': 0.036831021308898926}, {'label': 'fear', 'score': 0.019787466153502464}]
[{'label': 'remorse', 'score': 0.5379205346107483}, {'label': 'sadness', 'score': 0.23191042244434357}, {'label': 'grief', 'score': 0.09636136889457703}, {'label': 'gratitude', 'score': 0.039799876511096954}, {'label': 'fear', 'score': 0.0262620709836483}]
[{'label': 'sadness', 'score': 0.4980347752571106}, {'label': 'remorse', 'score': 0.17624017596244812}, {'label': 'grief', 'score': 0.14651484787464142}, {'label': 'fear', 'score': 0.0532553605735302}, {'label': 'gratitude', 'score': 0.029973944649100304}]
[{'label': 'sadness', 'score': 0.31357014179229736}, {'label': 'remorse', 'score': 0.2514619827270508}, {'label': 'grief', 'score': 0.23344726860523224}, {'label': 'gratitude', 'score': 0.06262782961130142}, {'label': 'surprise', 'score': 0.03046521358191967}]
[{'label': 'sadness', 'score': 0.3352770507335663}, {'label': 'remorse', 'score': 0.25042226910591125}, {'label': 'grief', 'score': 0.21254734694957733}, {'label': 'gratitude', 'score': 0.06262940913438797}, {'label': 'disappointment', 'score': 0.03109930269420147}]
[{'label': 'sadness', 'score': 0.4287407100200653}, {'label': 'remorse', 'score': 0.3568125069141388}, {'label': 'grief', 'score': 0.07931170612573624}, {'label': 'fear', 'score': 0.06697476655244827}, {'label': 'gratitude', 'score': 0.01841304451227188}]
[{'label': 'remorse', 'score': 0.45907777547836304}, {'label': 'sadness', 'score': 0.29311180114746094}, {'label': 'grief', 'score': 0.07668253034353256}, {'label': 'gratitude', 'score': 0.04810883849859238}, {'label': 'disappointment', 'score': 0.029786987230181694}]
[{'label': 'remorse', 'score': 0.4706900417804718}, {'label': 'sadness', 'score': 0.31959962844848633}, {'label': 'grief', 'score': 0.07175761461257935}, {'label': 'gratitude', 'score': 0.040007419884204865}, {'label': 'fear', 'score': 0.024429669603705406}]
[{'label': 'sadness', 'score': 0.4483555555343628}, {'label': 'surprise', 'score': 0.2189060002565384}, {'label': 'disappointment', 'score': 0.0818263441324234}, {'label': 'remorse', 'score': 0.07911207526922226}, {'label': 'grief', 'score': 0.07830999046564102}]
[{'label': 'sadness', 'score': 0.4995157718658447}, {'label': 'surprise', 'score': 0.12390679866075516}, {'label': 'remorse', 'score': 0.1223984882235527}, {'label': 'grief', 'score': 0.08074590563774109}, {'label': 'disappointment', 'score': 0.07322424650192261}]
[{'label': 'sadness', 'score': 0.40774986147880554}, {'label': 'remorse', 'score': 0.1518162190914154}, {'label': 'surprise', 'score': 0.09755118936300278}, {'label': 'disappointment', 'score': 0.08114125579595566}, {'label': 'curiosity', 'score': 0.0738690197467804}]
[{'label': 'sadness', 'score': 0.38259369134902954}, {'label': 'remorse', 'score': 0.23062002658843994}, {'label': 'curiosity', 'score': 0.07273930311203003}, {'label': 'disappointment', 'score': 0.06903248280286789}, {'label': 'gratitude', 'score': 0.0677637904882431}]
[{'label': 'sadness', 'score': 0.22272896766662598}, {'label': 'surprise', 'score': 0.2217501997947693}, {'label': 'disappointment', 'score': 0.15404990315437317}, {'label': 'remorse', 'score': 0.13385558128356934}, {'label': 'gratitude', 'score': 0.07030685991048813}]
[{'label': 'sadness', 'score': 0.44927671551704407}, {'label': 'remorse', 'score': 0.21497292816638947}, {'label': 'disappointment', 'score': 0.09061487764120102}, {'label': 'gratitude', 'score': 0.05574819818139076}, {'label': 'surprise', 'score': 0.04058413207530975}]
[{'label': 'sadness', 'score': 0.3187694847583771}, {'label': 'remorse', 'score': 0.18572455644607544}, {'label': 'surprise', 'score': 0.1365581750869751}, {'label': 'disappointment', 'score': 0.1094481348991394}, {'label': 'grief', 'score': 0.06666450202465057}]
[{'label': 'remorse', 'score': 0.3449481725692749}, {'label': 'sadness', 'score': 0.34011656045913696}, {'label': 'gratitude', 'score': 0.10482202470302582}, {'label': 'disappointment', 'score': 0.08356119692325592}, {'label': 'embarrassment', 'score': 0.038234367966651917}]
[{'label': 'sadness', 'score': 0.514021098613739}, {'label': 'remorse', 'score': 0.28576043248176575}, {'label': 'gratitude', 'score': 0.06711812317371368}, {'label': 'disappointment', 'score': 0.042052142322063446}, {'label': 'fear', 'score': 0.03614808991551399}]
[{'label': 'sadness', 'score': 0.7594944834709167}, {'label': 'remorse', 'score': 0.07703390717506409}, {'label': 'fear', 'score': 0.07433749735355377}, {'label': 'disappointment', 'score': 0.032156456261873245}, {'label': 'grief', 'score': 0.02277613803744316}]
[{'label': 'sadness', 'score': 0.8755792379379272}, {'label': 'fear', 'score': 0.05868222936987877}, {'label': 'disappointment', 'score': 0.024173710495233536}, {'label': 'remorse', 'score': 0.02000528946518898}, {'label': 'grief', 'score': 0.00904885958880186}]
[{'label': 'sadness', 'score': 0.72435462474823}, {'label': 'remorse', 'score': 0.1319464147090912}, {'label': 'disappointment', 'score': 0.07505733519792557}, {'label': 'fear', 'score': 0.020762478932738304}, {'label': 'gratitude', 'score': 0.018160907551646233}]
[{'label': 'remorse', 'score': 0.43753594160079956}, {'label': 'sadness', 'score': 0.37374961376190186}, {'label': 'disappointment', 'score': 0.07718765735626221}, {'label': 'gratitude', 'score': 0.04354529082775116}, {'label': 'fear', 'score': 0.023796113207936287}]
[{'label': 'remorse', 'score': 0.6021643877029419}, {'label': 'sadness', 'score': 0.21447040140628815}, {'label': 'gratitude', 'score': 0.0641997829079628}, {'label': 'disappointment', 'score': 0.05056357756257057}, {'label': 'fear', 'score': 0.017175763845443726}]
[{'label': 'remorse', 'score': 0.601204514503479}, {'label': 'sadness', 'score': 0.22479194402694702}, {'label': 'gratitude', 'score': 0.05971865728497505}, {'label': 'disappointment', 'score': 0.04528903588652611}, {'label': 'fear', 'score': 0.018448876217007637}]
[{'label': 'remorse', 'score': 0.6057797074317932}, {'label': 'sadness', 'score': 0.21230298280715942}, {'label': 'gratitude', 'score': 0.061219166964292526}, {'label': 'disappointment', 'score': 0.0481884703040123}, {'label': 'fear', 'score': 0.018945131450891495}]
[{'label': 'remorse', 'score': 0.6003416776657104}, {'label': 'sadness', 'score': 0.2655239403247833}, {'label': 'gratitude', 'score': 0.046984896063804626}, {'label': 'disappointment', 'score': 0.028887661173939705}, {'label': 'fear', 'score': 0.016258545219898224}]
[{'label': 'sadness', 'score': 0.4526095390319824}, {'label': 'remorse', 'score': 0.18129658699035645}, {'label': 'disappointment', 'score': 0.13583745062351227}, {'label': 'fear', 'score': 0.08713702112436295}, {'label': 'gratitude', 'score': 0.04455312341451645}]
[{'label': 'sadness', 'score': 0.47444263100624084}, {'label': 'remorse', 'score': 0.15141315758228302}, {'label': 'fear', 'score': 0.12169667333364487}, {'label': 'disappointment', 'score': 0.11969584971666336}, {'label': 'gratitude', 'score': 0.042505159974098206}]
[{'label': 'sadness', 'score': 0.461414098739624}, {'label': 'remorse', 'score': 0.2403087168931961}, {'label': 'disappointment', 'score': 0.09129603952169418}, {'label': 'fear', 'score': 0.07225923240184784}, {'label': 'gratitude', 'score': 0.046114906668663025}]
[{'label': 'sadness', 'score': 0.4622117578983307}, {'label': 'remorse', 'score': 0.28680187463760376}, {'label': 'fear', 'score': 0.0752716213464737}, {'label': 'disappointment', 'score': 0.0561506524682045}, {'label': 'embarrassment', 'score': 0.03460388258099556}]
[{'label': 'sadness', 'score': 0.43049749732017517}, {'label': 'remorse', 'score': 0.3561226725578308}, {'label': 'fear', 'score': 0.08026258647441864}, {'label': 'disappointment', 'score': 0.03797142952680588}, {'label': 'embarrassment', 'score': 0.03496960550546646}]
[{'label': 'sadness', 'score': 0.597721517086029}, {'label': 'remorse', 'score': 0.23677505552768707}, {'label': 'fear', 'score': 0.04974124953150749}, {'label': 'disappointment', 'score': 0.039007991552352905}, {'label': 'embarrassment', 'score': 0.033678051084280014}]
[{'label': 'sadness', 'score': 0.714544951915741}, {'label': 'remorse', 'score': 0.20208017528057098}, {'label': 'disappointment', 'score': 0.02639039233326912}, {'label': 'fear', 'score': 0.021683821454644203}, {'label': 'embarrassment', 'score': 0.009046141989529133}]
[{'label': 'sadness', 'score': 0.6720893383026123}, {'label': 'remorse', 'score': 0.2506100535392761}, {'label': 'grief', 'score': 0.01896023005247116}, {'label': 'disappointment', 'score': 0.016880765557289124}, {'label': 'fear', 'score': 0.015296622179448605}]
[{'label': 'sadness', 'score': 0.47954845428466797}, {'label': 'remorse', 'score': 0.3501553535461426}, {'label': 'grief', 'score': 0.08006179332733154}, {'label': 'fear', 'score': 0.03001970238983631}, {'label': 'caring', 'score': 0.029571739956736565}]
[{'label': 'sadness', 'score': 0.5193389058113098}, {'label': 'remorse', 'score': 0.18466120958328247}, {'label': 'grief', 'score': 0.17351719737052917}, {'label': 'caring', 'score': 0.06520168483257294}, {'label': 'fear', 'score': 0.03684869408607483}]
[{'label': 'sadness', 'score': 0.6003801226615906}, {'label': 'remorse', 'score': 0.17529404163360596}, {'label': 'grief', 'score': 0.11737194657325745}, {'label': 'fear', 'score': 0.046013087034225464}, {'label': 'caring', 'score': 0.035403020679950714}]
[{'label': 'sadness', 'score': 0.7328073978424072}, {'label': 'remorse', 'score': 0.11916221678256989}, {'label': 'grief', 'score': 0.060452867299318314}, {'label': 'fear', 'score': 0.039227332919836044}, {'label': 'caring', 'score': 0.01693667843937874}]
[{'label': 'sadness', 'score': 0.6441225409507751}, {'label': 'remorse', 'score': 0.10423898696899414}, {'label': 'disappointment', 'score': 0.09373576194047928}, {'label': 'fear', 'score': 0.07418099045753479}, {'label': 'embarrassment', 'score': 0.02134442888200283}]
[{'label': 'sadness', 'score': 0.29516589641571045}, {'label': 'disappointment', 'score': 0.21154548227787018}, {'label': 'embarrassment', 'score': 0.1188422366976738}, {'label': 'remorse', 'score': 0.09902962297201157}, {'label': 'fear', 'score': 0.08318307995796204}]
[{'label': 'sadness', 'score': 0.3991292119026184}, {'label': 'remorse', 'score': 0.1516202837228775}, {'label': 'disappointment', 'score': 0.14820067584514618}, {'label': 'fear', 'score': 0.09449099749326706}, {'label': 'embarrassment', 'score': 0.09339887648820877}]
[{'label': 'sadness', 'score': 0.5740673542022705}, {'label': 'remorse', 'score': 0.15119461715221405}, {'label': 'disappointment', 'score': 0.09331569820642471}, {'label': 'fear', 'score': 0.05929771810770035}, {'label': 'gratitude', 'score': 0.05871446430683136}]
[{'label': 'sadness', 'score': 0.7384113669395447}, {'label': 'remorse', 'score': 0.14286518096923828}, {'label': 'disappointment', 'score': 0.04458567872643471}, {'label': 'fear', 'score': 0.024920139461755753}, {'label': 'embarrassment', 'score': 0.016216658055782318}]
[{'label': 'sadness', 'score': 0.7465127110481262}, {'label': 'remorse', 'score': 0.15494900941848755}, {'label': 'disappointment', 'score': 0.03268961235880852}, {'label': 'fear', 'score': 0.025416741147637367}, {'label': 'gratitude', 'score': 0.01589672639966011}]
[{'label': 'sadness', 'score': 0.8213901519775391}, {'label': 'disappointment', 'score': 0.05945229157805443}, {'label': 'remorse', 'score': 0.05244748294353485}, {'label': 'fear', 'score': 0.03571802005171776}, {'label': 'embarrassment', 'score': 0.009591522626578808}]
[{'label': 'sadness', 'score': 0.7356941103935242}, {'label': 'disappointment', 'score': 0.0868438333272934}, {'label': 'remorse', 'score': 0.07242827117443085}, {'label': 'fear', 'score': 0.05346931517124176}, {'label': 'embarrassment', 'score': 0.020446620881557465}]
[{'label': 'sadness', 'score': 0.4449208974838257}, {'label': 'disappointment', 'score': 0.1535055935382843}, {'label': 'embarrassment', 'score': 0.1417081505060196}, {'label': 'remorse', 'score': 0.10258042812347412}, {'label': 'fear', 'score': 0.07930191606283188}]
[{'label': 'embarrassment', 'score': 0.25954967737197876}, {'label': 'disappointment', 'score': 0.24707862734794617}, {'label': 'sadness', 'score': 0.2468748688697815}, {'label': 'remorse', 'score': 0.12729237973690033}, {'label': 'surprise', 'score': 0.03587346896529198}]
[{'label': 'sadness', 'score': 0.26136475801467896}, {'label': 'disappointment', 'score': 0.25532254576683044}, {'label': 'embarrassment', 'score': 0.24880008399486542}, {'label': 'remorse', 'score': 0.11752114444971085}, {'label': 'surprise', 'score': 0.038958027958869934}]
[{'label': 'disappointment', 'score': 0.2928537130355835}, {'label': 'embarrassment', 'score': 0.2211030125617981}, {'label': 'sadness', 'score': 0.19349147379398346}, {'label': 'surprise', 'score': 0.13876861333847046}, {'label': 'remorse', 'score': 0.07067274302244186}]
[{'label': 'sadness', 'score': 0.2934807240962982}, {'label': 'disappointment', 'score': 0.21968147158622742}, {'label': 'embarrassment', 'score': 0.21067339181900024}, {'label': 'remorse', 'score': 0.16156888008117676}, {'label': 'surprise', 'score': 0.03458411991596222}]
[{'label': 'sadness', 'score': 0.5013485550880432}, {'label': 'remorse', 'score': 0.2235136777162552}, {'label': 'disappointment', 'score': 0.11368614435195923}, {'label': 'embarrassment', 'score': 0.07109122723340988}, {'label': 'fear', 'score': 0.045725997537374496}]
[{'label': 'sadness', 'score': 0.6596935391426086}, {'label': 'remorse', 'score': 0.15561960637569427}, {'label': 'disappointment', 'score': 0.07533329725265503}, {'label': 'fear', 'score': 0.04383763670921326}, {'label': 'embarrassment', 'score': 0.028431449085474014}]
[{'label': 'sadness', 'score': 0.7826657295227051}, {'label': 'disappointment', 'score': 0.07449671626091003}, {'label': 'remorse', 'score': 0.05985654145479202}, {'label': 'fear', 'score': 0.041520506143569946}, {'label': 'embarrassment', 'score': 0.014850570820271969}]
[{'label': 'sadness', 'score': 0.7565494775772095}, {'label': 'disappointment', 'score': 0.08754798769950867}, {'label': 'remorse', 'score': 0.0621940903365612}, {'label': 'fear', 'score': 0.046251870691776276}, {'label': 'embarrassment', 'score': 0.017985520884394646}]
[{'label': 'sadness', 'score': 0.772871196269989}, {'label': 'disappointment', 'score': 0.11882961541414261}, {'label': 'fear', 'score': 0.04890919104218483}, {'label': 'remorse', 'score': 0.01599840074777603}, {'label': 'surprise', 'score': 0.012755745090544224}]
[{'label': 'sadness', 'score': 0.7086725234985352}, {'label': 'disappointment', 'score': 0.16504274308681488}, {'label': 'fear', 'score': 0.04791120067238808}, {'label': 'surprise', 'score': 0.02498023770749569}, {'label': 'remorse', 'score': 0.015748539939522743}]
[{'label': 'sadness', 'score': 0.469671368598938}, {'label': 'disappointment', 'score': 0.2074429839849472}, {'label': 'surprise', 'score': 0.11404027789831161}, {'label': 'embarrassment', 'score': 0.06613057851791382}, {'label': 'fear', 'score': 0.055270686745643616}]
[{'label': 'sadness', 'score': 0.3199690878391266}, {'label': 'surprise', 'score': 0.23896123468875885}, {'label': 'disappointment', 'score': 0.1862521469593048}, {'label': 'embarrassment', 'score': 0.09816762059926987}, {'label': 'fear', 'score': 0.05830930545926094}]
[{'label': 'surprise', 'score': 0.32510554790496826}, {'label': 'sadness', 'score': 0.2288742959499359}, {'label': 'disappointment', 'score': 0.1632404327392578}, {'label': 'embarrassment', 'score': 0.1153218150138855}, {'label': 'fear', 'score': 0.07750578969717026}]
[{'label': 'surprise', 'score': 0.3090888261795044}, {'label': 'embarrassment', 'score': 0.17930260300636292}, {'label': 'sadness', 'score': 0.1451360434293747}, {'label': 'fear', 'score': 0.13869379460811615}, {'label': 'disappointment', 'score': 0.0899319127202034}]
[{'label': 'surprise', 'score': 0.8664484024047852}, {'label': 'sadness', 'score': 0.03294653445482254}, {'label': 'embarrassment', 'score': 0.027550311759114265}, {'label': 'realization', 'score': 0.018491489812731743}, {'label': 'disappointment', 'score': 0.01531650684773922}]
[{'label': 'surprise', 'score': 0.8880123496055603}, {'label': 'sadness', 'score': 0.029192011803388596}, {'label': 'realization', 'score': 0.019100725650787354}, {'label': 'embarrassment', 'score': 0.01839086227118969}, {'label': 'disappointment', 'score': 0.014328211545944214}]
[{'label': 'surprise', 'score': 0.8071419596672058}, {'label': 'sadness', 'score': 0.05817446485161781}, {'label': 'fear', 'score': 0.03073824569582939}, {'label': 'disappointment', 'score': 0.02620343118906021}, {'label': 'embarrassment', 'score': 0.023712871596217155}]
[{'label': 'surprise', 'score': 0.7974758744239807}, {'label': 'sadness', 'score': 0.05762071534991264}, {'label': 'fear', 'score': 0.03559790551662445}, {'label': 'disappointment', 'score': 0.026864027604460716}, {'label': 'embarrassment', 'score': 0.025694387033581734}]
[{'label': 'surprise', 'score': 0.6208048462867737}, {'label': 'sadness', 'score': 0.13291917741298676}, {'label': 'fear', 'score': 0.06146302446722984}, {'label': 'embarrassment', 'score': 0.04578816890716553}, {'label': 'disappointment', 'score': 0.04515334591269493}]
[{'label': 'surprise', 'score': 0.3982870876789093}, {'label': 'sadness', 'score': 0.24614058434963226}, {'label': 'embarrassment', 'score': 0.0912511870265007}, {'label': 'disappointment', 'score': 0.07046402245759964}, {'label': 'remorse', 'score': 0.05187704414129257}]
[{'label': 'surprise', 'score': 0.7633987665176392}, {'label': 'sadness', 'score': 0.06782753765583038}, {'label': 'realization', 'score': 0.04134630039334297}, {'label': 'embarrassment', 'score': 0.0407923199236393}, {'label': 'disappointment', 'score': 0.03954499214887619}]
[{'label': 'surprise', 'score': 0.9242400527000427}, {'label': 'realization', 'score': 0.03481196612119675}, {'label': 'embarrassment', 'score': 0.012815047986805439}, {'label': 'disappointment', 'score': 0.012021854519844055}, {'label': 'sadness', 'score': 0.005566650535911322}]
[{'label': 'surprise', 'score': 0.9280128479003906}, {'label': 'realization', 'score': 0.03150153160095215}, {'label': 'embarrassment', 'score': 0.012727471999824047}, {'label': 'disappointment', 'score': 0.011885412037372589}, {'label': 'sadness', 'score': 0.00523407943546772}]
[{'label': 'surprise', 'score': 0.9479020237922668}, {'label': 'realization', 'score': 0.031100358814001083}, {'label': 'embarrassment', 'score': 0.008121060207486153}, {'label': 'disappointment', 'score': 0.005610876251012087}, {'label': 'sadness', 'score': 0.001139962230809033}]
[{'label': 'surprise', 'score': 0.9481375217437744}, {'label': 'realization', 'score': 0.02748216688632965}, {'label': 'embarrassment', 'score': 0.008639507927000523}, {'label': 'disappointment', 'score': 0.006852592341601849}, {'label': 'sadness', 'score': 0.0017860735533758998}]
[{'label': 'surprise', 'score': 0.9157255291938782}, {'label': 'realization', 'score': 0.0301949605345726}, {'label': 'disappointment', 'score': 0.018478121608495712}, {'label': 'embarrassment', 'score': 0.014713125303387642}, {'label': 'sadness', 'score': 0.007960168644785881}]
[{'label': 'surprise', 'score': 0.872558057308197}, {'label': 'realization', 'score': 0.03617820143699646}, {'label': 'disappointment', 'score': 0.028140125796198845}, {'label': 'sadness', 'score': 0.026864267885684967}, {'label': 'embarrassment', 'score': 0.013705085031688213}]
[{'label': 'surprise', 'score': 0.5501542687416077}, {'label': 'sadness', 'score': 0.22091351449489594}, {'label': 'disappointment', 'score': 0.07686682790517807}, {'label': 'realization', 'score': 0.04362562671303749}, {'label': 'fear', 'score': 0.030245618894696236}]
[{'label': 'sadness', 'score': 0.5153530240058899}, {'label': 'surprise', 'score': 0.13531938195228577}, {'label': 'disappointment', 'score': 0.11726134270429611}, {'label': 'remorse', 'score': 0.056740693747997284}, {'label': 'fear', 'score': 0.05151185020804405}]
[{'label': 'sadness', 'score': 0.5530023574829102}, {'label': 'disappointment', 'score': 0.11420950293540955}, {'label': 'surprise', 'score': 0.10807934403419495}, {'label': 'remorse', 'score': 0.05983826518058777}, {'label': 'fear', 'score': 0.05057099461555481}]
[{'label': 'surprise', 'score': 0.7604930996894836}, {'label': 'disappointment', 'score': 0.10093914717435837}, {'label': 'realization', 'score': 0.04148246720433235}, {'label': 'sadness', 'score': 0.04055275395512581}, {'label': 'embarrassment', 'score': 0.026980403810739517}]
[{'label': 'surprise', 'score': 0.7698908448219299}, {'label': 'disappointment', 'score': 0.09533679485321045}, {'label': 'realization', 'score': 0.041254088282585144}, {'label': 'sadness', 'score': 0.03829295560717583}, {'label': 'embarrassment', 'score': 0.026040151715278625}]
[{'label': 'surprise', 'score': 0.8962782621383667}, {'label': 'disappointment', 'score': 0.03765535727143288}, {'label': 'realization', 'score': 0.029872417449951172}, {'label': 'embarrassment', 'score': 0.01241194549947977}, {'label': 'sadness', 'score': 0.010689157992601395}]
