[{'label': 'amusement', 'score': 0.8730217218399048}, {'label': 'neutral', 'score': 0.10717795789241791}, {'label': 'joy', 'score': 0.008774914778769016}, {'label': 'sadness', 'score': 0.0027036385145038366}, {'label': 'disapproval', 'score': 0.0019073911244049668}]
[{'label': 'neutral', 'score': 0.6396734118461609}, {'label': 'amusement', 'score': 0.13154147565364838}, {'label': 'love', 'score': 0.08723877370357513}, {'label': 'sadness', 'score': 0.0530511848628521}, {'label': 'desire', 'score': 0.018292715772986412}]
[{'label': 'love', 'score': 0.49825671315193176}, {'label': 'neutral', 'score': 0.3738785982131958}, {'label': 'desire', 'score': 0.028356900438666344}, {'label': 'sadness', 'score': 0.024054329842329025}, {'label': 'amusement', 'score': 0.02380024641752243}]
[{'label': 'neutral', 'score': 0.7128604650497437}, {'label': 'love', 'score': 0.15200500190258026}, {'label': 'amusement', 'score': 0.05177166312932968}, {'label': 'sadness', 'score': 0.02027823030948639}, {'label': 'desire', 'score': 0.01369419228285551}]
[{'label': 'neutral', 'score': 0.6288207173347473}, {'label': 'love', 'score': 0.13928712904453278}, {'label': 'amusement', 'score': 0.13748909533023834}, {'label': 'sadness', 'score': 0.020076915621757507}, {'label': 'desire', 'score': 0.015179543755948544}]
[{'label': 'amusement', 'score': 0.459143728017807}, {'label': 'neutral', 'score': 0.3721467852592468}, {'label': 'love', 'score': 0.07816021889448166}, {'label': 'sadness', 'score': 0.016359051689505577}, {'label': 'desire', 'score': 0.015290893614292145}]
[{'label': 'amusement', 'score': 0.4835169017314911}, {'label': 'neutral', 'score': 0.4156941771507263}, {'label': 'sadness', 'score': 0.024451090022921562}, {'label': 'love', 'score': 0.017230791971087456}, {'label': 'joy', 'score': 0.010236159898340702}]
[{'label': 'neutral', 'score': 0.4291858673095703}, {'label': 'amusement', 'score': 0.37986665964126587}, {'label': 'love', 'score': 0.07077821344137192}, {'label': 'desire', 'score': 0.04551173374056816}, {'label': 'sadness', 'score': 0.01850946620106697}]
[{'label': 'neutral', 'score': 0.3310421407222748}, {'label': 'love', 'score': 0.3154059648513794}, {'label': 'amusement', 'score': 0.16993731260299683}, {'label': 'desire', 'score': 0.1062067300081253}, {'label': 'sadness', 'score': 0.016699904575943947}]
[{'label': 'neutral', 'score': 0.3628486692905426}, {'label': 'love', 'score': 0.324439138174057}, {'label': 'amusement', 'score': 0.14159807562828064}, {'label': 'desire', 'score': 0.09639755636453629}, {'label': 'sadness', 'score': 0.01622583530843258}]
[{'label': 'love', 'score': 0.8011613488197327}, {'label': 'neutral', 'score': 0.11456844210624695}, {'label': 'desire', 'score': 0.03657734766602516}, {'label': 'amusement', 'score': 0.014756284654140472}, {'label': 'sadness', 'score': 0.006762897130101919}]
[{'label': 'love', 'score': 0.5805584788322449}, {'label': 'neutral', 'score': 0.29511815309524536}, {'label': 'amusement', 'score': 0.03135126084089279}, {'label': 'desire', 'score': 0.028281837701797485}, {'label': 'sadness', 'score': 0.017731642350554466}]
[{'label': 'neutral', 'score': 0.47692179679870605}, {'label': 'love', 'score': 0.30318158864974976}, {'label': 'amusement', 'score': 0.10496213287115097}, {'label': 'desire', 'score': 0.029686305671930313}, {'label': 'sadness', 'score': 0.023217400535941124}]
[{'label': 'neutral', 'score': 0.5567370653152466}, {'label': 'amusement', 'score': 0.3560265600681305}, {'label': 'love', 'score': 0.023277368396520615}, {'label': 'joy', 'score': 0.013332533650100231}, {'label': 'sadness', 'score': 0.013317229226231575}]
[{'label': 'neutral', 'score': 0.5612428784370422}, {'label': 'amusement', 'score': 0.3808167576789856}, {'label': 'sadness', 'score': 0.012910795398056507}, {'label': 'joy', 'score': 0.010408098809421062}, {'label': 'love', 'score': 0.006511884741485119}]
[{'label': 'neutral', 'score': 0.47669392824172974}, {'label': 'amusement', 'score': 0.4483489990234375}, {'label': 'sadness', 'score': 0.017980407923460007}, {'label': 'joy', 'score': 0.010523037984967232}, {'label': 'love', 'score': 0.008173221722245216}]
[{'label': 'neutral', 'score': 0.5817289352416992}, {'label': 'amusement', 'score': 0.33195215463638306}, {'label': 'sadness', 'score': 0.017159458249807358}, {'label': 'love', 'score': 0.012766251340508461}, {'label': 'joy', 'score': 0.009406889788806438}]
[{'label': 'neutral', 'score': 0.632646918296814}, {'label': 'amusement', 'score': 0.24725322425365448}, {'label': 'love', 'score': 0.03781081363558769}, {'label': 'sadness', 'score': 0.016394836828112602}, {'label': 'realization', 'score': 0.0107810590416193}]
[{'label': 'neutral', 'score': 0.524573564529419}, {'label': 'amusement', 'score': 0.2530077397823334}, {'label': 'love', 'score': 0.10893726348876953}, {'label': 'sadness', 'score': 0.02346215955913067}, {'label': 'desire', 'score': 0.02007080242037773}]
[{'label': 'love', 'score': 0.5844038128852844}, {'label': 'neutral', 'score': 0.2733596861362457}, {'label': 'desire', 'score': 0.0366627536714077}, {'label': 'sadness', 'score': 0.03656458109617233}, {'label': 'amusement', 'score': 0.01804211735725403}]
[{'label': 'love', 'score': 0.42788219451904297}, {'label': 'neutral', 'score': 0.4027983248233795}, {'label': 'sadness', 'score': 0.06768438965082169}, {'label': 'desire', 'score': 0.023469218984246254}, {'label': 'realization', 'score': 0.013678198680281639}]
[{'label': 'neutral', 'score': 0.579127848148346}, {'label': 'sadness', 'score': 0.16577014327049255}, {'label': 'love', 'score': 0.12872953712940216}, {'label': 'amusement', 'score': 0.022633882239460945}, {'label': 'realization', 'score': 0.017209665849804878}]
[{'label': 'neutral', 'score': 0.668678879737854}, {'label': 'sadness', 'score': 0.17644740641117096}, {'label': 'amusement', 'score': 0.034651800990104675}, {'label': 'love', 'score': 0.03222671523690224}, {'label': 'fear', 'score': 0.017925884574651718}]
[{'label': 'neutral', 'score': 0.571356475353241}, {'label': 'sadness', 'score': 0.16235728561878204}, {'label': 'love', 'score': 0.13672828674316406}, {'label': 'amusement', 'score': 0.023150742053985596}, {'label': 'realization', 'score': 0.018173184245824814}]
[{'label': 'neutral', 'score': 0.7182539105415344}, {'label': 'sadness', 'score': 0.07928850501775742}, {'label': 'love', 'score': 0.06930659711360931}, {'label': 'amusement', 'score': 0.05559796839952469}, {'label': 'realization', 'score': 0.01724063791334629}]
[{'label': 'love', 'score': 0.4075618386268616}, {'label': 'neutral', 'score': 0.3578457236289978}, {'label': 'sadness', 'score': 0.06688958406448364}, {'label': 'amusement', 'score': 0.05978111922740936}, {'label': 'desire', 'score': 0.02953486144542694}]
[{'label': 'love', 'score': 0.39718306064605713}, {'label': 'neutral', 'score': 0.3619484305381775}, {'label': 'sadness', 'score': 0.06586850434541702}, {'label': 'amusement', 'score': 0.05989985913038254}, {'label': 'desire', 'score': 0.034714724868535995}]
[{'label': 'love', 'score': 0.848838210105896}, {'label': 'neutral', 'score': 0.06637214124202728}, {'label': 'desire', 'score': 0.022103194147348404}, {'label': 'sadness', 'score': 0.018560394644737244}, {'label': 'amusement', 'score': 0.011917966417968273}]
[{'label': 'love', 'score': 0.8589915037155151}, {'label': 'neutral', 'score': 0.05203147232532501}, {'label': 'desire', 'score': 0.029471376910805702}, {'label': 'sadness', 'score': 0.022800326347351074}, {'label': 'amusement', 'score': 0.006041442975401878}]
[{'label': 'love', 'score': 0.738761842250824}, {'label': 'neutral', 'score': 0.11102472245693207}, {'label': 'desire', 'score': 0.04602054879069328}, {'label': 'sadness', 'score': 0.04556969180703163}, {'label': 'grief', 'score': 0.009084060788154602}]
[{'label': 'love', 'score': 0.39513781666755676}, {'label': 'neutral', 'score': 0.2901914119720459}, {'label': 'sadness', 'score': 0.11808131635189056}, {'label': 'desire', 'score': 0.07536172866821289}, {'label': 'grief', 'score': 0.021262189373373985}]
[{'label': 'neutral', 'score': 0.7478253245353699}, {'label': 'sadness', 'score': 0.08063364773988724}, {'label': 'amusement', 'score': 0.046240001916885376}, {'label': 'love', 'score': 0.03908466175198555}, {'label': 'desire', 'score': 0.024394501000642776}]
[{'label': 'neutral', 'score': 0.8465186357498169}, {'label': 'amusement', 'score': 0.05142178386449814}, {'label': 'sadness', 'score': 0.043031033128499985}, {'label': 'love', 'score': 0.011220808140933514}, {'label': 'desire', 'score': 0.010351856239140034}]
[{'label': 'neutral', 'score': 0.8812969326972961}, {'label': 'sadness', 'score': 0.04093368351459503}, {'label': 'amusement', 'score': 0.027113674208521843}, {'label': 'love', 'score': 0.01239098608493805}, {'label': 'desire', 'score': 0.008964541368186474}]
[{'label': 'neutral', 'score': 0.7841804623603821}, {'label': 'love', 'score': 0.07041673362255096}, {'label': 'sadness', 'score': 0.04233023151755333}, {'label': 'amusement', 'score': 0.03942641615867615}, {'label': 'desire', 'score': 0.014693326316773891}]
[{'label': 'neutral', 'score': 0.7294407486915588}, {'label': 'love', 'score': 0.10005510598421097}, {'label': 'amusement', 'score': 0.052028216421604156}, {'label': 'sadness', 'score': 0.03890836983919144}, {'label': 'desire', 'score': 0.02342541515827179}]
[{'label': 'neutral', 'score': 0.4745695888996124}, {'label': 'love', 'score': 0.36306458711624146}, {'label': 'amusement', 'score': 0.03744921460747719}, {'label': 'sadness', 'score': 0.03535246104001999}, {'label': 'desire', 'score': 0.03449888154864311}]
[{'label': 'neutral', 'score': 0.4381401538848877}, {'label': 'love', 'score': 0.3912496268749237}, {'label': 'amusement', 'score': 0.043662384152412415}, {'label': 'sadness', 'score': 0.039841726422309875}, {'label': 'desire', 'score': 0.030973240733146667}]
[{'label': 'neutral', 'score': 0.38255584239959717}, {'label': 'love', 'score': 0.33518242835998535}, {'label': 'amusement', 'score': 0.13749654591083527}, {'label': 'desire', 'score': 0.060034289956092834}, {'label': 'sadness', 'score': 0.02601165510714054}]
[{'label': 'neutral', 'score': 0.6236497163772583}, {'label': 'love', 'score': 0.20999369025230408}, {'label': 'desire', 'score': 0.0448879711329937}, {'label': 'sadness', 'score': 0.04073552414774895}, {'label': 'amusement', 'score': 0.01278857234865427}]
[{'label': 'neutral', 'score': 0.7250431180000305}, {'label': 'love', 'score': 0.09984280169010162}, {'label': 'sadness', 'score': 0.05349016189575195}, {'label': 'fear', 'score': 0.024263808503746986}, {'label': 'desire', 'score': 0.018629811704158783}]
[{'label': 'neutral', 'score': 0.7833527326583862}, {'label': 'sadness', 'score': 0.07711930572986603}, {'label': 'fear', 'score': 0.028266774490475655}, {'label': 'love', 'score': 0.02777514047920704}, {'label': 'realization', 'score': 0.01592736877501011}]
[{'label': 'neutral', 'score': 0.6445662379264832}, {'label': 'sadness', 'score': 0.10831569135189056}, {'label': 'love', 'score': 0.10451692342758179}, {'label': 'amusement', 'score': 0.028822757303714752}, {'label': 'fear', 'score': 0.023573461920022964}]
[{'label': 'neutral', 'score': 0.5948662757873535}, {'label': 'love', 'score': 0.1153716966509819}, {'label': 'sadness', 'score': 0.07226783037185669}, {'label': 'amusement', 'score': 0.061055105179548264}, {'label': 'joy', 'score': 0.05665326490998268}]
[{'label': 'love', 'score': 0.8566847443580627}, {'label': 'neutral', 'score': 0.05240736901760101}, {'label': 'amusement', 'score': 0.022375119850039482}, {'label': 'desire', 'score': 0.022237179800868034}, {'label': 'joy', 'score': 0.01775064505636692}]
[{'label': 'neutral', 'score': 0.5021921396255493}, {'label': 'joy', 'score': 0.31807953119277954}, {'label': 'amusement', 'score': 0.07462234795093536}, {'label': 'sadness', 'score': 0.0323311947286129}, {'label': 'love', 'score': 0.024324903264641762}]
[{'label': 'neutral', 'score': 0.49264076352119446}, {'label': 'joy', 'score': 0.3321821391582489}, {'label': 'amusement', 'score': 0.07133866846561432}, {'label': 'sadness', 'score': 0.028781481087207794}, {'label': 'love', 'score': 0.026784252375364304}]
[{'label': 'neutral', 'score': 0.6139349937438965}, {'label': 'joy', 'score': 0.1943783015012741}, {'label': 'amusement', 'score': 0.0603412389755249}, {'label': 'love', 'score': 0.03734521567821503}, {'label': 'sadness', 'score': 0.036496590822935104}]
[{'label': 'neutral', 'score': 0.7089866995811462}, {'label': 'sadness', 'score': 0.09417469054460526}, {'label': 'love', 'score': 0.050944313406944275}, {'label': 'joy', 'score': 0.04496673867106438}, {'label': 'amusement', 'score': 0.021057577803730965}]
[{'label': 'neutral', 'score': 0.7275693416595459}, {'label': 'sadness', 'score': 0.16409587860107422}, {'label': 'love', 'score': 0.013967224396765232}, {'label': 'grief', 'score': 0.011360466480255127}, {'label': 'amusement', 'score': 0.011191146448254585}]
[{'label': 'neutral', 'score': 0.7454822659492493}, {'label': 'sadness', 'score': 0.14904798567295074}, {'label': 'amusement', 'score': 0.018183508887887}, {'label': 'joy', 'score': 0.01699664443731308}, {'label': 'love', 'score': 0.010922723449766636}]
[{'label': 'neutral', 'score': 0.6110258102416992}, {'label': 'joy', 'score': 0.24582596123218536}, {'label': 'amusement', 'score': 0.048549264669418335}, {'label': 'sadness', 'score': 0.028947679325938225}, {'label': 'love', 'score': 0.016024386510252953}]
