[{'label': 'neutral', 'score': 0.7553629875183105}, {'label': 'optimism', 'score': 0.10838360339403152}, {'label': 'annoyance', 'score': 0.06554903835058212}, {'label': 'admiration', 'score': 0.013956069946289062}, {'label': 'anger', 'score': 0.013524526730179787}]
[{'label': 'neutral', 'score': 0.7027575373649597}, {'label': 'admiration', 'score': 0.1948038786649704}, {'label': 'disgust', 'score': 0.01758604310452938}, {'label': 'annoyance', 'score': 0.016246572136878967}, {'label': 'optimism', 'score': 0.014544161036610603}]
[{'label': 'neutral', 'score': 0.9283069968223572}, {'label': 'admiration', 'score': 0.034011777490377426}, {'label': 'optimism', 'score': 0.011491738259792328}, {'label': 'annoyance', 'score': 0.004308417905122042}, {'label': 'disgust', 'score': 0.0035982851404696703}]
[{'label': 'neutral', 'score': 0.9501891136169434}, {'label': 'optimism', 'score': 0.025714103132486343}, {'label': 'admiration', 'score': 0.009830307215452194}, {'label': 'annoyance', 'score': 0.0018769657472148538}, {'label': 'approval', 'score': 0.0014800612116232514}]
[{'label': 'neutral', 'score': 0.9030222296714783}, {'label': 'optimism', 'score': 0.04873458668589592}, {'label': 'admiration', 'score': 0.02283591404557228}, {'label': 'annoyance', 'score': 0.0050490680150687695}, {'label': 'anger', 'score': 0.0034863813780248165}]
[{'label': 'neutral', 'score': 0.8278409242630005}, {'label': 'optimism', 'score': 0.06013454869389534}, {'label': 'admiration', 'score': 0.05537908896803856}, {'label': 'annoyance', 'score': 0.0150230061262846}, {'label': 'anger', 'score': 0.012445918284356594}]
[{'label': 'neutral', 'score': 0.7878903150558472}, {'label': 'admiration', 'score': 0.11422239989042282}, {'label': 'optimism', 'score': 0.04116783291101456}, {'label': 'annoyance', 'score': 0.015123189426958561}, {'label': 'anger', 'score': 0.009560809470713139}]
[{'label': 'neutral', 'score': 0.6760452389717102}, {'label': 'admiration', 'score': 0.2320408821105957}, {'label': 'optimism', 'score': 0.02231196127831936}, {'label': 'annoyance', 'score': 0.014095834456384182}, {'label': 'disgust', 'score': 0.00965177919715643}]
[{'label': 'neutral', 'score': 0.6942778825759888}, {'label': 'admiration', 'score': 0.2142447978258133}, {'label': 'optimism', 'score': 0.02243955433368683}, {'label': 'annoyance', 'score': 0.014553681015968323}, {'label': 'disgust', 'score': 0.009613576345145702}]
[{'label': 'admiration', 'score': 0.4741770923137665}, {'label': 'neutral', 'score': 0.40156474709510803}, {'label': 'disappointment', 'score': 0.019678236916661263}, {'label': 'disgust', 'score': 0.019505877047777176}, {'label': 'annoyance', 'score': 0.01769278757274151}]
[{'label': 'admiration', 'score': 0.48574239015579224}, {'label': 'neutral', 'score': 0.418191134929657}, {'label': 'disappointment', 'score': 0.015416380949318409}, {'label': 'approval', 'score': 0.013460962101817131}, {'label': 'optimism', 'score': 0.012517740949988365}]
[{'label': 'admiration', 'score': 0.5115156173706055}, {'label': 'neutral', 'score': 0.38817259669303894}, {'label': 'optimism', 'score': 0.01683814264833927}, {'label': 'approval', 'score': 0.014742633327841759}, {'label': 'disappointment', 'score': 0.012835150584578514}]
[{'label': 'admiration', 'score': 0.5205958485603333}, {'label': 'neutral', 'score': 0.37875381112098694}, {'label': 'optimism', 'score': 0.01691337302327156}, {'label': 'approval', 'score': 0.015097251161932945}, {'label': 'disappointment', 'score': 0.013539914041757584}]
[{'label': 'neutral', 'score': 0.6676276326179504}, {'label': 'admiration', 'score': 0.2557976245880127}, {'label': 'optimism', 'score': 0.029107434675097466}, {'label': 'annoyance', 'score': 0.007595153525471687}, {'label': 'approval', 'score': 0.006700837519019842}]
[{'label': 'neutral', 'score': 0.8234285116195679}, {'label': 'admiration', 'score': 0.10239341109991074}, {'label': 'optimism', 'score': 0.03713022172451019}, {'label': 'annoyance', 'score': 0.00721010472625494}, {'label': 'approval', 'score': 0.004336475860327482}]
[{'label': 'neutral', 'score': 0.8321586847305298}, {'label': 'admiration', 'score': 0.09539877623319626}, {'label': 'optimism', 'score': 0.03692026436328888}, {'label': 'annoyance', 'score': 0.006734900642186403}, {'label': 'approval', 'score': 0.004147198982536793}]
[{'label': 'neutral', 'score': 0.8339420557022095}, {'label': 'admiration', 'score': 0.09733474999666214}, {'label': 'optimism', 'score': 0.03494301438331604}, {'label': 'annoyance', 'score': 0.004254655446857214}, {'label': 'disappointment', 'score': 0.004243738483637571}]
[{'label': 'neutral', 'score': 0.9118756055831909}, {'label': 'admiration', 'score': 0.04387250915169716}, {'label': 'optimism', 'score': 0.01954197883605957}, {'label': 'disappointment', 'score': 0.0044643995352089405}, {'label': 'annoyance', 'score': 0.0038443582598119974}]
[{'label': 'neutral', 'score': 0.910673975944519}, {'label': 'admiration', 'score': 0.04346395283937454}, {'label': 'optimism', 'score': 0.01276635192334652}, {'label': 'disappointment', 'score': 0.007261059246957302}, {'label': 'approval', 'score': 0.00557715492323041}]
[{'label': 'neutral', 'score': 0.8882837295532227}, {'label': 'admiration', 'score': 0.02968587353825569}, {'label': 'disappointment', 'score': 0.018342990428209305}, {'label': 'optimism', 'score': 0.014411118812859058}, {'label': 'annoyance', 'score': 0.010440494865179062}]
[{'label': 'neutral', 'score': 0.8879514336585999}, {'label': 'admiration', 'score': 0.02969242073595524}, {'label': 'disappointment', 'score': 0.01793317124247551}, {'label': 'optimism', 'score': 0.014686886221170425}, {'label': 'annoyance', 'score': 0.010494116693735123}]
[{'label': 'neutral', 'score': 0.7841033339500427}, {'label': 'admiration', 'score': 0.0378311388194561}, {'label': 'disappointment', 'score': 0.03558723255991936}, {'label': 'annoyance', 'score': 0.0292599406093359}, {'label': 'disgust', 'score': 0.028452157974243164}]
[{'label': 'admiration', 'score': 0.4211776852607727}, {'label': 'neutral', 'score': 0.4015379250049591}, {'label': 'annoyance', 'score': 0.03411170467734337}, {'label': 'optimism', 'score': 0.030862348154187202}, {'label': 'disgust', 'score': 0.02817138470709324}]
[{'label': 'admiration', 'score': 0.5278863310813904}, {'label': 'neutral', 'score': 0.3407154679298401}, {'label': 'optimism', 'score': 0.02451365627348423}, {'label': 'annoyance', 'score': 0.01988724060356617}, {'label': 'approval', 'score': 0.0182112418115139}]
[{'label': 'neutral', 'score': 0.5011173486709595}, {'label': 'admiration', 'score': 0.3990745544433594}, {'label': 'optimism', 'score': 0.02351844310760498}, {'label': 'approval', 'score': 0.014727870933711529}, {'label': 'disgust', 'score': 0.011325910687446594}]
[{'label': 'neutral', 'score': 0.7447776794433594}, {'label': 'admiration', 'score': 0.16729681193828583}, {'label': 'optimism', 'score': 0.0262604933232069}, {'label': 'disgust', 'score': 0.010464000515639782}, {'label': 'annoyance', 'score': 0.01003904826939106}]
[{'label': 'neutral', 'score': 0.9107303619384766}, {'label': 'admiration', 'score': 0.03638280928134918}, {'label': 'optimism', 'score': 0.020029457286000252}, {'label': 'annoyance', 'score': 0.005066644866019487}, {'label': 'approval', 'score': 0.004788444843143225}]
[{'label': 'neutral', 'score': 0.9373111724853516}, {'label': 'optimism', 'score': 0.017390336841344833}, {'label': 'admiration', 'score': 0.01594814658164978}, {'label': 'disappointment', 'score': 0.006006851326674223}, {'label': 'approval', 'score': 0.004059667699038982}]
[{'label': 'neutral', 'score': 0.9334583282470703}, {'label': 'optimism', 'score': 0.015631336718797684}, {'label': 'admiration', 'score': 0.012654446996748447}, {'label': 'disappointment', 'score': 0.009964519180357456}, {'label': 'disgust', 'score': 0.00412015663459897}]
