[{'label': 'neutral', 'score': 0.812856912612915}, {'label': 'surprise', 'score': 0.11989988386631012}, {'label': 'caring', 'score': 0.032059065997600555}, {'label': 'optimism', 'score': 0.010130050592124462}, {'label': 'amusement', 'score': 0.004133915062993765}]
[{'label': 'neutral', 'score': 0.9686613082885742}, {'label': 'caring', 'score': 0.01865682192146778}, {'label': 'optimism', 'score': 0.005869005806744099}, {'label': 'disappointment', 'score': 0.0010048492113128304}, {'label': 'admiration', 'score': 0.0007199405808933079}]
[{'label': 'neutral', 'score': 0.9647435545921326}, {'label': 'caring', 'score': 0.02251450903713703}, {'label': 'optimism', 'score': 0.004639965947717428}, {'label': 'disappointment', 'score': 0.0016662970883771777}, {'label': 'annoyance', 'score': 0.0008067823946475983}]
[{'label': 'neutral', 'score': 0.9622520208358765}, {'label': 'caring', 'score': 0.022947315126657486}, {'label': 'optimism', 'score': 0.0033222774509340525}, {'label': 'disappointment', 'score': 0.0032148302998393774}, {'label': 'annoyance', 'score': 0.001326127676293254}]
[{'label': 'neutral', 'score': 0.9349721074104309}, {'label': 'caring', 'score': 0.048853591084480286}, {'label': 'disappointment', 'score': 0.0033230260014533997}, {'label': 'optimism', 'score': 0.0031258324161171913}, {'label': 'annoyance', 'score': 0.0017598761478438973}]
[{'label': 'neutral', 'score': 0.9138453006744385}, {'label': 'caring', 'score': 0.07197212427854538}, {'label': 'optimism', 'score': 0.0032984931021928787}, {'label': 'disappointment', 'score': 0.0019851778633892536}, {'label': 'annoyance', 'score': 0.001522103906609118}]
[{'label': 'neutral', 'score': 0.8729441165924072}, {'label': 'caring', 'score': 0.10941019654273987}, {'label': 'optimism', 'score': 0.005606943275779486}, {'label': 'disappointment', 'score': 0.001445519388653338}, {'label': 'annoyance', 'score': 0.0014391940785571933}]
[{'label': 'neutral', 'score': 0.9037941694259644}, {'label': 'caring', 'score': 0.07788782566785812}, {'label': 'optimism', 'score': 0.0074522108770906925}, {'label': 'surprise', 'score': 0.0014956369996070862}, {'label': 'annoyance', 'score': 0.0013107862323522568}]
[{'label': 'neutral', 'score': 0.9677786827087402}, {'label': 'caring', 'score': 0.019362004473805428}, {'label': 'optimism', 'score': 0.005702343303710222}, {'label': 'annoyance', 'score': 0.0016175794880837202}, {'label': 'disappointment', 'score': 0.0009574075229465961}]
[{'label': 'neutral', 'score': 0.9834690093994141}, {'label': 'caring', 'score': 0.0065252576023340225}, {'label': 'optimism', 'score': 0.004953962750732899}, {'label': 'annoyance', 'score': 0.0007844779174774885}, {'label': 'disappointment', 'score': 0.0005721853231079876}]
[{'label': 'neutral', 'score': 0.9915034770965576}, {'label': 'optimism', 'score': 0.00308092194609344}, {'label': 'caring', 'score': 0.0010646266164258122}, {'label': 'annoyance', 'score': 0.0006407414330169559}, {'label': 'disappointment', 'score': 0.00047559698577970266}]
[{'label': 'neutral', 'score': 0.9870409965515137}, {'label': 'optimism', 'score': 0.005201766267418861}, {'label': 'caring', 'score': 0.002188195940107107}, {'label': 'surprise', 'score': 0.0009133870480582118}, {'label': 'annoyance', 'score': 0.0005392784951254725}]
[{'label': 'neutral', 'score': 0.966199517250061}, {'label': 'optimism', 'score': 0.013827654533088207}, {'label': 'surprise', 'score': 0.006781414616852999}, {'label': 'caring', 'score': 0.004996111616492271}, {'label': 'disappointment', 'score': 0.0008624352049082518}]
[{'label': 'neutral', 'score': 0.8214129209518433}, {'label': 'surprise', 'score': 0.13657106459140778}, {'label': 'optimism', 'score': 0.019499151036143303}, {'label': 'caring', 'score': 0.0037508986424654722}, {'label': 'realization', 'score': 0.003679232206195593}]
[{'label': 'neutral', 'score': 0.7812920808792114}, {'label': 'surprise', 'score': 0.17328986525535583}, {'label': 'optimism', 'score': 0.018047478049993515}, {'label': 'caring', 'score': 0.004559666384011507}, {'label': 'amusement', 'score': 0.004268890246748924}]
[{'label': 'neutral', 'score': 0.818516731262207}, {'label': 'surprise', 'score': 0.13524749875068665}, {'label': 'optimism', 'score': 0.014022600837051868}, {'label': 'amusement', 'score': 0.0075375670567154884}, {'label': 'caring', 'score': 0.0035075577907264233}]
[{'label': 'neutral', 'score': 0.8999596238136292}, {'label': 'surprise', 'score': 0.063892662525177}, {'label': 'amusement', 'score': 0.007769606076180935}, {'label': 'optimism', 'score': 0.007295465562492609}, {'label': 'annoyance', 'score': 0.003736302489414811}]
[{'label': 'neutral', 'score': 0.95565265417099}, {'label': 'surprise', 'score': 0.023645315319299698}, {'label': 'amusement', 'score': 0.005604946985840797}, {'label': 'optimism', 'score': 0.0036440016701817513}, {'label': 'annoyance', 'score': 0.0021994730923324823}]
[{'label': 'neutral', 'score': 0.9809015393257141}, {'label': 'surprise', 'score': 0.006376584060490131}, {'label': 'optimism', 'score': 0.0024266489781439304}, {'label': 'amusement', 'score': 0.0020722229965031147}, {'label': 'annoyance', 'score': 0.001648685079999268}]
[{'label': 'neutral', 'score': 0.9790709018707275}, {'label': 'surprise', 'score': 0.006225680001080036}, {'label': 'amusement', 'score': 0.003062506904825568}, {'label': 'optimism', 'score': 0.0020938455127179623}, {'label': 'annoyance', 'score': 0.0020439778454601765}]
[{'label': 'neutral', 'score': 0.9679127931594849}, {'label': 'surprise', 'score': 0.010005270130932331}, {'label': 'amusement', 'score': 0.005572633817791939}, {'label': 'optimism', 'score': 0.004171445034444332}, {'label': 'annoyance', 'score': 0.0030331218149513006}]
[{'label': 'neutral', 'score': 0.9111425876617432}, {'label': 'surprise', 'score': 0.04471651837229729}, {'label': 'amusement', 'score': 0.01879741996526718}, {'label': 'optimism', 'score': 0.006497157737612724}, {'label': 'annoyance', 'score': 0.004092107992619276}]
[{'label': 'neutral', 'score': 0.9398931860923767}, {'label': 'surprise', 'score': 0.02318776398897171}, {'label': 'amusement', 'score': 0.01891287788748741}, {'label': 'optimism', 'score': 0.004070010967552662}, {'label': 'realization', 'score': 0.002133772009983659}]
[{'label': 'neutral', 'score': 0.9760823845863342}, {'label': 'surprise', 'score': 0.0051852986216545105}, {'label': 'amusement', 'score': 0.005102408584207296}, {'label': 'optimism', 'score': 0.00286849751137197}, {'label': 'caring', 'score': 0.0017739046597853303}]
[{'label': 'neutral', 'score': 0.9497732520103455}, {'label': 'surprise', 'score': 0.01750333420932293}, {'label': 'caring', 'score': 0.005792493466287851}, {'label': 'amusement', 'score': 0.004849218297749758}, {'label': 'optimism', 'score': 0.004776137415319681}]
[{'label': 'neutral', 'score': 0.9166627526283264}, {'label': 'surprise', 'score': 0.04823088273406029}, {'label': 'amusement', 'score': 0.007808072026818991}, {'label': 'optimism', 'score': 0.00421117665246129}, {'label': 'caring', 'score': 0.0038550582248717546}]
[{'label': 'neutral', 'score': 0.9839602112770081}, {'label': 'caring', 'score': 0.0034166534896939993}, {'label': 'surprise', 'score': 0.0023405698593705893}, {'label': 'optimism', 'score': 0.0015954783884808421}, {'label': 'amusement', 'score': 0.001203562831506133}]
[{'label': 'neutral', 'score': 0.9857631921768188}, {'label': 'caring', 'score': 0.005323618184775114}, {'label': 'optimism', 'score': 0.001634035026654601}, {'label': 'disappointment', 'score': 0.001343610929325223}, {'label': 'sadness', 'score': 0.0012427004985511303}]
[{'label': 'neutral', 'score': 0.9757177233695984}, {'label': 'caring', 'score': 0.012050584889948368}, {'label': 'optimism', 'score': 0.0023883047979325056}, {'label': 'disappointment', 'score': 0.0016037441091611981}, {'label': 'sadness', 'score': 0.0015509561635553837}]
[{'label': 'neutral', 'score': 0.9773468375205994}, {'label': 'caring', 'score': 0.006556654814630747}, {'label': 'annoyance', 'score': 0.002971101086586714}, {'label': 'optimism', 'score': 0.0027681125793606043}, {'label': 'surprise', 'score': 0.002084614709019661}]
[{'label': 'neutral', 'score': 0.9651415348052979}, {'label': 'caring', 'score': 0.010259528644382954}, {'label': 'surprise', 'score': 0.005861177109181881}, {'label': 'optimism', 'score': 0.0045087458565831184}, {'label': 'annoyance', 'score': 0.0026985283475369215}]
[{'label': 'neutral', 'score': 0.9730756878852844}, {'label': 'caring', 'score': 0.013068625703454018}, {'label': 'optimism', 'score': 0.003836063900962472}, {'label': 'surprise', 'score': 0.0016925032250583172}, {'label': 'annoyance', 'score': 0.0016052492428570986}]
[{'label': 'neutral', 'score': 0.9794918298721313}, {'label': 'caring', 'score': 0.006894608959555626}, {'label': 'optimism', 'score': 0.004008150193840265}, {'label': 'surprise', 'score': 0.0014575085369870067}, {'label': 'disappointment', 'score': 0.0013844321947544813}]
[{'label': 'neutral', 'score': 0.9736383557319641}, {'label': 'caring', 'score': 0.014904842711985111}, {'label': 'optimism', 'score': 0.0029691257514059544}, {'label': 'disappointment', 'score': 0.001148149953223765}, {'label': 'sadness', 'score': 0.001067034201696515}]
[{'label': 'neutral', 'score': 0.9738556742668152}, {'label': 'caring', 'score': 0.008938468061387539}, {'label': 'optimism', 'score': 0.0036773751489818096}, {'label': 'surprise', 'score': 0.002960258163511753}, {'label': 'disappointment', 'score': 0.0017651146044954658}]
[{'label': 'neutral', 'score': 0.8123304843902588}, {'label': 'surprise', 'score': 0.16052375733852386}, {'label': 'optimism', 'score': 0.005104391369968653}, {'label': 'amusement', 'score': 0.0036779700312763453}, {'label': 'disappointment', 'score': 0.0023371174465864897}]
[{'label': 'surprise', 'score': 0.6462733745574951}, {'label': 'neutral', 'score': 0.32802557945251465}, {'label': 'amusement', 'score': 0.007151561323553324}, {'label': 'realization', 'score': 0.003894955152645707}, {'label': 'optimism', 'score': 0.0020829574204981327}]
[{'label': 'surprise', 'score': 0.6160089373588562}, {'label': 'neutral', 'score': 0.34413623809814453}, {'label': 'amusement', 'score': 0.01791813038289547}, {'label': 'realization', 'score': 0.003491227747872472}, {'label': 'annoyance', 'score': 0.003138575702905655}]
[{'label': 'surprise', 'score': 0.6061587333679199}, {'label': 'neutral', 'score': 0.3488769829273224}, {'label': 'amusement', 'score': 0.021949326619505882}, {'label': 'realization', 'score': 0.004005646798759699}, {'label': 'annoyance', 'score': 0.003016597591340542}]
[{'label': 'surprise', 'score': 0.6758270263671875}, {'label': 'neutral', 'score': 0.28301703929901123}, {'label': 'amusement', 'score': 0.017189810052514076}, {'label': 'realization', 'score': 0.0035086225252598524}, {'label': 'annoyance', 'score': 0.0033708675764501095}]
[{'label': 'neutral', 'score': 0.9340498447418213}, {'label': 'surprise', 'score': 0.03441081568598747}, {'label': 'amusement', 'score': 0.00736176036298275}, {'label': 'sadness', 'score': 0.0045705693773925304}, {'label': 'disappointment', 'score': 0.0032395499292761087}]
[{'label': 'neutral', 'score': 0.8153443336486816}, {'label': 'surprise', 'score': 0.14607594907283783}, {'label': 'amusement', 'score': 0.006768297869712114}, {'label': 'sadness', 'score': 0.006100750062614679}, {'label': 'disappointment', 'score': 0.005269002169370651}]
[{'label': 'neutral', 'score': 0.6262348890304565}, {'label': 'surprise', 'score': 0.33562612533569336}, {'label': 'sadness', 'score': 0.006710137240588665}, {'label': 'disappointment', 'score': 0.006333086173981428}, {'label': 'realization', 'score': 0.005169796757400036}]
[{'label': 'neutral', 'score': 0.7735514044761658}, {'label': 'surprise', 'score': 0.19267019629478455}, {'label': 'amusement', 'score': 0.005604688078165054}, {'label': 'sadness', 'score': 0.00494437525048852}, {'label': 'disappointment', 'score': 0.004867313429713249}]
[{'label': 'neutral', 'score': 0.8482069969177246}, {'label': 'surprise', 'score': 0.12149332463741302}, {'label': 'amusement', 'score': 0.0062005952931940556}, {'label': 'realization', 'score': 0.004541678819805384}, {'label': 'optimism', 'score': 0.004182878416031599}]
[{'label': 'neutral', 'score': 0.8244575262069702}, {'label': 'surprise', 'score': 0.14493994414806366}, {'label': 'disappointment', 'score': 0.005316823720932007}, {'label': 'realization', 'score': 0.004892982542514801}, {'label': 'amusement', 'score': 0.0046849604696035385}]
[{'label': 'neutral', 'score': 0.9201970100402832}, {'label': 'surprise', 'score': 0.05445989966392517}, {'label': 'optimism', 'score': 0.005577456671744585}, {'label': 'realization', 'score': 0.0051688095554709435}, {'label': 'disappointment', 'score': 0.0034369786735624075}]
[{'label': 'neutral', 'score': 0.9601491689682007}, {'label': 'surprise', 'score': 0.019815072417259216}, {'label': 'optimism', 'score': 0.004559627268463373}, {'label': 'realization', 'score': 0.003757492173463106}, {'label': 'amusement', 'score': 0.0025548303965479136}]
[{'label': 'neutral', 'score': 0.8224167227745056}, {'label': 'surprise', 'score': 0.14641237258911133}, {'label': 'realization', 'score': 0.008298667147755623}, {'label': 'optimism', 'score': 0.004486569669097662}, {'label': 'amusement', 'score': 0.004160708282142878}]
[{'label': 'neutral', 'score': 0.8852543234825134}, {'label': 'surprise', 'score': 0.08952490985393524}, {'label': 'amusement', 'score': 0.005687875207513571}, {'label': 'realization', 'score': 0.004338379483669996}, {'label': 'optimism', 'score': 0.00393981346860528}]
[{'label': 'neutral', 'score': 0.5522793531417847}, {'label': 'surprise', 'score': 0.41785651445388794}, {'label': 'amusement', 'score': 0.007755770348012447}, {'label': 'optimism', 'score': 0.005266846157610416}, {'label': 'realization', 'score': 0.004309582524001598}]
[{'label': 'neutral', 'score': 0.6623420119285583}, {'label': 'surprise', 'score': 0.3056701719760895}, {'label': 'amusement', 'score': 0.012643122114241123}, {'label': 'optimism', 'score': 0.0032442922238260508}, {'label': 'realization', 'score': 0.0030273834709078074}]
[{'label': 'surprise', 'score': 0.6236470341682434}, {'label': 'neutral', 'score': 0.347390741109848}, {'label': 'amusement', 'score': 0.011155274696648121}, {'label': 'realization', 'score': 0.003481488674879074}, {'label': 'optimism', 'score': 0.002178560011088848}]
[{'label': 'surprise', 'score': 0.670703113079071}, {'label': 'neutral', 'score': 0.29492029547691345}, {'label': 'amusement', 'score': 0.01624867506325245}, {'label': 'realization', 'score': 0.004309971816837788}, {'label': 'optimism', 'score': 0.0020297234877943993}]
[{'label': 'surprise', 'score': 0.6483016610145569}, {'label': 'neutral', 'score': 0.31162193417549133}, {'label': 'amusement', 'score': 0.02094670943915844}, {'label': 'realization', 'score': 0.005526860244572163}, {'label': 'optimism', 'score': 0.002128437627106905}]
[{'label': 'neutral', 'score': 0.555312991142273}, {'label': 'surprise', 'score': 0.37950798869132996}, {'label': 'amusement', 'score': 0.039256129413843155}, {'label': 'realization', 'score': 0.008238745853304863}, {'label': 'sadness', 'score': 0.002378848847001791}]
[{'label': 'neutral', 'score': 0.787573516368866}, {'label': 'surprise', 'score': 0.13831713795661926}, {'label': 'amusement', 'score': 0.047898221760988235}, {'label': 'realization', 'score': 0.0067433384247124195}, {'label': 'sadness', 'score': 0.003103404538705945}]
[{'label': 'neutral', 'score': 0.7533625364303589}, {'label': 'surprise', 'score': 0.15926772356033325}, {'label': 'amusement', 'score': 0.056348662823438644}, {'label': 'realization', 'score': 0.010808536782860756}, {'label': 'sadness', 'score': 0.002919015008956194}]
[{'label': 'neutral', 'score': 0.6774263381958008}, {'label': 'surprise', 'score': 0.24292811751365662}, {'label': 'amusement', 'score': 0.04867430403828621}, {'label': 'realization', 'score': 0.01152031123638153}, {'label': 'excitement', 'score': 0.002887200331315398}]
[{'label': 'neutral', 'score': 0.7309553623199463}, {'label': 'surprise', 'score': 0.19872163236141205}, {'label': 'amusement', 'score': 0.048738691955804825}, {'label': 'realization', 'score': 0.003837995696812868}, {'label': 'annoyance', 'score': 0.0030602100305259228}]
[{'label': 'neutral', 'score': 0.7044848203659058}, {'label': 'surprise', 'score': 0.227128803730011}, {'label': 'amusement', 'score': 0.045105043798685074}, {'label': 'annoyance', 'score': 0.0037403006572276354}, {'label': 'realization', 'score': 0.003092440078034997}]
[{'label': 'neutral', 'score': 0.6492098569869995}, {'label': 'surprise', 'score': 0.29829323291778564}, {'label': 'amusement', 'score': 0.029689349234104156}, {'label': 'annoyance', 'score': 0.0030170853715389967}, {'label': 'realization', 'score': 0.0028400823939591646}]
[{'label': 'neutral', 'score': 0.5998510718345642}, {'label': 'surprise', 'score': 0.35726219415664673}, {'label': 'amusement', 'score': 0.022270195186138153}, {'label': 'realization', 'score': 0.0031847942154854536}, {'label': 'excitement', 'score': 0.0027716720942407846}]
[{'label': 'neutral', 'score': 0.5844043493270874}, {'label': 'surprise', 'score': 0.37746626138687134}, {'label': 'amusement', 'score': 0.01804586872458458}, {'label': 'realization', 'score': 0.0031639677472412586}, {'label': 'excitement', 'score': 0.0028255092911422253}]
[{'label': 'neutral', 'score': 0.6876376867294312}, {'label': 'surprise', 'score': 0.2596248686313629}, {'label': 'amusement', 'score': 0.02681172639131546}, {'label': 'realization', 'score': 0.007173549383878708}, {'label': 'optimism', 'score': 0.002800654387101531}]
[{'label': 'neutral', 'score': 0.6727213859558105}, {'label': 'surprise', 'score': 0.27567818760871887}, {'label': 'amusement', 'score': 0.023089654743671417}, {'label': 'realization', 'score': 0.008983267471194267}, {'label': 'optimism', 'score': 0.003127036616206169}]
[{'label': 'neutral', 'score': 0.5990802645683289}, {'label': 'surprise', 'score': 0.34197789430618286}, {'label': 'amusement', 'score': 0.020350618287920952}, {'label': 'realization', 'score': 0.015985503792762756}, {'label': 'optimism', 'score': 0.0034134038724005222}]
[{'label': 'neutral', 'score': 0.6790541410446167}, {'label': 'surprise', 'score': 0.2764102518558502}, {'label': 'amusement', 'score': 0.013333364389836788}, {'label': 'realization', 'score': 0.009835194796323776}, {'label': 'optimism', 'score': 0.004273402038961649}]
[{'label': 'neutral', 'score': 0.6488037109375}, {'label': 'surprise', 'score': 0.3085253834724426}, {'label': 'amusement', 'score': 0.015658926218748093}, {'label': 'realization', 'score': 0.007845166139304638}, {'label': 'optimism', 'score': 0.0037622142117470503}]
[{'label': 'neutral', 'score': 0.7448806762695312}, {'label': 'surprise', 'score': 0.21374553442001343}, {'label': 'amusement', 'score': 0.01571144349873066}, {'label': 'realization', 'score': 0.007156424690037966}, {'label': 'optimism', 'score': 0.0040761069394648075}]
[{'label': 'neutral', 'score': 0.8088554739952087}, {'label': 'surprise', 'score': 0.1343611776828766}, {'label': 'amusement', 'score': 0.03175582364201546}, {'label': 'realization', 'score': 0.006732235196977854}, {'label': 'optimism', 'score': 0.003404910210520029}]
[{'label': 'neutral', 'score': 0.8240839242935181}, {'label': 'surprise', 'score': 0.11579230427742004}, {'label': 'amusement', 'score': 0.03411491587758064}, {'label': 'realization', 'score': 0.007891939952969551}, {'label': 'optimism', 'score': 0.003315945155918598}]
[{'label': 'neutral', 'score': 0.7090526819229126}, {'label': 'surprise', 'score': 0.23870708048343658}, {'label': 'amusement', 'score': 0.02269151248037815}, {'label': 'realization', 'score': 0.007855401374399662}, {'label': 'optimism', 'score': 0.004021068103611469}]
[{'label': 'neutral', 'score': 0.7380844354629517}, {'label': 'surprise', 'score': 0.2100457400083542}, {'label': 'amusement', 'score': 0.023268992081284523}, {'label': 'realization', 'score': 0.007542390841990709}, {'label': 'optimism', 'score': 0.0036480168346315622}]
[{'label': 'surprise', 'score': 0.6227545738220215}, {'label': 'neutral', 'score': 0.3348831534385681}, {'label': 'amusement', 'score': 0.016448233276605606}, {'label': 'realization', 'score': 0.008602556772530079}, {'label': 'optimism', 'score': 0.0028992772568017244}]
[{'label': 'surprise', 'score': 0.5838500261306763}, {'label': 'neutral', 'score': 0.3763687014579773}, {'label': 'amusement', 'score': 0.012857710011303425}, {'label': 'realization', 'score': 0.008267943747341633}, {'label': 'sadness', 'score': 0.002882086904719472}]
[{'label': 'neutral', 'score': 0.6016338467597961}, {'label': 'surprise', 'score': 0.357914000749588}, {'label': 'amusement', 'score': 0.01450919546186924}, {'label': 'realization', 'score': 0.005857687443494797}, {'label': 'excitement', 'score': 0.0031617938075214624}]
[{'label': 'neutral', 'score': 0.62326979637146}, {'label': 'surprise', 'score': 0.3372843265533447}, {'label': 'amusement', 'score': 0.014361527748405933}, {'label': 'realization', 'score': 0.005413538310676813}, {'label': 'excitement', 'score': 0.003287559375166893}]
[{'label': 'neutral', 'score': 0.6806470155715942}, {'label': 'surprise', 'score': 0.2811123728752136}, {'label': 'amusement', 'score': 0.017390474677085876}, {'label': 'realization', 'score': 0.004098999779671431}, {'label': 'optimism', 'score': 0.003387602511793375}]
[{'label': 'neutral', 'score': 0.8979759216308594}, {'label': 'surprise', 'score': 0.06907495856285095}, {'label': 'amusement', 'score': 0.011082680895924568}, {'label': 'annoyance', 'score': 0.004121264908462763}, {'label': 'optimism', 'score': 0.003626719582825899}]
[{'label': 'neutral', 'score': 0.6532067060470581}, {'label': 'surprise', 'score': 0.2953547239303589}, {'label': 'amusement', 'score': 0.01570633240044117}, {'label': 'realization', 'score': 0.009912963956594467}, {'label': 'annoyance', 'score': 0.006568924058228731}]
[{'label': 'neutral', 'score': 0.6168694496154785}, {'label': 'surprise', 'score': 0.329354465007782}, {'label': 'amusement', 'score': 0.023216765373945236}, {'label': 'realization', 'score': 0.008811001665890217}, {'label': 'disappointment', 'score': 0.0037980275228619576}]
[{'label': 'neutral', 'score': 0.7580124139785767}, {'label': 'surprise', 'score': 0.19359338283538818}, {'label': 'amusement', 'score': 0.009515682235360146}, {'label': 'disappointment', 'score': 0.007566992659121752}, {'label': 'realization', 'score': 0.0074448552913963795}]
