[[{'label': 'sadness', 'score': 0.8917441964149475}, {'label': 'neutral', 'score': 0.06486320495605469}, {'label': 'disappointment', 'score': 0.015560392290353775}]]
[[{'label': 'sadness', 'score': 0.6348358392715454}, {'label': 'neutral', 'score': 0.3316066563129425}, {'label': 'disappointment', 'score': 0.010492227040231228}]]
[[{'label': 'sadness', 'score': 0.7715671062469482}, {'label': 'neutral', 'score': 0.19677184522151947}, {'label': 'disappointment', 'score': 0.011767057701945305}]]
[[{'label': 'sadness', 'score': 0.5553538203239441}, {'label': 'neutral', 'score': 0.3977234363555908}, {'label': 'disappointment', 'score': 0.017571846023201942}]]
[[{'label': 'neutral', 'score': 0.7155358791351318}, {'label': 'sadness', 'score': 0.24068935215473175}, {'label': 'disappointment', 'score': 0.014147668145596981}]]
[[{'label': 'neutral', 'score': 0.9673357605934143}, {'label': 'sadness', 'score': 0.018321922048926353}, {'label': 'disappointment', 'score': 0.0036236706655472517}]]
[[{'label': 'neutral', 'score': 0.9888879656791687}, {'label': 'sadness', 'score': 0.003400372341275215}, {'label': 'optimism', 'score': 0.0016246738377958536}]]
[[{'label': 'neutral', 'score': 0.9688740968704224}, {'label': 'sadness', 'score': 0.018023014068603516}, {'label': 'disappointment', 'score': 0.0034156297333538532}]]
[[{'label': 'neutral', 'score': 0.9688029289245605}, {'label': 'sadness', 'score': 0.01838543266057968}, {'label': 'disappointment', 'score': 0.003385980147868395}]]
[[{'label': 'neutral', 'score': 0.9644032716751099}, {'label': 'sadness', 'score': 0.02379641681909561}, {'label': 'disappointment', 'score': 0.0031731841154396534}]]
[[{'label': 'neutral', 'score': 0.8668904900550842}, {'label': 'sadness', 'score': 0.10163985937833786}, {'label': 'disappointment', 'score': 0.011937673203647137}]]
[[{'label': 'sadness', 'score': 0.646614670753479}, {'label': 'neutral', 'score': 0.30700021982192993}, {'label': 'disappointment', 'score': 0.023266663774847984}]]
[[{'label': 'sadness', 'score': 0.7652385830879211}, {'label': 'neutral', 'score': 0.19726023077964783}, {'label': 'disappointment', 'score': 0.01571965403854847}]]
[[{'label': 'sadness', 'score': 0.8397504091262817}, {'label': 'neutral', 'score': 0.1314811408519745}, {'label': 'disappointment', 'score': 0.011948151513934135}]]
[[{'label': 'sadness', 'score': 0.9302940964698792}, {'label': 'neutral', 'score': 0.047413378953933716}, {'label': 'disappointment', 'score': 0.009737003594636917}]]
[[{'label': 'sadness', 'score': 0.9737256765365601}, {'label': 'neutral', 'score': 0.011752079240977764}, {'label': 'disappointment', 'score': 0.006657949183136225}]]
[[{'label': 'sadness', 'score': 0.9345736503601074}, {'label': 'neutral', 'score': 0.03782495856285095}, {'label': 'disappointment', 'score': 0.01895400881767273}]]
[[{'label': 'sadness', 'score': 0.8596898913383484}, {'label': 'neutral', 'score': 0.09237156808376312}, {'label': 'disappointment', 'score': 0.03747519105672836}]]
[[{'label': 'neutral', 'score': 0.5328690409660339}, {'label': 'sadness', 'score': 0.4124777019023895}, {'label': 'disappointment', 'score': 0.031174786388874054}]]
[[{'label': 'neutral', 'score': 0.7436617612838745}, {'label': 'sadness', 'score': 0.21875867247581482}, {'label': 'disappointment', 'score': 0.01661643199622631}]]
[[{'label': 'neutral', 'score': 0.5487813353538513}, {'label': 'sadness', 'score': 0.41526907682418823}, {'label': 'disappointment', 'score': 0.014767421409487724}]]
[[{'label': 'sadness', 'score': 0.8289577960968018}, {'label': 'neutral', 'score': 0.14302031695842743}, {'label': 'disappointment', 'score': 0.010628477670252323}]]
[[{'label': 'sadness', 'score': 0.8206244707107544}, {'label': 'neutral', 'score': 0.15166430175304413}, {'label': 'disappointment', 'score': 0.010279432870447636}]]
[[{'label': 'sadness', 'score': 0.8424780368804932}, {'label': 'neutral', 'score': 0.1299760937690735}, {'label': 'disappointment', 'score': 0.010987376794219017}]]
[[{'label': 'sadness', 'score': 0.6931661367416382}, {'label': 'neutral', 'score': 0.26908397674560547}, {'label': 'disappointment', 'score': 0.015634139999747276}]]
[[{'label': 'neutral', 'score': 0.7429385185241699}, {'label': 'sadness', 'score': 0.21650321781635284}, {'label': 'disappointment', 'score': 0.011841406114399433}]]
[[{'label': 'neutral', 'score': 0.9471240639686584}, {'label': 'sadness', 'score': 0.033378150314092636}, {'label': 'disappointment', 'score': 0.0051468657329678535}]]
[[{'label': 'neutral', 'score': 0.955351710319519}, {'label': 'sadness', 'score': 0.0257753636687994}, {'label': 'disappointment', 'score': 0.004903699737042189}]]
[[{'label': 'neutral', 'score': 0.8891955018043518}, {'label': 'sadness', 'score': 0.08493164926767349}, {'label': 'disappointment', 'score': 0.006799046881496906}]]
[[{'label': 'neutral', 'score': 0.7689028382301331}, {'label': 'sadness', 'score': 0.19657833874225616}, {'label': 'disappointment', 'score': 0.009703457355499268}]]
[[{'label': 'neutral', 'score': 0.7223984599113464}, {'label': 'sadness', 'score': 0.24248763918876648}, {'label': 'disappointment', 'score': 0.010740705765783787}]]
[[{'label': 'neutral', 'score': 0.7502070069313049}, {'label': 'sadness', 'score': 0.21512320637702942}, {'label': 'disappointment', 'score': 0.011991840787231922}]]
[[{'label': 'neutral', 'score': 0.7492837905883789}, {'label': 'sadness', 'score': 0.2141328752040863}, {'label': 'disappointment', 'score': 0.012092392891645432}]]
[[{'label': 'neutral', 'score': 0.8473889827728271}, {'label': 'sadness', 'score': 0.11534813791513443}, {'label': 'disappointment', 'score': 0.009985714219510555}]]
[[{'label': 'neutral', 'score': 0.9551862478256226}, {'label': 'sadness', 'score': 0.01954372599720955}, {'label': 'optimism', 'score': 0.007343815639615059}]]
[[{'label': 'neutral', 'score': 0.9032901525497437}, {'label': 'sadness', 'score': 0.05477360263466835}, {'label': 'optimism', 'score': 0.014072981663048267}]]
[[{'label': 'neutral', 'score': 0.966742992401123}, {'label': 'joy', 'score': 0.014001879841089249}, {'label': 'caring', 'score': 0.004147733561694622}]]
[[{'label': 'neutral', 'score': 0.8286693096160889}, {'label': 'sadness', 'score': 0.1400800198316574}, {'label': 'disappointment', 'score': 0.010816726833581924}]]
[[{'label': 'neutral', 'score': 0.511907160282135}, {'label': 'sadness', 'score': 0.4480002820491791}, {'label': 'disappointment', 'score': 0.015645036473870277}]]
[[{'label': 'neutral', 'score': 0.4922017455101013}, {'label': 'sadness', 'score': 0.4692429006099701}, {'label': 'disappointment', 'score': 0.013937382027506828}]]
[[{'label': 'sadness', 'score': 0.8688223361968994}, {'label': 'neutral', 'score': 0.1083138957619667}, {'label': 'disappointment', 'score': 0.010725116357207298}]]
[[{'label': 'sadness', 'score': 0.9069539904594421}, {'label': 'neutral', 'score': 0.07334870845079422}, {'label': 'disappointment', 'score': 0.009040890261530876}]]
[[{'label': 'sadness', 'score': 0.6058268547058105}, {'label': 'neutral', 'score': 0.35771065950393677}, {'label': 'disappointment', 'score': 0.01669912599027157}]]
[[{'label': 'neutral', 'score': 0.5126791000366211}, {'label': 'sadness', 'score': 0.4490204453468323}, {'label': 'disappointment', 'score': 0.014998643659055233}]]
[[{'label': 'sadness', 'score': 0.7085952758789062}, {'label': 'neutral', 'score': 0.2476196438074112}, {'label': 'disappointment', 'score': 0.018247421830892563}]]
[[{'label': 'neutral', 'score': 0.9922890067100525}, {'label': 'optimism', 'score': 0.0018507969798520207}, {'label': 'realization', 'score': 0.0013288370100781322}]]
[[{'label': 'neutral', 'score': 0.9933335185050964}, {'label': 'optimism', 'score': 0.0017686403589323163}, {'label': 'admiration', 'score': 0.0011990123894065619}]]
[[{'label': 'neutral', 'score': 0.9935122132301331}, {'label': 'admiration', 'score': 0.0011663781479001045}, {'label': 'realization', 'score': 0.001089043915271759}]]
[[{'label': 'neutral', 'score': 0.9942623972892761}, {'label': 'admiration', 'score': 0.001037816284224391}, {'label': 'optimism', 'score': 0.0009209723793901503}]]
[[{'label': 'neutral', 'score': 0.994836688041687}, {'label': 'realization', 'score': 0.0011521941050887108}, {'label': 'admiration', 'score': 0.0007736715488135815}]]
[[{'label': 'neutral', 'score': 0.9953327775001526}, {'label': 'admiration', 'score': 0.0009983991039916873}, {'label': 'realization', 'score': 0.0008851477759890258}]]
[[{'label': 'neutral', 'score': 0.9925658702850342}, {'label': 'realization', 'score': 0.0016936210449784994}, {'label': 'approval', 'score': 0.0010530684376135468}]]
[[{'label': 'neutral', 'score': 0.9934636950492859}, {'label': 'realization', 'score': 0.0013168687000870705}, {'label': 'optimism', 'score': 0.0008389063295908272}]]
[[{'label': 'neutral', 'score': 0.9922882318496704}, {'label': 'realization', 'score': 0.001560437842272222}, {'label': 'joy', 'score': 0.0009763528360053897}]]
[[{'label': 'neutral', 'score': 0.9935668110847473}, {'label': 'realization', 'score': 0.001269350410439074}, {'label': 'admiration', 'score': 0.0008598742424510419}]]
[[{'label': 'neutral', 'score': 0.9911791682243347}, {'label': 'realization', 'score': 0.0016700391424819827}, {'label': 'joy', 'score': 0.001326757250353694}]]
[[{'label': 'neutral', 'score': 0.9887956380844116}, {'label': 'joy', 'score': 0.002184420358389616}, {'label': 'realization', 'score': 0.0017968331230804324}]]
[[{'label': 'neutral', 'score': 0.9897087216377258}, {'label': 'realization', 'score': 0.0019073241855949163}, {'label': 'approval', 'score': 0.0011271783150732517}]]
[[{'label': 'neutral', 'score': 0.9537922739982605}, {'label': 'fear', 'score': 0.013314349576830864}, {'label': 'approval', 'score': 0.009767740033566952}]]
[[{'label': 'neutral', 'score': 0.8686045408248901}, {'label': 'fear', 'score': 0.06931460648775101}, {'label': 'approval', 'score': 0.018652960658073425}]]
[[{'label': 'fear', 'score': 0.9223677515983582}, {'label': 'neutral', 'score': 0.04593004286289215}, {'label': 'approval', 'score': 0.007988488301634789}]]
[[{'label': 'fear', 'score': 0.9439355731010437}, {'label': 'neutral', 'score': 0.03448884189128876}, {'label': 'nervousness', 'score': 0.004538918845355511}]]
[[{'label': 'fear', 'score': 0.9432016611099243}, {'label': 'neutral', 'score': 0.03562140837311745}, {'label': 'nervousness', 'score': 0.00405013607814908}]]
[[{'label': 'neutral', 'score': 0.7779300808906555}, {'label': 'fear', 'score': 0.18769867718219757}, {'label': 'optimism', 'score': 0.008919641375541687}]]
[[{'label': 'neutral', 'score': 0.8499006032943726}, {'label': 'fear', 'score': 0.10211467742919922}, {'label': 'optimism', 'score': 0.013196750544011593}]]
[[{'label': 'neutral', 'score': 0.5320860743522644}, {'label': 'fear', 'score': 0.3750479221343994}, {'label': 'approval', 'score': 0.017981648445129395}]]
[[{'label': 'neutral', 'score': 0.747056245803833}, {'label': 'fear', 'score': 0.149795800447464}, {'label': 'disapproval', 'score': 0.02832602895796299}]]
[[{'label': 'fear', 'score': 0.6717303395271301}, {'label': 'neutral', 'score': 0.23121240735054016}, {'label': 'approval', 'score': 0.023805953562259674}]]
[[{'label': 'fear', 'score': 0.6540452837944031}, {'label': 'neutral', 'score': 0.24466529488563538}, {'label': 'approval', 'score': 0.02962537109851837}]]
[[{'label': 'fear', 'score': 0.6973966360092163}, {'label': 'neutral', 'score': 0.18966664373874664}, {'label': 'optimism', 'score': 0.04109727591276169}]]
[[{'label': 'fear', 'score': 0.5831273794174194}, {'label': 'neutral', 'score': 0.3583122193813324}, {'label': 'optimism', 'score': 0.01748931221663952}]]
[[{'label': 'neutral', 'score': 0.8661020398139954}, {'label': 'fear', 'score': 0.07187353074550629}, {'label': 'optimism', 'score': 0.024761918932199478}]]
[[{'label': 'neutral', 'score': 0.9512040615081787}, {'label': 'fear', 'score': 0.015076703391969204}, {'label': 'optimism', 'score': 0.012780656106770039}]]
[[{'label': 'neutral', 'score': 0.973396897315979}, {'label': 'fear', 'score': 0.00750855403020978}, {'label': 'optimism', 'score': 0.004904073663055897}]]
[[{'label': 'neutral', 'score': 0.9108055233955383}, {'label': 'fear', 'score': 0.04794791713356972}, {'label': 'optimism', 'score': 0.010708300396800041}]]
[[{'label': 'neutral', 'score': 0.7600681781768799}, {'label': 'fear', 'score': 0.19055931270122528}, {'label': 'disapproval', 'score': 0.010262607596814632}]]
[[{'label': 'neutral', 'score': 0.4788860082626343}, {'label': 'fear', 'score': 0.46701836585998535}, {'label': 'optimism', 'score': 0.011428453959524632}]]
[[{'label': 'fear', 'score': 0.63093501329422}, {'label': 'neutral', 'score': 0.3146037459373474}, {'label': 'disapproval', 'score': 0.012252300046384335}]]
[[{'label': 'fear', 'score': 0.5248803496360779}, {'label': 'neutral', 'score': 0.40966740250587463}, {'label': 'disapproval', 'score': 0.018707742914557457}]]
[[{'label': 'neutral', 'score': 0.6017035841941833}, {'label': 'fear', 'score': 0.30131852626800537}, {'label': 'disapproval', 'score': 0.03869464993476868}]]
[[{'label': 'neutral', 'score': 0.770595371723175}, {'label': 'fear', 'score': 0.133642315864563}, {'label': 'disapproval', 'score': 0.03513547405600548}]]
[[{'label': 'neutral', 'score': 0.8940022587776184}, {'label': 'fear', 'score': 0.05794030427932739}, {'label': 'disapproval', 'score': 0.008739170618355274}]]
[[{'label': 'neutral', 'score': 0.973422646522522}, {'label': 'fear', 'score': 0.006252349354326725}, {'label': 'optimism', 'score': 0.004911643452942371}]]
[[{'label': 'neutral', 'score': 0.8076757788658142}, {'label': 'fear', 'score': 0.16446685791015625}, {'label': 'optimism', 'score': 0.004840966314077377}]]
[[{'label': 'neutral', 'score': 0.8746201992034912}, {'label': 'fear', 'score': 0.0857686698436737}, {'label': 'disapproval', 'score': 0.006955206859856844}]]
[[{'label': 'neutral', 'score': 0.4884546101093292}, {'label': 'fear', 'score': 0.4594257175922394}, {'label': 'optimism', 'score': 0.008449709042906761}]]
[[{'label': 'fear', 'score': 0.6829203367233276}, {'label': 'neutral', 'score': 0.25904038548469543}, {'label': 'optimism', 'score': 0.014626255258917809}]]
[[{'label': 'fear', 'score': 0.7848889827728271}, {'label': 'neutral', 'score': 0.15637750923633575}, {'label': 'disapproval', 'score': 0.01510143093764782}]]
[[{'label': 'neutral', 'score': 0.5239107012748718}, {'label': 'fear', 'score': 0.36349549889564514}, {'label': 'disapproval', 'score': 0.03141024336218834}]]
[[{'label': 'neutral', 'score': 0.5058298707008362}, {'label': 'fear', 'score': 0.21619659662246704}, {'label': 'disapproval', 'score': 0.18712985515594482}]]
[[{'label': 'fear', 'score': 0.6545855402946472}, {'label': 'neutral', 'score': 0.2977403998374939}, {'label': 'optimism', 'score': 0.009654128924012184}]]
[[{'label': 'neutral', 'score': 0.9247558116912842}, {'label': 'fear', 'score': 0.048148758709430695}, {'label': 'optimism', 'score': 0.007597168907523155}]]
[[{'label': 'neutral', 'score': 0.9238169193267822}, {'label': 'disapproval', 'score': 0.025295346975326538}, {'label': 'amusement', 'score': 0.01453152485191822}]]
[[{'label': 'neutral', 'score': 0.8540745973587036}, {'label': 'disapproval', 'score': 0.06447283923625946}, {'label': 'fear', 'score': 0.020946744829416275}]]
[[{'label': 'neutral', 'score': 0.7134571075439453}, {'label': 'disapproval', 'score': 0.17155316472053528}, {'label': 'fear', 'score': 0.04377419501543045}]]
[[{'label': 'neutral', 'score': 0.7269378900527954}, {'label': 'disapproval', 'score': 0.11960794776678085}, {'label': 'fear', 'score': 0.06806441396474838}]]
[[{'label': 'fear', 'score': 0.6642259955406189}, {'label': 'neutral', 'score': 0.20468470454216003}, {'label': 'disapproval', 'score': 0.07136546075344086}]]
[[{'label': 'fear', 'score': 0.6876190304756165}, {'label': 'neutral', 'score': 0.1992664486169815}, {'label': 'disapproval', 'score': 0.05990969017148018}]]
[[{'label': 'fear', 'score': 0.7744560241699219}, {'label': 'neutral', 'score': 0.12398584187030792}, {'label': 'disapproval', 'score': 0.05166225507855415}]]
[[{'label': 'fear', 'score': 0.8668175935745239}, {'label': 'neutral', 'score': 0.07277072966098785}, {'label': 'disapproval', 'score': 0.024968024343252182}]]
[[{'label': 'neutral', 'score': 0.5238854885101318}, {'label': 'fear', 'score': 0.36326003074645996}, {'label': 'approval', 'score': 0.02884835936129093}]]
[[{'label': 'fear', 'score': 0.7033851742744446}, {'label': 'neutral', 'score': 0.21784286201000214}, {'label': 'disapproval', 'score': 0.03238283097743988}]]
[[{'label': 'neutral', 'score': 0.7231900095939636}, {'label': 'fear', 'score': 0.1396714448928833}, {'label': 'disapproval', 'score': 0.07370602339506149}]]
[[{'label': 'neutral', 'score': 0.6842951774597168}, {'label': 'fear', 'score': 0.1721784472465515}, {'label': 'disapproval', 'score': 0.07592738419771194}]]
[[{'label': 'neutral', 'score': 0.6346087455749512}, {'label': 'fear', 'score': 0.20236441493034363}, {'label': 'disapproval', 'score': 0.07986566424369812}]]
[[{'label': 'neutral', 'score': 0.5139651298522949}, {'label': 'fear', 'score': 0.3765694499015808}, {'label': 'disapproval', 'score': 0.04685468226671219}]]
[[{'label': 'fear', 'score': 0.4765475392341614}, {'label': 'neutral', 'score': 0.4133049547672272}, {'label': 'disapproval', 'score': 0.057583969086408615}]]
[[{'label': 'neutral', 'score': 0.60048907995224}, {'label': 'fear', 'score': 0.20561112463474274}, {'label': 'disapproval', 'score': 0.12670686841011047}]]
[[{'label': 'neutral', 'score': 0.37250760197639465}, {'label': 'approval', 'score': 0.31113845109939575}, {'label': 'disapproval', 'score': 0.20319302380084991}]]
[[{'label': 'neutral', 'score': 0.3950900435447693}, {'label': 'fear', 'score': 0.32374000549316406}, {'label': 'disapproval', 'score': 0.16059426963329315}]]
[[{'label': 'fear', 'score': 0.510685920715332}, {'label': 'approval', 'score': 0.20841221511363983}, {'label': 'neutral', 'score': 0.1193285658955574}]]
[[{'label': 'fear', 'score': 0.48961132764816284}, {'label': 'neutral', 'score': 0.1998034119606018}, {'label': 'disapproval', 'score': 0.1559673547744751}]]
[[{'label': 'fear', 'score': 0.2998660206794739}, {'label': 'approval', 'score': 0.27189144492149353}, {'label': 'neutral', 'score': 0.17319627106189728}]]
[[{'label': 'approval', 'score': 0.6466091871261597}, {'label': 'neutral', 'score': 0.11502813547849655}, {'label': 'fear', 'score': 0.1030159518122673}]]
[[{'label': 'approval', 'score': 0.7603564858436584}, {'label': 'neutral', 'score': 0.11946285516023636}, {'label': 'disapproval', 'score': 0.047039296478033066}]]
[[{'label': 'approval', 'score': 0.8023896217346191}, {'label': 'neutral', 'score': 0.09250780940055847}, {'label': 'disapproval', 'score': 0.0670701116323471}]]
[[{'label': 'approval', 'score': 0.8256337642669678}, {'label': 'neutral', 'score': 0.07058336585760117}, {'label': 'disapproval', 'score': 0.07034465670585632}]]
[[{'label': 'approval', 'score': 0.9326958060264587}, {'label': 'disapproval', 'score': 0.034113023430109024}, {'label': 'neutral', 'score': 0.02234368771314621}]]
[[{'label': 'approval', 'score': 0.8836844563484192}, {'label': 'neutral', 'score': 0.0746523067355156}, {'label': 'disapproval', 'score': 0.020491192117333412}]]
[[{'label': 'approval', 'score': 0.6234143376350403}, {'label': 'neutral', 'score': 0.23053774237632751}, {'label': 'disapproval', 'score': 0.08855822682380676}]]
[[{'label': 'approval', 'score': 0.6566398739814758}, {'label': 'disapproval', 'score': 0.15379799902439117}, {'label': 'neutral', 'score': 0.12853747606277466}]]
[[{'label': 'approval', 'score': 0.5308577418327332}, {'label': 'neutral', 'score': 0.23321479558944702}, {'label': 'disapproval', 'score': 0.16809599101543427}]]
[[{'label': 'approval', 'score': 0.6806579828262329}, {'label': 'disapproval', 'score': 0.1943202167749405}, {'label': 'neutral', 'score': 0.07520096004009247}]]
[[{'label': 'approval', 'score': 0.5582118034362793}, {'label': 'disapproval', 'score': 0.2403925061225891}, {'label': 'neutral', 'score': 0.15805421769618988}]]
[[{'label': 'approval', 'score': 0.6216066479682922}, {'label': 'disapproval', 'score': 0.20881091058254242}, {'label': 'neutral', 'score': 0.11231173574924469}]]
[[{'label': 'approval', 'score': 0.665022075176239}, {'label': 'disapproval', 'score': 0.2144518941640854}, {'label': 'neutral', 'score': 0.06692025065422058}]]
[[{'label': 'approval', 'score': 0.7768364548683167}, {'label': 'disapproval', 'score': 0.15136989951133728}, {'label': 'neutral', 'score': 0.04018986225128174}]]
[[{'label': 'approval', 'score': 0.8995746970176697}, {'label': 'disapproval', 'score': 0.04945787787437439}, {'label': 'neutral', 'score': 0.021841203793883324}]]
[[{'label': 'approval', 'score': 0.8928717970848083}, {'label': 'neutral', 'score': 0.03270580247044563}, {'label': 'disapproval', 'score': 0.02496160753071308}]]
[[{'label': 'approval', 'score': 0.7998018264770508}, {'label': 'neutral', 'score': 0.11205186694860458}, {'label': 'desire', 'score': 0.024929160252213478}]]
