[{'label': 'neutral', 'score': 0.875518798828125}, {'label': 'gratitude', 'score': 0.08768142759799957}, {'label': 'optimism', 'score': 0.010589150711894035}, {'label': 'annoyance', 'score': 0.008997276425361633}, {'label': 'disappointment', 'score': 0.0037941443733870983}]
[{'label': 'neutral', 'score': 0.9134819507598877}, {'label': 'disapproval', 'score': 0.018787872046232224}, {'label': 'realization', 'score': 0.013645528815686703}, {'label': 'approval', 'score': 0.010362226516008377}, {'label': 'sadness', 'score': 0.00957941822707653}]
[{'label': 'neutral', 'score': 0.8078106045722961}, {'label': 'realization', 'score': 0.09349864721298218}, {'label': 'disapproval', 'score': 0.03186585009098053}, {'label': 'disappointment', 'score': 0.017080724239349365}, {'label': 'sadness', 'score': 0.014629721641540527}]
[{'label': 'neutral', 'score': 0.8575584292411804}, {'label': 'disapproval', 'score': 0.03974214568734169}, {'label': 'realization', 'score': 0.032913923263549805}, {'label': 'amusement', 'score': 0.015471480786800385}, {'label': 'joy', 'score': 0.012698359787464142}]
[{'label': 'neutral', 'score': 0.869954526424408}, {'label': 'amusement', 'score': 0.034252241253852844}, {'label': 'realization', 'score': 0.03178466111421585}, {'label': 'disapproval', 'score': 0.027562875300645828}, {'label': 'joy', 'score': 0.009867765940725803}]
[{'label': 'neutral', 'score': 0.8889433145523071}, {'label': 'realization', 'score': 0.02917552925646305}, {'label': 'disapproval', 'score': 0.026558702811598778}, {'label': 'amusement', 'score': 0.018874550238251686}, {'label': 'disappointment', 'score': 0.00875187385827303}]
[{'label': 'neutral', 'score': 0.9071264266967773}, {'label': 'realization', 'score': 0.0218679066747427}, {'label': 'disapproval', 'score': 0.018086537718772888}, {'label': 'disappointment', 'score': 0.013583039864897728}, {'label': 'amusement', 'score': 0.009703011251986027}]
[{'label': 'neutral', 'score': 0.9127264022827148}, {'label': 'realization', 'score': 0.022666526958346367}, {'label': 'disappointment', 'score': 0.016485702246427536}, {'label': 'disapproval', 'score': 0.015122937969863415}, {'label': 'sadness', 'score': 0.010713131166994572}]
[{'label': 'neutral', 'score': 0.8518475294113159}, {'label': 'realization', 'score': 0.051513671875}, {'label': 'disapproval', 'score': 0.030033668503165245}, {'label': 'disappointment', 'score': 0.028890661895275116}, {'label': 'sadness', 'score': 0.01367443148046732}]
[{'label': 'neutral', 'score': 0.8050594329833984}, {'label': 'realization', 'score': 0.07318879663944244}, {'label': 'disapproval', 'score': 0.041615478694438934}, {'label': 'disappointment', 'score': 0.035585228353738785}, {'label': 'sadness', 'score': 0.011634654365479946}]
[{'label': 'neutral', 'score': 0.8604869246482849}, {'label': 'disapproval', 'score': 0.04013080894947052}, {'label': 'realization', 'score': 0.038920700550079346}, {'label': 'disappointment', 'score': 0.022333024069666862}, {'label': 'sadness', 'score': 0.00926352757960558}]
[{'label': 'neutral', 'score': 0.9006996750831604}, {'label': 'disapproval', 'score': 0.029319828376173973}, {'label': 'realization', 'score': 0.016196729615330696}, {'label': 'disappointment', 'score': 0.015237775631248951}, {'label': 'sadness', 'score': 0.012683863751590252}]
[{'label': 'neutral', 'score': 0.9148393273353577}, {'label': 'disapproval', 'score': 0.021498413756489754}, {'label': 'realization', 'score': 0.013284816406667233}, {'label': 'amusement', 'score': 0.012827524915337563}, {'label': 'sadness', 'score': 0.010842777788639069}]
[{'label': 'neutral', 'score': 0.9019572138786316}, {'label': 'sadness', 'score': 0.01681254245340824}, {'label': 'disapproval', 'score': 0.016534198075532913}, {'label': 'realization', 'score': 0.013963052071630955}, {'label': 'amusement', 'score': 0.013913393020629883}]
[{'label': 'neutral', 'score': 0.8974186182022095}, {'label': 'sadness', 'score': 0.01937568001449108}, {'label': 'realization', 'score': 0.018706653267145157}, {'label': 'disappointment', 'score': 0.01658306084573269}, {'label': 'disapproval', 'score': 0.013661147095263004}]
[{'label': 'neutral', 'score': 0.8976118564605713}, {'label': 'sadness', 'score': 0.019845472648739815}, {'label': 'realization', 'score': 0.01891089230775833}, {'label': 'disappointment', 'score': 0.016156040132045746}, {'label': 'disapproval', 'score': 0.013047575019299984}]
[{'label': 'neutral', 'score': 0.8027896881103516}, {'label': 'disappointment', 'score': 0.05664332956075668}, {'label': 'realization', 'score': 0.043274763971567154}, {'label': 'sadness', 'score': 0.03740339353680611}, {'label': 'disapproval', 'score': 0.02694893442094326}]
[{'label': 'neutral', 'score': 0.7569853663444519}, {'label': 'realization', 'score': 0.072320856153965}, {'label': 'disapproval', 'score': 0.04880441725254059}, {'label': 'disappointment', 'score': 0.04615502804517746}, {'label': 'sadness', 'score': 0.028743484988808632}]
[{'label': 'neutral', 'score': 0.8730377554893494}, {'label': 'amusement', 'score': 0.032971180975437164}, {'label': 'joy', 'score': 0.0207085981965065}, {'label': 'disapproval', 'score': 0.015991995111107826}, {'label': 'sadness', 'score': 0.015307259745895863}]
[{'label': 'neutral', 'score': 0.898701012134552}, {'label': 'amusement', 'score': 0.029206538572907448}, {'label': 'joy', 'score': 0.023790515959262848}, {'label': 'sadness', 'score': 0.00893376860767603}, {'label': 'disappointment', 'score': 0.008732329122722149}]
[{'label': 'neutral', 'score': 0.9012146592140198}, {'label': 'amusement', 'score': 0.027677888050675392}, {'label': 'joy', 'score': 0.02490750141441822}, {'label': 'sadness', 'score': 0.009065957739949226}, {'label': 'disappointment', 'score': 0.008129908703267574}]
[{'label': 'neutral', 'score': 0.9013921618461609}, {'label': 'sadness', 'score': 0.021003663539886475}, {'label': 'amusement', 'score': 0.014967065304517746}, {'label': 'disappointment', 'score': 0.014242366887629032}, {'label': 'disapproval', 'score': 0.011028357781469822}]
[{'label': 'neutral', 'score': 0.8702110052108765}, {'label': 'disappointment', 'score': 0.0283820778131485}, {'label': 'sadness', 'score': 0.026735084131360054}, {'label': 'disapproval', 'score': 0.017967110499739647}, {'label': 'realization', 'score': 0.0146655747666955}]
[{'label': 'neutral', 'score': 0.8317944407463074}, {'label': 'disappointment', 'score': 0.03873063996434212}, {'label': 'sadness', 'score': 0.03643228858709335}, {'label': 'realization', 'score': 0.029041137546300888}, {'label': 'disapproval', 'score': 0.01894971914589405}]
[{'label': 'neutral', 'score': 0.8227516412734985}, {'label': 'realization', 'score': 0.04431978985667229}, {'label': 'disappointment', 'score': 0.03588486835360527}, {'label': 'sadness', 'score': 0.03426804766058922}, {'label': 'disapproval', 'score': 0.020340031012892723}]
[{'label': 'neutral', 'score': 0.8214481472969055}, {'label': 'realization', 'score': 0.04397053271532059}, {'label': 'sadness', 'score': 0.03613126650452614}, {'label': 'disappointment', 'score': 0.03585464879870415}, {'label': 'disapproval', 'score': 0.02012459747493267}]
[{'label': 'neutral', 'score': 0.8138347268104553}, {'label': 'joy', 'score': 0.05339489504694939}, {'label': 'disapproval', 'score': 0.03787385672330856}, {'label': 'realization', 'score': 0.027868924662470818}, {'label': 'disappointment', 'score': 0.021667875349521637}]
[{'label': 'neutral', 'score': 0.6978052854537964}, {'label': 'joy', 'score': 0.14971695840358734}, {'label': 'disapproval', 'score': 0.037929732352495193}, {'label': 'realization', 'score': 0.025749877095222473}, {'label': 'disappointment', 'score': 0.02174079231917858}]
[{'label': 'neutral', 'score': 0.6999582648277283}, {'label': 'joy', 'score': 0.1442788988351822}, {'label': 'disapproval', 'score': 0.035294923931360245}, {'label': 'realization', 'score': 0.028463633731007576}, {'label': 'disappointment', 'score': 0.02307909168303013}]
[{'label': 'neutral', 'score': 0.8011340498924255}, {'label': 'joy', 'score': 0.05609620362520218}, {'label': 'disappointment', 'score': 0.04155503213405609}, {'label': 'disapproval', 'score': 0.024319928139448166}, {'label': 'sadness', 'score': 0.022825682535767555}]
[{'label': 'neutral', 'score': 0.7571067214012146}, {'label': 'disappointment', 'score': 0.08114445954561234}, {'label': 'joy', 'score': 0.04242831468582153}, {'label': 'sadness', 'score': 0.041403546929359436}, {'label': 'disapproval', 'score': 0.0184432715177536}]
[{'label': 'neutral', 'score': 0.588284432888031}, {'label': 'disappointment', 'score': 0.193677619099617}, {'label': 'sadness', 'score': 0.06391556560993195}, {'label': 'disapproval', 'score': 0.0416625551879406}, {'label': 'realization', 'score': 0.028474435210227966}]
[{'label': 'neutral', 'score': 0.5949665307998657}, {'label': 'disappointment', 'score': 0.15996597707271576}, {'label': 'sadness', 'score': 0.050962720066308975}, {'label': 'realization', 'score': 0.05012364313006401}, {'label': 'surprise', 'score': 0.037954751402139664}]
[{'label': 'neutral', 'score': 0.7350841164588928}, {'label': 'realization', 'score': 0.07201066613197327}, {'label': 'disappointment', 'score': 0.06638070195913315}, {'label': 'disapproval', 'score': 0.03340896964073181}, {'label': 'amusement', 'score': 0.025454547256231308}]
[{'label': 'neutral', 'score': 0.8474318385124207}, {'label': 'realization', 'score': 0.05037875100970268}, {'label': 'amusement', 'score': 0.022107549011707306}, {'label': 'disapproval', 'score': 0.02147306129336357}, {'label': 'disappointment', 'score': 0.021053997799754143}]
[{'label': 'neutral', 'score': 0.8568087220191956}, {'label': 'realization', 'score': 0.05902891978621483}, {'label': 'disapproval', 'score': 0.020234443247318268}, {'label': 'disappointment', 'score': 0.016418956220149994}, {'label': 'amusement', 'score': 0.015336650423705578}]
[{'label': 'neutral', 'score': 0.8535190224647522}, {'label': 'realization', 'score': 0.04648955538868904}, {'label': 'disapproval', 'score': 0.026862869039177895}, {'label': 'amusement', 'score': 0.02492596209049225}, {'label': 'disappointment', 'score': 0.012927500531077385}]
[{'label': 'neutral', 'score': 0.7004728317260742}, {'label': 'realization', 'score': 0.07286973297595978}, {'label': 'disapproval', 'score': 0.05552598461508751}, {'label': 'amusement', 'score': 0.04709215834736824}, {'label': 'disappointment', 'score': 0.03913075476884842}]
[{'label': 'neutral', 'score': 0.6080739498138428}, {'label': 'amusement', 'score': 0.1321108043193817}, {'label': 'realization', 'score': 0.06122446432709694}, {'label': 'disapproval', 'score': 0.05444524437189102}, {'label': 'sadness', 'score': 0.047576747834682465}]
[{'label': 'neutral', 'score': 0.47060301899909973}, {'label': 'amusement', 'score': 0.21181179583072662}, {'label': 'realization', 'score': 0.11185601353645325}, {'label': 'disapproval', 'score': 0.0710885226726532}, {'label': 'joy', 'score': 0.04035993665456772}]
[{'label': 'neutral', 'score': 0.7218862175941467}, {'label': 'amusement', 'score': 0.1359657645225525}, {'label': 'joy', 'score': 0.026532962918281555}, {'label': 'disapproval', 'score': 0.02542920596897602}, {'label': 'realization', 'score': 0.024406280368566513}]
[{'label': 'neutral', 'score': 0.8885436058044434}, {'label': 'amusement', 'score': 0.029999056831002235}, {'label': 'disapproval', 'score': 0.02184429205954075}, {'label': 'realization', 'score': 0.021611152216792107}, {'label': 'sadness', 'score': 0.009002486243844032}]
[{'label': 'neutral', 'score': 0.8630988597869873}, {'label': 'amusement', 'score': 0.04334317520260811}, {'label': 'disapproval', 'score': 0.02553574927151203}, {'label': 'realization', 'score': 0.021020255982875824}, {'label': 'sadness', 'score': 0.01043031271547079}]
[{'label': 'neutral', 'score': 0.8461471199989319}, {'label': 'realization', 'score': 0.02919459342956543}, {'label': 'fear', 'score': 0.027744589373469353}, {'label': 'disapproval', 'score': 0.02435098960995674}, {'label': 'amusement', 'score': 0.024198297411203384}]
[{'label': 'neutral', 'score': 0.839073896408081}, {'label': 'realization', 'score': 0.032435692846775055}, {'label': 'fear', 'score': 0.027067197486758232}, {'label': 'disapproval', 'score': 0.025758255273103714}, {'label': 'amusement', 'score': 0.025349806994199753}]
[{'label': 'neutral', 'score': 0.7528626322746277}, {'label': 'realization', 'score': 0.052707236260175705}, {'label': 'fear', 'score': 0.04342788830399513}, {'label': 'amusement', 'score': 0.035626452416181564}, {'label': 'disapproval', 'score': 0.030351731926202774}]
[{'label': 'neutral', 'score': 0.7049968242645264}, {'label': 'realization', 'score': 0.08464447408914566}, {'label': 'amusement', 'score': 0.04201645404100418}, {'label': 'disapproval', 'score': 0.034601837396621704}, {'label': 'surprise', 'score': 0.027168292552232742}]
[{'label': 'neutral', 'score': 0.7659947872161865}, {'label': 'realization', 'score': 0.08361712843179703}, {'label': 'disapproval', 'score': 0.03011031448841095}, {'label': 'disappointment', 'score': 0.024237528443336487}, {'label': 'fear', 'score': 0.021359097212553024}]
[{'label': 'neutral', 'score': 0.7101923227310181}, {'label': 'realization', 'score': 0.09920579195022583}, {'label': 'disapproval', 'score': 0.04555768519639969}, {'label': 'amusement', 'score': 0.04411102831363678}, {'label': 'disappointment', 'score': 0.019964298233389854}]
[{'label': 'neutral', 'score': 0.8387015461921692}, {'label': 'realization', 'score': 0.03907652944326401}, {'label': 'disapproval', 'score': 0.0366278812289238}, {'label': 'disappointment', 'score': 0.021495791152119637}, {'label': 'approval', 'score': 0.017528600990772247}]
[{'label': 'neutral', 'score': 0.9059556126594543}, {'label': 'disapproval', 'score': 0.030305834487080574}, {'label': 'disappointment', 'score': 0.016468768939375877}, {'label': 'realization', 'score': 0.011673307046294212}, {'label': 'fear', 'score': 0.007211959920823574}]
[{'label': 'neutral', 'score': 0.9185298681259155}, {'label': 'disapproval', 'score': 0.022325094789266586}, {'label': 'fear', 'score': 0.013061701320111752}, {'label': 'disappointment', 'score': 0.011408678255975246}, {'label': 'realization', 'score': 0.00856347568333149}]
[{'label': 'neutral', 'score': 0.8907430171966553}, {'label': 'disapproval', 'score': 0.030894769355654716}, {'label': 'fear', 'score': 0.018713977187871933}, {'label': 'disappointment', 'score': 0.016824185848236084}, {'label': 'realization', 'score': 0.013352125883102417}]
[{'label': 'neutral', 'score': 0.9055858254432678}, {'label': 'disapproval', 'score': 0.02577214315533638}, {'label': 'realization', 'score': 0.013241207227110863}, {'label': 'fear', 'score': 0.012570871040225029}, {'label': 'disappointment', 'score': 0.012168469838798046}]
[{'label': 'neutral', 'score': 0.8966459631919861}, {'label': 'disapproval', 'score': 0.019628480076789856}, {'label': 'fear', 'score': 0.018496183678507805}, {'label': 'realization', 'score': 0.017601797357201576}, {'label': 'amusement', 'score': 0.010462159290909767}]
[{'label': 'neutral', 'score': 0.9008628726005554}, {'label': 'fear', 'score': 0.018174950033426285}, {'label': 'disapproval', 'score': 0.01807808317244053}, {'label': 'realization', 'score': 0.01570846512913704}, {'label': 'amusement', 'score': 0.010830863378942013}]
[{'label': 'neutral', 'score': 0.8989436030387878}, {'label': 'disapproval', 'score': 0.02524000220000744}, {'label': 'realization', 'score': 0.023823682218790054}, {'label': 'disappointment', 'score': 0.013585459440946579}, {'label': 'fear', 'score': 0.01263212040066719}]
[{'label': 'neutral', 'score': 0.8871026039123535}, {'label': 'realization', 'score': 0.03150669112801552}, {'label': 'disapproval', 'score': 0.02649480290710926}, {'label': 'disappointment', 'score': 0.01363728940486908}, {'label': 'fear', 'score': 0.009669050574302673}]
[{'label': 'neutral', 'score': 0.8985776901245117}, {'label': 'realization', 'score': 0.02717902511358261}, {'label': 'disapproval', 'score': 0.020645132288336754}, {'label': 'disappointment', 'score': 0.01492863055318594}, {'label': 'fear', 'score': 0.01026846095919609}]
[{'label': 'neutral', 'score': 0.8668015599250793}, {'label': 'realization', 'score': 0.02820112556219101}, {'label': 'amusement', 'score': 0.019901886582374573}, {'label': 'disapproval', 'score': 0.016919489949941635}, {'label': 'disappointment', 'score': 0.014664380811154842}]
[{'label': 'neutral', 'score': 0.832798421382904}, {'label': 'fear', 'score': 0.02895086444914341}, {'label': 'realization', 'score': 0.02810678817331791}, {'label': 'amusement', 'score': 0.02255595475435257}, {'label': 'disappointment', 'score': 0.01783806085586548}]
[{'label': 'neutral', 'score': 0.806259274482727}, {'label': 'fear', 'score': 0.06066671758890152}, {'label': 'realization', 'score': 0.024573717266321182}, {'label': 'amusement', 'score': 0.019964728504419327}, {'label': 'disappointment', 'score': 0.018224092200398445}]
[{'label': 'neutral', 'score': 0.7583070993423462}, {'label': 'fear', 'score': 0.12470100075006485}, {'label': 'sadness', 'score': 0.025304218754172325}, {'label': 'amusement', 'score': 0.02001531422138214}, {'label': 'disappointment', 'score': 0.017256075516343117}]
[{'label': 'neutral', 'score': 0.6592302918434143}, {'label': 'fear', 'score': 0.23159055411815643}, {'label': 'sadness', 'score': 0.028901152312755585}, {'label': 'disappointment', 'score': 0.02145099826157093}, {'label': 'amusement', 'score': 0.011734405532479286}]
[{'label': 'neutral', 'score': 0.643081545829773}, {'label': 'fear', 'score': 0.27507877349853516}, {'label': 'disappointment', 'score': 0.01565169170498848}, {'label': 'sadness', 'score': 0.015054061077535152}, {'label': 'annoyance', 'score': 0.008585675619542599}]
[{'label': 'neutral', 'score': 0.826492428779602}, {'label': 'fear', 'score': 0.11055155843496323}, {'label': 'disappointment', 'score': 0.009652129374444485}, {'label': 'disapproval', 'score': 0.009515227749943733}, {'label': 'sadness', 'score': 0.009499732404947281}]
[{'label': 'neutral', 'score': 0.9085252285003662}, {'label': 'fear', 'score': 0.031062856316566467}, {'label': 'disapproval', 'score': 0.01258779875934124}, {'label': 'realization', 'score': 0.010367799550294876}, {'label': 'disappointment', 'score': 0.00896543264389038}]
[{'label': 'neutral', 'score': 0.9058485627174377}, {'label': 'fear', 'score': 0.03677625581622124}, {'label': 'disapproval', 'score': 0.011868959292769432}, {'label': 'disappointment', 'score': 0.008714576251804829}, {'label': 'realization', 'score': 0.008564108982682228}]
[{'label': 'neutral', 'score': 0.8751797080039978}, {'label': 'realization', 'score': 0.0302910003811121}, {'label': 'fear', 'score': 0.025192981585860252}, {'label': 'disapproval', 'score': 0.014934176579117775}, {'label': 'disappointment', 'score': 0.012855293229222298}]
[{'label': 'neutral', 'score': 0.880085289478302}, {'label': 'fear', 'score': 0.02680971845984459}, {'label': 'realization', 'score': 0.025721106678247452}, {'label': 'disapproval', 'score': 0.014642427675426006}, {'label': 'disappointment', 'score': 0.0122131472453475}]
[{'label': 'neutral', 'score': 0.865838885307312}, {'label': 'amusement', 'score': 0.031140699982643127}, {'label': 'realization', 'score': 0.023715654388070107}, {'label': 'disapproval', 'score': 0.014960511587560177}, {'label': 'sadness', 'score': 0.01448495127260685}]
[{'label': 'neutral', 'score': 0.8670576810836792}, {'label': 'amusement', 'score': 0.04202711954712868}, {'label': 'sadness', 'score': 0.0160643570125103}, {'label': 'realization', 'score': 0.015084550715982914}, {'label': 'disapproval', 'score': 0.012394054792821407}]
