[{'label': 'sadness', 'score': 0.7678876519203186}, {'label': 'fear', 'score': 0.15435345470905304}, {'label': 'disappointment', 'score': 0.0493399053812027}, {'label': 'grief', 'score': 0.00836222991347313}, {'label': 'remorse', 'score': 0.007599496748298407}]
[{'label': 'sadness', 'score': 0.6085571646690369}, {'label': 'fear', 'score': 0.30014124512672424}, {'label': 'disappointment', 'score': 0.04895131662487984}, {'label': 'grief', 'score': 0.020205100998282433}, {'label': 'remorse', 'score': 0.007774590980261564}]
[{'label': 'sadness', 'score': 0.6722281575202942}, {'label': 'fear', 'score': 0.23622430860996246}, {'label': 'disappointment', 'score': 0.04264816269278526}, {'label': 'grief', 'score': 0.02661365270614624}, {'label': 'remorse', 'score': 0.008752674795687199}]
[{'label': 'fear', 'score': 0.46759554743766785}, {'label': 'sadness', 'score': 0.46530282497406006}, {'label': 'disappointment', 'score': 0.030719785019755363}, {'label': 'grief', 'score': 0.019406765699386597}, {'label': 'remorse', 'score': 0.004168424755334854}]
[{'label': 'fear', 'score': 0.5122195482254028}, {'label': 'sadness', 'score': 0.42542824149131775}, {'label': 'disappointment', 'score': 0.02536752074956894}, {'label': 'grief', 'score': 0.01872703805565834}, {'label': 'remorse', 'score': 0.004121844656765461}]
[{'label': 'fear', 'score': 0.7057877779006958}, {'label': 'sadness', 'score': 0.257906049489975}, {'label': 'disappointment', 'score': 0.015700718387961388}, {'label': 'grief', 'score': 0.007186039816588163}, {'label': 'nervousness', 'score': 0.0032299018930643797}]
[{'label': 'fear', 'score': 0.8344635963439941}, {'label': 'sadness', 'score': 0.13001112639904022}, {'label': 'disappointment', 'score': 0.015976428985595703}, {'label': 'grief', 'score': 0.004268315155059099}, {'label': 'nervousness', 'score': 0.004198784474283457}]
[{'label': 'fear', 'score': 0.9187570214271545}, {'label': 'sadness', 'score': 0.05506341904401779}, {'label': 'disappointment', 'score': 0.01283317618072033}, {'label': 'nervousness', 'score': 0.003985413815826178}, {'label': 'grief', 'score': 0.0021352472249418497}]
[{'label': 'fear', 'score': 0.9184674024581909}, {'label': 'sadness', 'score': 0.05581778660416603}, {'label': 'disappointment', 'score': 0.012297814711928368}, {'label': 'nervousness', 'score': 0.0039990623481571674}, {'label': 'grief', 'score': 0.002240431495010853}]
[{'label': 'fear', 'score': 0.9108436703681946}, {'label': 'sadness', 'score': 0.06587415933609009}, {'label': 'disappointment', 'score': 0.01122255902737379}, {'label': 'nervousness', 'score': 0.0035943984985351562}, {'label': 'grief', 'score': 0.0019327866612002254}]
[{'label': 'fear', 'score': 0.8393633961677551}, {'label': 'sadness', 'score': 0.12740163505077362}, {'label': 'disappointment', 'score': 0.014158806763589382}, {'label': 'grief', 'score': 0.0047987992875278}, {'label': 'nervousness', 'score': 0.0032723373733460903}]
[{'label': 'sadness', 'score': 0.47694653272628784}, {'label': 'fear', 'score': 0.441256582736969}, {'label': 'disappointment', 'score': 0.02576974779367447}, {'label': 'grief', 'score': 0.025515567511320114}, {'label': 'remorse', 'score': 0.010104397311806679}]
[{'label': 'sadness', 'score': 0.4917398691177368}, {'label': 'fear', 'score': 0.43621882796287537}, {'label': 'disappointment', 'score': 0.02545492723584175}, {'label': 'grief', 'score': 0.021176699548959732}, {'label': 'remorse', 'score': 0.007419379893690348}]
[{'label': 'fear', 'score': 0.9049089550971985}, {'label': 'sadness', 'score': 0.07008309662342072}, {'label': 'disappointment', 'score': 0.008045240305364132}, {'label': 'grief', 'score': 0.004487264435738325}, {'label': 'nervousness', 'score': 0.0025794398970901966}]
[{'label': 'fear', 'score': 0.9009073972702026}, {'label': 'sadness', 'score': 0.07402242720127106}, {'label': 'disappointment', 'score': 0.007505054585635662}, {'label': 'grief', 'score': 0.004887420684099197}, {'label': 'nervousness', 'score': 0.0027510926593095064}]
[{'label': 'fear', 'score': 0.9919525980949402}, {'label': 'sadness', 'score': 0.0029730889946222305}, {'label': 'nervousness', 'score': 0.000949990819208324}, {'label': 'disappointment', 'score': 0.000824412505608052}, {'label': 'disgust', 'score': 0.0007824948406778276}]
[{'label': 'fear', 'score': 0.9877055287361145}, {'label': 'sadness', 'score': 0.005418552551418543}, {'label': 'disappointment', 'score': 0.0012257747584953904}, {'label': 'nervousness', 'score': 0.0012028573546558619}, {'label': 'disgust', 'score': 0.0008335955208167434}]
[{'label': 'fear', 'score': 0.9803378582000732}, {'label': 'sadness', 'score': 0.010918492451310158}, {'label': 'disappointment', 'score': 0.0020923716947436333}, {'label': 'nervousness', 'score': 0.0016438341699540615}, {'label': 'grief', 'score': 0.0008678202866576612}]
[{'label': 'fear', 'score': 0.9703238606452942}, {'label': 'sadness', 'score': 0.018246864899992943}, {'label': 'disappointment', 'score': 0.003179050050675869}, {'label': 'nervousness', 'score': 0.001857481081970036}, {'label': 'grief', 'score': 0.0014426412526518106}]
[{'label': 'fear', 'score': 0.979144275188446}, {'label': 'sadness', 'score': 0.011865545064210892}, {'label': 'disappointment', 'score': 0.0021239835768938065}, {'label': 'nervousness', 'score': 0.0016672163037583232}, {'label': 'grief', 'score': 0.00103695597499609}]
[{'label': 'fear', 'score': 0.9842085242271423}, {'label': 'sadness', 'score': 0.008085603825747967}, {'label': 'disappointment', 'score': 0.0015677094925194979}, {'label': 'nervousness', 'score': 0.001295871683396399}, {'label': 'disgust', 'score': 0.0009675258188508451}]
[{'label': 'fear', 'score': 0.9877504706382751}, {'label': 'sadness', 'score': 0.005589588545262814}, {'label': 'disappointment', 'score': 0.0012926814379170537}, {'label': 'nervousness', 'score': 0.0011807497357949615}, {'label': 'disgust', 'score': 0.0008915746584534645}]
[{'label': 'fear', 'score': 0.9785875678062439}, {'label': 'sadness', 'score': 0.012578025460243225}, {'label': 'disappointment', 'score': 0.002114280126988888}, {'label': 'nervousness', 'score': 0.0014376294566318393}, {'label': 'disgust', 'score': 0.0009971116669476032}]
[{'label': 'fear', 'score': 0.9149296283721924}, {'label': 'sadness', 'score': 0.06664851307868958}, {'label': 'disappointment', 'score': 0.005410732701420784}, {'label': 'grief', 'score': 0.0031789964996278286}, {'label': 'nervousness', 'score': 0.002244756557047367}]
[{'label': 'fear', 'score': 0.8789951205253601}, {'label': 'sadness', 'score': 0.09150804579257965}, {'label': 'disappointment', 'score': 0.00780257023870945}, {'label': 'grief', 'score': 0.005705518648028374}, {'label': 'anger', 'score': 0.0027376136276870966}]
[{'label': 'fear', 'score': 0.8233707547187805}, {'label': 'sadness', 'score': 0.13661134243011475}, {'label': 'disappointment', 'score': 0.009541542269289494}, {'label': 'grief', 'score': 0.008557695895433426}, {'label': 'remorse', 'score': 0.004221910145133734}]
[{'label': 'fear', 'score': 0.8218176960945129}, {'label': 'sadness', 'score': 0.14319638907909393}, {'label': 'disappointment', 'score': 0.008170848712325096}, {'label': 'grief', 'score': 0.0072904652915894985}, {'label': 'remorse', 'score': 0.0035576745867729187}]
[{'label': 'fear', 'score': 0.5375123620033264}, {'label': 'sadness', 'score': 0.3970792293548584}, {'label': 'disappointment', 'score': 0.016417477279901505}, {'label': 'grief', 'score': 0.014689745381474495}, {'label': 'remorse', 'score': 0.01122298277914524}]
[{'label': 'sadness', 'score': 0.5825797319412231}, {'label': 'fear', 'score': 0.3386146128177643}, {'label': 'disappointment', 'score': 0.02132900059223175}, {'label': 'grief', 'score': 0.018949076533317566}, {'label': 'remorse', 'score': 0.0167279914021492}]
[{'label': 'sadness', 'score': 0.6921718716621399}, {'label': 'fear', 'score': 0.21723191440105438}, {'label': 'grief', 'score': 0.027207646518945694}, {'label': 'remorse', 'score': 0.021344047039747238}, {'label': 'disappointment', 'score': 0.019782401621341705}]
[{'label': 'sadness', 'score': 0.6503188610076904}, {'label': 'fear', 'score': 0.2546798288822174}, {'label': 'grief', 'score': 0.025671204552054405}, {'label': 'remorse', 'score': 0.022827811539173126}, {'label': 'disappointment', 'score': 0.022230161353945732}]
[{'label': 'fear', 'score': 0.6935372948646545}, {'label': 'sadness', 'score': 0.24627619981765747}, {'label': 'disappointment', 'score': 0.016189031302928925}, {'label': 'grief', 'score': 0.014119024388492107}, {'label': 'remorse', 'score': 0.0072870999574661255}]
[{'label': 'fear', 'score': 0.921556293964386}, {'label': 'sadness', 'score': 0.055917900055646896}, {'label': 'disappointment', 'score': 0.006612810306251049}, {'label': 'disgust', 'score': 0.0031343877781182528}, {'label': 'grief', 'score': 0.0029936956707388163}]
[{'label': 'fear', 'score': 0.905333936214447}, {'label': 'sadness', 'score': 0.07399768382310867}, {'label': 'disappointment', 'score': 0.006564602721482515}, {'label': 'grief', 'score': 0.0025283878203481436}, {'label': 'disgust', 'score': 0.002254579681903124}]
[{'label': 'fear', 'score': 0.5096054077148438}, {'label': 'sadness', 'score': 0.43647491931915283}, {'label': 'disappointment', 'score': 0.01701226271688938}, {'label': 'grief', 'score': 0.011296986602246761}, {'label': 'remorse', 'score': 0.006810655351728201}]
[{'label': 'sadness', 'score': 0.5824471116065979}, {'label': 'fear', 'score': 0.34427276253700256}, {'label': 'disappointment', 'score': 0.02293669432401657}, {'label': 'remorse', 'score': 0.01519135944545269}, {'label': 'grief', 'score': 0.014233498834073544}]
[{'label': 'sadness', 'score': 0.7149508595466614}, {'label': 'fear', 'score': 0.1934415102005005}, {'label': 'disappointment', 'score': 0.03510962054133415}, {'label': 'remorse', 'score': 0.02377772144973278}, {'label': 'grief', 'score': 0.013645362108945847}]
[{'label': 'sadness', 'score': 0.7117889523506165}, {'label': 'fear', 'score': 0.18254728615283966}, {'label': 'disappointment', 'score': 0.033364955335855484}, {'label': 'remorse', 'score': 0.031348954886198044}, {'label': 'grief', 'score': 0.017498867586255074}]
[{'label': 'sadness', 'score': 0.579149067401886}, {'label': 'fear', 'score': 0.35159626603126526}, {'label': 'disappointment', 'score': 0.024674883112311363}, {'label': 'remorse', 'score': 0.013803084380924702}, {'label': 'grief', 'score': 0.012565962970256805}]
[{'label': 'fear', 'score': 0.5958972573280334}, {'label': 'sadness', 'score': 0.3551049530506134}, {'label': 'disappointment', 'score': 0.016089949756860733}, {'label': 'grief', 'score': 0.008831012062728405}, {'label': 'remorse', 'score': 0.008152048103511333}]
[{'label': 'fear', 'score': 0.6811414957046509}, {'label': 'sadness', 'score': 0.2759237289428711}, {'label': 'disappointment', 'score': 0.013384531252086163}, {'label': 'grief', 'score': 0.007656920235604048}, {'label': 'remorse', 'score': 0.006689760833978653}]
[{'label': 'fear', 'score': 0.8162084221839905}, {'label': 'sadness', 'score': 0.14360377192497253}, {'label': 'grief', 'score': 0.009805780835449696}, {'label': 'disappointment', 'score': 0.007823954336345196}, {'label': 'remorse', 'score': 0.00506415031850338}]
[{'label': 'fear', 'score': 0.8771909475326538}, {'label': 'sadness', 'score': 0.08432118594646454}, {'label': 'anger', 'score': 0.007001797668635845}, {'label': 'grief', 'score': 0.006853763479739428}, {'label': 'disgust', 'score': 0.006732727866619825}]
[{'label': 'fear', 'score': 0.9311203956604004}, {'label': 'sadness', 'score': 0.0434468649327755}, {'label': 'disgust', 'score': 0.004989187698811293}, {'label': 'anger', 'score': 0.004636480938643217}, {'label': 'disappointment', 'score': 0.003912635147571564}]
[{'label': 'fear', 'score': 0.9367440938949585}, {'label': 'sadness', 'score': 0.044169832020998}, {'label': 'disappointment', 'score': 0.0039268555119633675}, {'label': 'disgust', 'score': 0.003461820539087057}, {'label': 'grief', 'score': 0.0027860021218657494}]
[{'label': 'fear', 'score': 0.5062248110771179}, {'label': 'sadness', 'score': 0.43420347571372986}, {'label': 'grief', 'score': 0.017960740253329277}, {'label': 'disappointment', 'score': 0.010880080983042717}, {'label': 'anger', 'score': 0.007871827110648155}]
[{'label': 'sadness', 'score': 0.7744213342666626}, {'label': 'fear', 'score': 0.16834324598312378}, {'label': 'grief', 'score': 0.02029987797141075}, {'label': 'disappointment', 'score': 0.010665331967175007}, {'label': 'remorse', 'score': 0.006818353198468685}]
[{'label': 'sadness', 'score': 0.6696212291717529}, {'label': 'fear', 'score': 0.25306811928749084}, {'label': 'grief', 'score': 0.02099010720849037}, {'label': 'remorse', 'score': 0.015592795796692371}, {'label': 'disappointment', 'score': 0.01216402743011713}]
[{'label': 'fear', 'score': 0.6329626441001892}, {'label': 'sadness', 'score': 0.31473997235298157}, {'label': 'grief', 'score': 0.012819027528166771}, {'label': 'disappointment', 'score': 0.009140122681856155}, {'label': 'remorse', 'score': 0.008186888881027699}]
[{'label': 'fear', 'score': 0.7109526991844177}, {'label': 'sadness', 'score': 0.24730098247528076}, {'label': 'grief', 'score': 0.011972736567258835}, {'label': 'disappointment', 'score': 0.00834918674081564}, {'label': 'remorse', 'score': 0.004879684187471867}]
[{'label': 'fear', 'score': 0.8782929182052612}, {'label': 'sadness', 'score': 0.10079295933246613}, {'label': 'disappointment', 'score': 0.004940542858093977}, {'label': 'grief', 'score': 0.004402175545692444}, {'label': 'nervousness', 'score': 0.0024964946787804365}]
[{'label': 'fear', 'score': 0.8892667293548584}, {'label': 'sadness', 'score': 0.09042234718799591}, {'label': 'grief', 'score': 0.004511641338467598}, {'label': 'disappointment', 'score': 0.004301297944039106}, {'label': 'nervousness', 'score': 0.0024183925706893206}]
[{'label': 'sadness', 'score': 0.6225526332855225}, {'label': 'fear', 'score': 0.30530765652656555}, {'label': 'grief', 'score': 0.03812378644943237}, {'label': 'disappointment', 'score': 0.008526286110281944}, {'label': 'caring', 'score': 0.005566864740103483}]
[{'label': 'sadness', 'score': 0.6713481545448303}, {'label': 'fear', 'score': 0.26096004247665405}, {'label': 'grief', 'score': 0.03616267442703247}, {'label': 'disappointment', 'score': 0.007726616691797972}, {'label': 'caring', 'score': 0.005926305428147316}]
[{'label': 'sadness', 'score': 0.4770497679710388}, {'label': 'fear', 'score': 0.47429096698760986}, {'label': 'grief', 'score': 0.018999988213181496}, {'label': 'disappointment', 'score': 0.009402523748576641}, {'label': 'caring', 'score': 0.0037502150516957045}]
[{'label': 'sadness', 'score': 0.8184854984283447}, {'label': 'fear', 'score': 0.1401551514863968}, {'label': 'grief', 'score': 0.017146673053503036}, {'label': 'disappointment', 'score': 0.00836285948753357}, {'label': 'caring', 'score': 0.0038746357895433903}]
[{'label': 'sadness', 'score': 0.8660751581192017}, {'label': 'fear', 'score': 0.09225525707006454}, {'label': 'grief', 'score': 0.01836531236767769}, {'label': 'disappointment', 'score': 0.00719509506598115}, {'label': 'caring', 'score': 0.004654386546462774}]
[{'label': 'sadness', 'score': 0.7493923306465149}, {'label': 'fear', 'score': 0.20979879796504974}, {'label': 'grief', 'score': 0.01257320586591959}, {'label': 'disappointment', 'score': 0.010640332475304604}, {'label': 'caring', 'score': 0.004235508386045694}]
[{'label': 'sadness', 'score': 0.8653693199157715}, {'label': 'fear', 'score': 0.09558647871017456}, {'label': 'grief', 'score': 0.012649758718907833}, {'label': 'disappointment', 'score': 0.01221187599003315}, {'label': 'remorse', 'score': 0.004286692012101412}]
[{'label': 'sadness', 'score': 0.837966799736023}, {'label': 'fear', 'score': 0.12085879594087601}, {'label': 'grief', 'score': 0.014281263574957848}, {'label': 'disappointment', 'score': 0.011522768996655941}, {'label': 'remorse', 'score': 0.004178822040557861}]
[{'label': 'sadness', 'score': 0.4764844477176666}, {'label': 'fear', 'score': 0.47401636838912964}, {'label': 'grief', 'score': 0.01635041832923889}, {'label': 'disappointment', 'score': 0.01217279676347971}, {'label': 'remorse', 'score': 0.0038947127759456635}]
[{'label': 'fear', 'score': 0.520182192325592}, {'label': 'sadness', 'score': 0.40363162755966187}, {'label': 'grief', 'score': 0.029911329969763756}, {'label': 'disappointment', 'score': 0.011515545658767223}, {'label': 'remorse', 'score': 0.006377626676112413}]
[{'label': 'sadness', 'score': 0.5058794021606445}, {'label': 'fear', 'score': 0.33863234519958496}, {'label': 'grief', 'score': 0.08235517144203186}, {'label': 'remorse', 'score': 0.015974443405866623}, {'label': 'disappointment', 'score': 0.012675028294324875}]
[{'label': 'sadness', 'score': 0.6406687498092651}, {'label': 'fear', 'score': 0.15992648899555206}, {'label': 'grief', 'score': 0.13016490638256073}, {'label': 'remorse', 'score': 0.015422088094055653}, {'label': 'caring', 'score': 0.012404296547174454}]
[{'label': 'sadness', 'score': 0.7667990922927856}, {'label': 'fear', 'score': 0.15141555666923523}, {'label': 'grief', 'score': 0.04699881747364998}, {'label': 'disappointment', 'score': 0.011874319985508919}, {'label': 'remorse', 'score': 0.005559759214520454}]
[{'label': 'sadness', 'score': 0.7423307299613953}, {'label': 'fear', 'score': 0.16802220046520233}, {'label': 'grief', 'score': 0.0514947809278965}, {'label': 'disappointment', 'score': 0.012233332730829716}, {'label': 'remorse', 'score': 0.0063248383812606335}]
[{'label': 'sadness', 'score': 0.5817927122116089}, {'label': 'fear', 'score': 0.385477215051651}, {'label': 'disappointment', 'score': 0.009513755328953266}, {'label': 'grief', 'score': 0.008444895036518574}, {'label': 'nervousness', 'score': 0.004844184964895248}]
[{'label': 'fear', 'score': 0.6054184436798096}, {'label': 'sadness', 'score': 0.36661267280578613}, {'label': 'disappointment', 'score': 0.007117260247468948}, {'label': 'grief', 'score': 0.006622138898819685}, {'label': 'nervousness', 'score': 0.005680826026946306}]
[{'label': 'sadness', 'score': 0.6400712728500366}, {'label': 'fear', 'score': 0.3235224187374115}, {'label': 'grief', 'score': 0.012064245529472828}, {'label': 'disappointment', 'score': 0.008941982872784138}, {'label': 'nervousness', 'score': 0.004372893832623959}]
[{'label': 'sadness', 'score': 0.8154833912849426}, {'label': 'fear', 'score': 0.13938622176647186}, {'label': 'grief', 'score': 0.018945468589663506}, {'label': 'disappointment', 'score': 0.009037250652909279}, {'label': 'caring', 'score': 0.004382306709885597}]
[{'label': 'sadness', 'score': 0.7677634358406067}, {'label': 'fear', 'score': 0.17017574608325958}, {'label': 'grief', 'score': 0.028561707586050034}, {'label': 'disappointment', 'score': 0.008850476704537868}, {'label': 'caring', 'score': 0.008236812427639961}]
[{'label': 'sadness', 'score': 0.6519442796707153}, {'label': 'fear', 'score': 0.29091882705688477}, {'label': 'grief', 'score': 0.023455370217561722}, {'label': 'disappointment', 'score': 0.008651169016957283}, {'label': 'caring', 'score': 0.007578366436064243}]
[{'label': 'sadness', 'score': 0.799658477306366}, {'label': 'fear', 'score': 0.15946967899799347}, {'label': 'grief', 'score': 0.01586471125483513}, {'label': 'disappointment', 'score': 0.008029237389564514}, {'label': 'caring', 'score': 0.004277569707483053}]
[{'label': 'sadness', 'score': 0.8252485990524292}, {'label': 'fear', 'score': 0.13188105821609497}, {'label': 'grief', 'score': 0.018730677664279938}, {'label': 'disappointment', 'score': 0.008080579340457916}, {'label': 'caring', 'score': 0.003679318120703101}]
[{'label': 'sadness', 'score': 0.7389313578605652}, {'label': 'fear', 'score': 0.18650639057159424}, {'label': 'grief', 'score': 0.04173847287893295}, {'label': 'disappointment', 'score': 0.009129087440669537}, {'label': 'caring', 'score': 0.0055421702563762665}]
[{'label': 'fear', 'score': 0.5114868879318237}, {'label': 'sadness', 'score': 0.43833398818969727}, {'label': 'grief', 'score': 0.019878005608916283}, {'label': 'disappointment', 'score': 0.008793093264102936}, {'label': 'nervousness', 'score': 0.005136376246809959}]
[{'label': 'fear', 'score': 0.9071868658065796}, {'label': 'sadness', 'score': 0.07571499049663544}, {'label': 'nervousness', 'score': 0.003557853400707245}, {'label': 'grief', 'score': 0.0035385824739933014}, {'label': 'disappointment', 'score': 0.003379708854481578}]
[{'label': 'fear', 'score': 0.963134765625}, {'label': 'sadness', 'score': 0.027713477611541748}, {'label': 'nervousness', 'score': 0.0024703354574739933}, {'label': 'disappointment', 'score': 0.0020549853798002005}, {'label': 'grief', 'score': 0.0011217944556847215}]
[{'label': 'fear', 'score': 0.9802215099334717}, {'label': 'sadness', 'score': 0.013104851357638836}, {'label': 'nervousness', 'score': 0.0019485005177557468}, {'label': 'disappointment', 'score': 0.0014215628616511822}, {'label': 'grief', 'score': 0.000530608871486038}]
[{'label': 'fear', 'score': 0.9727349877357483}, {'label': 'sadness', 'score': 0.01903458498418331}, {'label': 'nervousness', 'score': 0.002146212849766016}, {'label': 'disappointment', 'score': 0.0016622237162664533}, {'label': 'grief', 'score': 0.0007640539552085102}]
[{'label': 'fear', 'score': 0.9413324594497681}, {'label': 'sadness', 'score': 0.0439632423222065}, {'label': 'nervousness', 'score': 0.002871774835512042}, {'label': 'disappointment', 'score': 0.0024989526718854904}, {'label': 'grief', 'score': 0.0024817828088998795}]
[{'label': 'fear', 'score': 0.9328081011772156}, {'label': 'sadness', 'score': 0.051233161240816116}, {'label': 'nervousness', 'score': 0.0029797477182000875}, {'label': 'grief', 'score': 0.0028395019471645355}, {'label': 'disappointment', 'score': 0.0027002005372196436}]
[{'label': 'fear', 'score': 0.8100407719612122}, {'label': 'sadness', 'score': 0.16676470637321472}, {'label': 'disappointment', 'score': 0.00630994513630867}, {'label': 'nervousness', 'score': 0.004604854620993137}, {'label': 'grief', 'score': 0.003932889550924301}]
[{'label': 'fear', 'score': 0.6087142825126648}, {'label': 'sadness', 'score': 0.35333916544914246}, {'label': 'grief', 'score': 0.011434009298682213}, {'label': 'disappointment', 'score': 0.009354518726468086}, {'label': 'nervousness', 'score': 0.004334423691034317}]
[{'label': 'sadness', 'score': 0.5167203545570374}, {'label': 'fear', 'score': 0.39750760793685913}, {'label': 'grief', 'score': 0.0369153767824173}, {'label': 'disappointment', 'score': 0.013279857113957405}, {'label': 'remorse', 'score': 0.0098408879712224}]
[{'label': 'sadness', 'score': 0.720436155796051}, {'label': 'fear', 'score': 0.18389378488063812}, {'label': 'grief', 'score': 0.03868810459971428}, {'label': 'disappointment', 'score': 0.017533205449581146}, {'label': 'remorse', 'score': 0.015759136527776718}]
[{'label': 'sadness', 'score': 0.7940699458122253}, {'label': 'fear', 'score': 0.1475825011730194}, {'label': 'grief', 'score': 0.019171765074133873}, {'label': 'disappointment', 'score': 0.015696939080953598}, {'label': 'remorse', 'score': 0.007921434007585049}]
[{'label': 'sadness', 'score': 0.7935125827789307}, {'label': 'fear', 'score': 0.14696814119815826}, {'label': 'grief', 'score': 0.01950133964419365}, {'label': 'disappointment', 'score': 0.0160076767206192}, {'label': 'remorse', 'score': 0.00784175843000412}]
[{'label': 'fear', 'score': 0.6091040372848511}, {'label': 'sadness', 'score': 0.3558714687824249}, {'label': 'disappointment', 'score': 0.01222848892211914}, {'label': 'grief', 'score': 0.006079035811126232}, {'label': 'anger', 'score': 0.003278296208009124}]
[{'label': 'fear', 'score': 0.6653659343719482}, {'label': 'sadness', 'score': 0.297452449798584}, {'label': 'disappointment', 'score': 0.011267454363405704}, {'label': 'grief', 'score': 0.008599084801971912}, {'label': 'anger', 'score': 0.003286508144810796}]
[{'label': 'fear', 'score': 0.62812739610672}, {'label': 'sadness', 'score': 0.3267233371734619}, {'label': 'grief', 'score': 0.0131814144551754}, {'label': 'disappointment', 'score': 0.010357985273003578}, {'label': 'anger', 'score': 0.003822274738922715}]
[{'label': 'sadness', 'score': 0.6614853739738464}, {'label': 'fear', 'score': 0.28146418929100037}, {'label': 'grief', 'score': 0.020129308104515076}, {'label': 'disappointment', 'score': 0.012290689162909985}, {'label': 'caring', 'score': 0.004511096980422735}]
[{'label': 'sadness', 'score': 0.6490200161933899}, {'label': 'fear', 'score': 0.30053627490997314}, {'label': 'grief', 'score': 0.016205618157982826}, {'label': 'disappointment', 'score': 0.013271965086460114}, {'label': 'remorse', 'score': 0.003446584101766348}]
[{'label': 'fear', 'score': 0.8093388080596924}, {'label': 'sadness', 'score': 0.1665194034576416}, {'label': 'disappointment', 'score': 0.0066147116012871265}, {'label': 'grief', 'score': 0.004928010981529951}, {'label': 'nervousness', 'score': 0.0032131311018019915}]
[{'label': 'fear', 'score': 0.6452962756156921}, {'label': 'sadness', 'score': 0.3029745817184448}, {'label': 'grief', 'score': 0.019050834700465202}, {'label': 'disappointment', 'score': 0.008752081543207169}, {'label': 'remorse', 'score': 0.004495962057262659}]
[{'label': 'sadness', 'score': 0.7738224267959595}, {'label': 'fear', 'score': 0.12496353685855865}, {'label': 'grief', 'score': 0.05060401186347008}, {'label': 'disappointment', 'score': 0.014228862710297108}, {'label': 'remorse', 'score': 0.013182621449232101}]
[{'label': 'sadness', 'score': 0.7882459759712219}, {'label': 'fear', 'score': 0.11455415934324265}, {'label': 'grief', 'score': 0.04906370863318443}, {'label': 'disappointment', 'score': 0.013277392834424973}, {'label': 'remorse', 'score': 0.012140263803303242}]
[{'label': 'sadness', 'score': 0.8532171845436096}, {'label': 'fear', 'score': 0.10635045170783997}, {'label': 'grief', 'score': 0.013564776629209518}, {'label': 'disappointment', 'score': 0.011063911952078342}, {'label': 'love', 'score': 0.003015116322785616}]
[{'label': 'sadness', 'score': 0.8810228705406189}, {'label': 'fear', 'score': 0.07528004795312881}, {'label': 'grief', 'score': 0.017122607678174973}, {'label': 'disappointment', 'score': 0.010534531436860561}, {'label': 'caring', 'score': 0.0033114219550043344}]
