[{'label': 'fear', 'score': 0.914579451084137}, {'label': 'neutral', 'score': 0.03228474035859108}, {'label': 'sadness', 'score': 0.029377207159996033}, {'label': 'nervousness', 'score': 0.012540335766971111}, {'label': 'disappointment', 'score': 0.004342852160334587}]
[{'label': 'neutral', 'score': 0.46430501341819763}, {'label': 'curiosity', 'score': 0.16030855476856232}, {'label': 'fear', 'score': 0.09652607142925262}, {'label': 'confusion', 'score': 0.07172290235757828}, {'label': 'sadness', 'score': 0.0662526935338974}]
[{'label': 'neutral', 'score': 0.7340143322944641}, {'label': 'sadness', 'score': 0.06020163372159004}, {'label': 'fear', 'score': 0.05054294317960739}, {'label': 'curiosity', 'score': 0.04013938456773758}, {'label': 'disappointment', 'score': 0.03047126904129982}]
[{'label': 'neutral', 'score': 0.8073541522026062}, {'label': 'sadness', 'score': 0.05706479400396347}, {'label': 'disappointment', 'score': 0.04547109454870224}, {'label': 'fear', 'score': 0.03607594221830368}, {'label': 'realization', 'score': 0.018563251942396164}]
[{'label': 'neutral', 'score': 0.805051863193512}, {'label': 'sadness', 'score': 0.053747523576021194}, {'label': 'disappointment', 'score': 0.048988260328769684}, {'label': 'fear', 'score': 0.037733178585767746}, {'label': 'realization', 'score': 0.01912534609436989}]
[{'label': 'neutral', 'score': 0.43055498600006104}, {'label': 'fear', 'score': 0.34802907705307007}, {'label': 'sadness', 'score': 0.13714449107646942}, {'label': 'disappointment', 'score': 0.041028790175914764}, {'label': 'nervousness', 'score': 0.007056842558085918}]
[{'label': 'neutral', 'score': 0.4557269513607025}, {'label': 'fear', 'score': 0.3948300778865814}, {'label': 'sadness', 'score': 0.07415375858545303}, {'label': 'disappointment', 'score': 0.026018569245934486}, {'label': 'confusion', 'score': 0.011735954321920872}]
[{'label': 'fear', 'score': 0.43227964639663696}, {'label': 'neutral', 'score': 0.39187371730804443}, {'label': 'sadness', 'score': 0.062134839594364166}, {'label': 'disappointment', 'score': 0.0481104701757431}, {'label': 'confusion', 'score': 0.01632426306605339}]
[{'label': 'fear', 'score': 0.631117045879364}, {'label': 'neutral', 'score': 0.18727006018161774}, {'label': 'confusion', 'score': 0.0744413360953331}, {'label': 'sadness', 'score': 0.026541817933321}, {'label': 'disappointment', 'score': 0.023975100368261337}]
[{'label': 'fear', 'score': 0.8514518737792969}, {'label': 'neutral', 'score': 0.0529821440577507}, {'label': 'confusion', 'score': 0.0504290796816349}, {'label': 'sadness', 'score': 0.009289424866437912}, {'label': 'disappointment', 'score': 0.008282337337732315}]
[{'label': 'fear', 'score': 0.9297391772270203}, {'label': 'neutral', 'score': 0.031052352860569954}, {'label': 'confusion', 'score': 0.014980092644691467}, {'label': 'nervousness', 'score': 0.005134717561304569}, {'label': 'sadness', 'score': 0.004998661577701569}]
[{'label': 'fear', 'score': 0.9217694401741028}, {'label': 'neutral', 'score': 0.040867727249860764}, {'label': 'confusion', 'score': 0.011618413031101227}, {'label': 'nervousness', 'score': 0.006491766311228275}, {'label': 'disappointment', 'score': 0.004426633007824421}]
[{'label': 'fear', 'score': 0.8950551152229309}, {'label': 'neutral', 'score': 0.07273516803979874}, {'label': 'sadness', 'score': 0.008863289840519428}, {'label': 'nervousness', 'score': 0.007412048988044262}, {'label': 'disappointment', 'score': 0.005410976707935333}]
[{'label': 'fear', 'score': 0.5967599749565125}, {'label': 'neutral', 'score': 0.26029619574546814}, {'label': 'sadness', 'score': 0.06479686498641968}, {'label': 'disappointment', 'score': 0.02584041655063629}, {'label': 'nervousness', 'score': 0.014751126989722252}]
[{'label': 'fear', 'score': 0.727623701095581}, {'label': 'neutral', 'score': 0.19481393694877625}, {'label': 'sadness', 'score': 0.01784600503742695}, {'label': 'disappointment', 'score': 0.013948618434369564}, {'label': 'nervousness', 'score': 0.010265132412314415}]
[{'label': 'fear', 'score': 0.8931530714035034}, {'label': 'neutral', 'score': 0.07759448885917664}, {'label': 'nervousness', 'score': 0.005922683514654636}, {'label': 'disappointment', 'score': 0.0050689647905528545}, {'label': 'sadness', 'score': 0.0040329936891794205}]
[{'label': 'fear', 'score': 0.8913227319717407}, {'label': 'neutral', 'score': 0.065802663564682}, {'label': 'nervousness', 'score': 0.008230756036937237}, {'label': 'disappointment', 'score': 0.0059439814649522305}, {'label': 'sadness', 'score': 0.00518976803869009}]
[{'label': 'fear', 'score': 0.8736899495124817}, {'label': 'neutral', 'score': 0.07397167384624481}, {'label': 'nervousness', 'score': 0.012524975463747978}, {'label': 'sadness', 'score': 0.0071919807232916355}, {'label': 'realization', 'score': 0.006505104713141918}]
[{'label': 'fear', 'score': 0.9375184178352356}, {'label': 'neutral', 'score': 0.02388235181570053}, {'label': 'nervousness', 'score': 0.016832061111927032}, {'label': 'confusion', 'score': 0.005709980148822069}, {'label': 'sadness', 'score': 0.003561266465112567}]
[{'label': 'fear', 'score': 0.8555812239646912}, {'label': 'neutral', 'score': 0.06722217053174973}, {'label': 'nervousness', 'score': 0.0263434536755085}, {'label': 'confusion', 'score': 0.01470533199608326}, {'label': 'sadness', 'score': 0.009748617187142372}]
[{'label': 'fear', 'score': 0.7991012930870056}, {'label': 'neutral', 'score': 0.08121509850025177}, {'label': 'nervousness', 'score': 0.04518476873636246}, {'label': 'sadness', 'score': 0.02307555265724659}, {'label': 'realization', 'score': 0.015073088929057121}]
[{'label': 'fear', 'score': 0.7487252354621887}, {'label': 'neutral', 'score': 0.0962313637137413}, {'label': 'nervousness', 'score': 0.04939538985490799}, {'label': 'sadness', 'score': 0.025327419862151146}, {'label': 'realization', 'score': 0.023753060027956963}]
[{'label': 'fear', 'score': 0.5090997219085693}, {'label': 'surprise', 'score': 0.2966965138912201}, {'label': 'neutral', 'score': 0.06466356664896011}, {'label': 'nervousness', 'score': 0.031121302396059036}, {'label': 'sadness', 'score': 0.03030024655163288}]
[{'label': 'surprise', 'score': 0.941889762878418}, {'label': 'neutral', 'score': 0.01596088334918022}, {'label': 'realization', 'score': 0.010398914106190205}, {'label': 'curiosity', 'score': 0.007269307505339384}, {'label': 'disappointment', 'score': 0.006105867214500904}]
[{'label': 'surprise', 'score': 0.8301436901092529}, {'label': 'neutral', 'score': 0.06942448765039444}, {'label': 'curiosity', 'score': 0.0251289214938879}, {'label': 'realization', 'score': 0.02061014622449875}, {'label': 'sadness', 'score': 0.0158274844288826}]
[{'label': 'neutral', 'score': 0.48925283551216125}, {'label': 'surprise', 'score': 0.13547459244728088}, {'label': 'curiosity', 'score': 0.10021046549081802}, {'label': 'realization', 'score': 0.07880943268537521}, {'label': 'sadness', 'score': 0.06946457177400589}]
[{'label': 'neutral', 'score': 0.5683910846710205}, {'label': 'sadness', 'score': 0.11904627829790115}, {'label': 'realization', 'score': 0.06396002322435379}, {'label': 'surprise', 'score': 0.05196242034435272}, {'label': 'curiosity', 'score': 0.051438454538583755}]
[{'label': 'neutral', 'score': 0.410723477602005}, {'label': 'surprise', 'score': 0.2723310887813568}, {'label': 'curiosity', 'score': 0.11403940618038177}, {'label': 'realization', 'score': 0.055009275674819946}, {'label': 'fear', 'score': 0.040588777512311935}]
[{'label': 'neutral', 'score': 0.42179444432258606}, {'label': 'surprise', 'score': 0.23750615119934082}, {'label': 'curiosity', 'score': 0.09569051116704941}, {'label': 'fear', 'score': 0.06487850844860077}, {'label': 'realization', 'score': 0.06235654652118683}]
[{'label': 'surprise', 'score': 0.7906662225723267}, {'label': 'neutral', 'score': 0.09724923968315125}, {'label': 'realization', 'score': 0.04623480513691902}, {'label': 'sadness', 'score': 0.017498347908258438}, {'label': 'disappointment', 'score': 0.0101799126714468}]
[{'label': 'surprise', 'score': 0.7857319712638855}, {'label': 'neutral', 'score': 0.0986357033252716}, {'label': 'realization', 'score': 0.04933493956923485}, {'label': 'sadness', 'score': 0.018492933362722397}, {'label': 'disappointment', 'score': 0.01024505216628313}]
[{'label': 'surprise', 'score': 0.8413197994232178}, {'label': 'realization', 'score': 0.06496120244264603}, {'label': 'neutral', 'score': 0.04771751910448074}, {'label': 'sadness', 'score': 0.012796054594218731}, {'label': 'disappointment', 'score': 0.00908540841192007}]
[{'label': 'realization', 'score': 0.310146689414978}, {'label': 'surprise', 'score': 0.24728700518608093}, {'label': 'neutral', 'score': 0.19475233554840088}, {'label': 'sadness', 'score': 0.15033292770385742}, {'label': 'fear', 'score': 0.023353541269898415}]
[{'label': 'realization', 'score': 0.49883565306663513}, {'label': 'neutral', 'score': 0.23635853826999664}, {'label': 'surprise', 'score': 0.11277763545513153}, {'label': 'sadness', 'score': 0.04974550008773804}, {'label': 'nervousness', 'score': 0.028708813712000847}]
[{'label': 'neutral', 'score': 0.3610905706882477}, {'label': 'surprise', 'score': 0.19442418217658997}, {'label': 'fear', 'score': 0.15046915411949158}, {'label': 'curiosity', 'score': 0.1241779625415802}, {'label': 'realization', 'score': 0.048269856721162796}]
[{'label': 'neutral', 'score': 0.460038959980011}, {'label': 'curiosity', 'score': 0.2911413311958313}, {'label': 'surprise', 'score': 0.06372685730457306}, {'label': 'fear', 'score': 0.058316152542829514}, {'label': 'confusion', 'score': 0.04479770362377167}]
[{'label': 'neutral', 'score': 0.6665332913398743}, {'label': 'curiosity', 'score': 0.1247941181063652}, {'label': 'surprise', 'score': 0.09582322835922241}, {'label': 'realization', 'score': 0.03756127133965492}, {'label': 'confusion', 'score': 0.024337388575077057}]
[{'label': 'neutral', 'score': 0.39349234104156494}, {'label': 'realization', 'score': 0.3023620545864105}, {'label': 'surprise', 'score': 0.16145461797714233}, {'label': 'curiosity', 'score': 0.04264608770608902}, {'label': 'approval', 'score': 0.02637043409049511}]
[{'label': 'realization', 'score': 0.7761247158050537}, {'label': 'surprise', 'score': 0.10985685884952545}, {'label': 'neutral', 'score': 0.06555460393428802}, {'label': 'approval', 'score': 0.014062114991247654}, {'label': 'optimism', 'score': 0.008336598053574562}]
[{'label': 'realization', 'score': 0.7227166891098022}, {'label': 'surprise', 'score': 0.22241738438606262}, {'label': 'neutral', 'score': 0.01974398083984852}, {'label': 'approval', 'score': 0.006534863263368607}, {'label': 'optimism', 'score': 0.005050805862993002}]
[{'label': 'realization', 'score': 0.686319887638092}, {'label': 'surprise', 'score': 0.2603982985019684}, {'label': 'neutral', 'score': 0.01977468840777874}, {'label': 'approval', 'score': 0.00653083436191082}, {'label': 'optimism', 'score': 0.005252490285784006}]
[{'label': 'surprise', 'score': 0.4895021319389343}, {'label': 'realization', 'score': 0.39225897192955017}, {'label': 'neutral', 'score': 0.05785974860191345}, {'label': 'curiosity', 'score': 0.013482270762324333}, {'label': 'confusion', 'score': 0.010767316445708275}]
[{'label': 'surprise', 'score': 0.7469256520271301}, {'label': 'neutral', 'score': 0.11079566925764084}, {'label': 'realization', 'score': 0.07396753132343292}, {'label': 'curiosity', 'score': 0.026435401290655136}, {'label': 'confusion', 'score': 0.009241419844329357}]
[{'label': 'surprise', 'score': 0.7550011873245239}, {'label': 'curiosity', 'score': 0.11686021834611893}, {'label': 'neutral', 'score': 0.07557157427072525}, {'label': 'realization', 'score': 0.014757473953068256}, {'label': 'confusion', 'score': 0.011610266752541065}]
[{'label': 'surprise', 'score': 0.7138555645942688}, {'label': 'curiosity', 'score': 0.13216868042945862}, {'label': 'neutral', 'score': 0.09267599880695343}, {'label': 'realization', 'score': 0.015792524442076683}, {'label': 'confusion', 'score': 0.013641667552292347}]
[{'label': 'surprise', 'score': 0.5015981197357178}, {'label': 'neutral', 'score': 0.30643942952156067}, {'label': 'curiosity', 'score': 0.056438006460666656}, {'label': 'realization', 'score': 0.03876357525587082}, {'label': 'optimism', 'score': 0.023161306977272034}]
[{'label': 'surprise', 'score': 0.7393744587898254}, {'label': 'realization', 'score': 0.19921042025089264}, {'label': 'neutral', 'score': 0.036767441779375076}, {'label': 'optimism', 'score': 0.007038560695946217}, {'label': 'disappointment', 'score': 0.0036774305626749992}]
[{'label': 'surprise', 'score': 0.9053556323051453}, {'label': 'realization', 'score': 0.07667988538742065}, {'label': 'neutral', 'score': 0.005787421949207783}, {'label': 'curiosity', 'score': 0.002507234923541546}, {'label': 'optimism', 'score': 0.001632270053960383}]
[{'label': 'surprise', 'score': 0.8968855142593384}, {'label': 'realization', 'score': 0.051813334226608276}, {'label': 'neutral', 'score': 0.017270009964704514}, {'label': 'curiosity', 'score': 0.017058903351426125}, {'label': 'confusion', 'score': 0.004419041331857443}]
[{'label': 'surprise', 'score': 0.8789896965026855}, {'label': 'realization', 'score': 0.04251139238476753}, {'label': 'curiosity', 'score': 0.030705248937010765}, {'label': 'neutral', 'score': 0.026404622942209244}, {'label': 'confusion', 'score': 0.005662305746227503}]
[{'label': 'surprise', 'score': 0.6430873274803162}, {'label': 'curiosity', 'score': 0.12816454470157623}, {'label': 'neutral', 'score': 0.10191668570041656}, {'label': 'realization', 'score': 0.07510970532894135}, {'label': 'confusion', 'score': 0.019543569535017014}]
[{'label': 'neutral', 'score': 0.6658294200897217}, {'label': 'surprise', 'score': 0.20855563879013062}, {'label': 'curiosity', 'score': 0.04109879583120346}, {'label': 'realization', 'score': 0.036300670355558395}, {'label': 'sadness', 'score': 0.00793875940144062}]
[{'label': 'neutral', 'score': 0.9283046126365662}, {'label': 'realization', 'score': 0.01722090318799019}, {'label': 'sadness', 'score': 0.01399268489331007}, {'label': 'surprise', 'score': 0.011522029526531696}, {'label': 'curiosity', 'score': 0.006546011194586754}]
[{'label': 'neutral', 'score': 0.8592103123664856}, {'label': 'realization', 'score': 0.07948654890060425}, {'label': 'sadness', 'score': 0.012568606995046139}, {'label': 'approval', 'score': 0.009951570071280003}, {'label': 'curiosity', 'score': 0.00823846086859703}]
[{'label': 'neutral', 'score': 0.5285810828208923}, {'label': 'realization', 'score': 0.19590513408184052}, {'label': 'surprise', 'score': 0.14540232717990875}, {'label': 'curiosity', 'score': 0.050188228487968445}, {'label': 'confusion', 'score': 0.01683293841779232}]
[{'label': 'surprise', 'score': 0.6833124160766602}, {'label': 'realization', 'score': 0.2047727406024933}, {'label': 'neutral', 'score': 0.08455907553434372}, {'label': 'disappointment', 'score': 0.004569001495838165}, {'label': 'curiosity', 'score': 0.004296078346669674}]
[{'label': 'neutral', 'score': 0.533038318157196}, {'label': 'curiosity', 'score': 0.21935324370861053}, {'label': 'surprise', 'score': 0.11642772704362869}, {'label': 'realization', 'score': 0.04888471961021423}, {'label': 'confusion', 'score': 0.019809141755104065}]
[{'label': 'curiosity', 'score': 0.6557636857032776}, {'label': 'neutral', 'score': 0.19170713424682617}, {'label': 'surprise', 'score': 0.08387071639299393}, {'label': 'confusion', 'score': 0.028195753693580627}, {'label': 'realization', 'score': 0.01170844305306673}]
[{'label': 'neutral', 'score': 0.5077052712440491}, {'label': 'realization', 'score': 0.26149609684944153}, {'label': 'surprise', 'score': 0.18185542523860931}, {'label': 'curiosity', 'score': 0.01190914586186409}, {'label': 'optimism', 'score': 0.009247027337551117}]
[{'label': 'surprise', 'score': 0.352412611246109}, {'label': 'neutral', 'score': 0.31953170895576477}, {'label': 'curiosity', 'score': 0.13925716280937195}, {'label': 'realization', 'score': 0.10178834199905396}, {'label': 'optimism', 'score': 0.02061108872294426}]
[{'label': 'surprise', 'score': 0.35794129967689514}, {'label': 'neutral', 'score': 0.3489468991756439}, {'label': 'realization', 'score': 0.2150130718946457}, {'label': 'optimism', 'score': 0.02541632018983364}, {'label': 'curiosity', 'score': 0.012651147320866585}]
[{'label': 'neutral', 'score': 0.6378123760223389}, {'label': 'realization', 'score': 0.16068285703659058}, {'label': 'surprise', 'score': 0.1414446085691452}, {'label': 'optimism', 'score': 0.02149277925491333}, {'label': 'disappointment', 'score': 0.009880570694804192}]
[{'label': 'neutral', 'score': 0.6676455140113831}, {'label': 'realization', 'score': 0.17094430327415466}, {'label': 'surprise', 'score': 0.0957566425204277}, {'label': 'optimism', 'score': 0.02184263803064823}, {'label': 'disappointment', 'score': 0.011774021200835705}]
[{'label': 'neutral', 'score': 0.6969311833381653}, {'label': 'realization', 'score': 0.14287754893302917}, {'label': 'surprise', 'score': 0.09579683095216751}, {'label': 'optimism', 'score': 0.020343303680419922}, {'label': 'sadness', 'score': 0.011932048946619034}]
[{'label': 'neutral', 'score': 0.7801305651664734}, {'label': 'surprise', 'score': 0.09342432767152786}, {'label': 'realization', 'score': 0.060186758637428284}, {'label': 'optimism', 'score': 0.02842404507100582}, {'label': 'sadness', 'score': 0.011057119816541672}]
[{'label': 'neutral', 'score': 0.4745508134365082}, {'label': 'surprise', 'score': 0.32521411776542664}, {'label': 'realization', 'score': 0.14250820875167847}, {'label': 'optimism', 'score': 0.01931653544306755}, {'label': 'sadness', 'score': 0.010286569595336914}]
[{'label': 'neutral', 'score': 0.7965519428253174}, {'label': 'realization', 'score': 0.10054413229227066}, {'label': 'surprise', 'score': 0.05547107756137848}, {'label': 'excitement', 'score': 0.013337545096874237}, {'label': 'optimism', 'score': 0.006794017739593983}]
[{'label': 'surprise', 'score': 0.4839714765548706}, {'label': 'neutral', 'score': 0.2631499469280243}, {'label': 'realization', 'score': 0.22244159877300262}, {'label': 'disappointment', 'score': 0.006677678786218166}, {'label': 'optimism', 'score': 0.006625959184020758}]
[{'label': 'surprise', 'score': 0.7762662768363953}, {'label': 'neutral', 'score': 0.12064971029758453}, {'label': 'realization', 'score': 0.08245213329792023}, {'label': 'disappointment', 'score': 0.0050220731645822525}, {'label': 'optimism', 'score': 0.003138952888548374}]
[{'label': 'surprise', 'score': 0.7890821099281311}, {'label': 'neutral', 'score': 0.14263072609901428}, {'label': 'realization', 'score': 0.04048416391015053}, {'label': 'curiosity', 'score': 0.008525601588189602}, {'label': 'optimism', 'score': 0.003534960327669978}]
[{'label': 'surprise', 'score': 0.74394291639328}, {'label': 'neutral', 'score': 0.15180587768554688}, {'label': 'realization', 'score': 0.08332940936088562}, {'label': 'optimism', 'score': 0.004876075312495232}, {'label': 'disappointment', 'score': 0.0031210959423333406}]
[{'label': 'surprise', 'score': 0.7441988587379456}, {'label': 'neutral', 'score': 0.1598876267671585}, {'label': 'realization', 'score': 0.07041952759027481}, {'label': 'optimism', 'score': 0.008974328637123108}, {'label': 'disappointment', 'score': 0.0031418006401509047}]
[{'label': 'surprise', 'score': 0.6711874008178711}, {'label': 'neutral', 'score': 0.19253253936767578}, {'label': 'realization', 'score': 0.10668858885765076}, {'label': 'optimism', 'score': 0.00838108453899622}, {'label': 'disappointment', 'score': 0.00448566721752286}]
[{'label': 'surprise', 'score': 0.3840067684650421}, {'label': 'realization', 'score': 0.2941284477710724}, {'label': 'neutral', 'score': 0.28063124418258667}, {'label': 'optimism', 'score': 0.011264628730714321}, {'label': 'disappointment', 'score': 0.00851141195744276}]
[{'label': 'realization', 'score': 0.34366023540496826}, {'label': 'surprise', 'score': 0.3142840266227722}, {'label': 'neutral', 'score': 0.30524060130119324}, {'label': 'optimism', 'score': 0.01068592257797718}, {'label': 'approval', 'score': 0.006111242342740297}]
[{'label': 'realization', 'score': 0.4145847260951996}, {'label': 'neutral', 'score': 0.32251471281051636}, {'label': 'surprise', 'score': 0.22953598201274872}, {'label': 'approval', 'score': 0.007151279132813215}, {'label': 'optimism', 'score': 0.007014813832938671}]
[{'label': 'neutral', 'score': 0.676626980304718}, {'label': 'realization', 'score': 0.2034836709499359}, {'label': 'surprise', 'score': 0.07864587008953094}, {'label': 'approval', 'score': 0.011186390183866024}, {'label': 'optimism', 'score': 0.009893976151943207}]
[{'label': 'neutral', 'score': 0.827266275882721}, {'label': 'surprise', 'score': 0.0695701614022255}, {'label': 'curiosity', 'score': 0.03583674505352974}, {'label': 'realization', 'score': 0.0259816013276577}, {'label': 'approval', 'score': 0.009796840138733387}]
[{'label': 'neutral', 'score': 0.5152599811553955}, {'label': 'curiosity', 'score': 0.2140466719865799}, {'label': 'surprise', 'score': 0.20803014934062958}, {'label': 'realization', 'score': 0.012538734823465347}, {'label': 'confusion', 'score': 0.012241496704518795}]
[{'label': 'neutral', 'score': 0.48288485407829285}, {'label': 'curiosity', 'score': 0.24783603847026825}, {'label': 'surprise', 'score': 0.2009151577949524}, {'label': 'realization', 'score': 0.01563847064971924}, {'label': 'optimism', 'score': 0.012550280429422855}]
[{'label': 'neutral', 'score': 0.5682589411735535}, {'label': 'curiosity', 'score': 0.1776048094034195}, {'label': 'surprise', 'score': 0.1613330841064453}, {'label': 'realization', 'score': 0.03358625993132591}, {'label': 'confusion', 'score': 0.014267213642597198}]
[{'label': 'neutral', 'score': 0.7419411540031433}, {'label': 'surprise', 'score': 0.10422448068857193}, {'label': 'realization', 'score': 0.06377501785755157}, {'label': 'curiosity', 'score': 0.03653215244412422}, {'label': 'optimism', 'score': 0.015828197821974754}]
[{'label': 'neutral', 'score': 0.8267412781715393}, {'label': 'realization', 'score': 0.09816525876522064}, {'label': 'surprise', 'score': 0.03158017620444298}, {'label': 'optimism', 'score': 0.011286533437669277}, {'label': 'approval', 'score': 0.007935754023492336}]
