[{'label': 'neutral', 'score': 0.846761167049408}, {'label': 'sadness', 'score': 0.09588176757097244}, {'label': 'caring', 'score': 0.014379749074578285}, {'label': 'optimism', 'score': 0.012408928945660591}, {'label': 'remorse', 'score': 0.006447270512580872}]
[{'label': 'neutral', 'score': 0.6456524133682251}, {'label': 'sadness', 'score': 0.2678720951080322}, {'label': 'caring', 'score': 0.033348601311445236}, {'label': 'fear', 'score': 0.011272694915533066}, {'label': 'disappointment', 'score': 0.009347514249384403}]
[{'label': 'neutral', 'score': 0.8141112327575684}, {'label': 'sadness', 'score': 0.054435744881629944}, {'label': 'caring', 'score': 0.047851428389549255}, {'label': 'fear', 'score': 0.04372905567288399}, {'label': 'optimism', 'score': 0.012457095086574554}]
[{'label': 'neutral', 'score': 0.7546362280845642}, {'label': 'sadness', 'score': 0.16509513556957245}, {'label': 'caring', 'score': 0.03368871286511421}, {'label': 'fear', 'score': 0.009820104576647282}, {'label': 'optimism', 'score': 0.008639001287519932}]
[{'label': 'neutral', 'score': 0.7261171340942383}, {'label': 'sadness', 'score': 0.18584679067134857}, {'label': 'caring', 'score': 0.03108958527445793}, {'label': 'fear', 'score': 0.01585385575890541}, {'label': 'optimism', 'score': 0.008523337543010712}]
[{'label': 'neutral', 'score': 0.7835654020309448}, {'label': 'sadness', 'score': 0.1496983915567398}, {'label': 'caring', 'score': 0.022417740896344185}, {'label': 'disappointment', 'score': 0.008210950531065464}, {'label': 'optimism', 'score': 0.0072825998067855835}]
[{'label': 'neutral', 'score': 0.9377788305282593}, {'label': 'sadness', 'score': 0.022686230018734932}, {'label': 'caring', 'score': 0.01394648291170597}, {'label': 'optimism', 'score': 0.005291342735290527}, {'label': 'joy', 'score': 0.004206744488328695}]
[{'label': 'neutral', 'score': 0.9671584367752075}, {'label': 'sadness', 'score': 0.012780999764800072}, {'label': 'caring', 'score': 0.00830512773245573}, {'label': 'optimism', 'score': 0.002176392823457718}, {'label': 'disappointment', 'score': 0.0021431229542940855}]
[{'label': 'neutral', 'score': 0.9776591658592224}, {'label': 'sadness', 'score': 0.009036472998559475}, {'label': 'caring', 'score': 0.004189776722341776}, {'label': 'disappointment', 'score': 0.0016429736278951168}, {'label': 'optimism', 'score': 0.0014562124852091074}]
[{'label': 'neutral', 'score': 0.9726511240005493}, {'label': 'sadness', 'score': 0.012675216421484947}, {'label': 'caring', 'score': 0.003261020639911294}, {'label': 'optimism', 'score': 0.0020010254811495543}, {'label': 'disappointment', 'score': 0.0019334115786477923}]
[{'label': 'neutral', 'score': 0.9488455653190613}, {'label': 'sadness', 'score': 0.030949538573622704}, {'label': 'caring', 'score': 0.005447342526167631}, {'label': 'disappointment', 'score': 0.0029228783678263426}, {'label': 'optimism', 'score': 0.0027230181731283665}]
[{'label': 'neutral', 'score': 0.94210284948349}, {'label': 'sadness', 'score': 0.033490557223558426}, {'label': 'caring', 'score': 0.007548986468464136}, {'label': 'disappointment', 'score': 0.0034778777044266462}, {'label': 'optimism', 'score': 0.0030623439233750105}]
[{'label': 'neutral', 'score': 0.957926869392395}, {'label': 'sadness', 'score': 0.019243203103542328}, {'label': 'caring', 'score': 0.0059832558035850525}, {'label': 'optimism', 'score': 0.003462756983935833}, {'label': 'disappointment', 'score': 0.0028596841730177402}]
[{'label': 'neutral', 'score': 0.9675021171569824}, {'label': 'sadness', 'score': 0.010050265118479729}, {'label': 'caring', 'score': 0.00488530658185482}, {'label': 'optimism', 'score': 0.004348810762166977}, {'label': 'disappointment', 'score': 0.0021005473099648952}]
[{'label': 'neutral', 'score': 0.9717944264411926}, {'label': 'optimism', 'score': 0.006904150824993849}, {'label': 'sadness', 'score': 0.006222556810826063}, {'label': 'caring', 'score': 0.0035337370354682207}, {'label': 'disappointment', 'score': 0.0017363762017339468}]
[{'label': 'neutral', 'score': 0.9815722703933716}, {'label': 'sadness', 'score': 0.005609223153442144}, {'label': 'caring', 'score': 0.0034716802183538675}, {'label': 'optimism', 'score': 0.0019321928266435862}, {'label': 'fear', 'score': 0.00093928660498932}]
[{'label': 'neutral', 'score': 0.9699543118476868}, {'label': 'sadness', 'score': 0.012536384165287018}, {'label': 'caring', 'score': 0.0037889075465500355}, {'label': 'optimism', 'score': 0.002545939991250634}, {'label': 'annoyance', 'score': 0.0016072269063442945}]
[{'label': 'neutral', 'score': 0.9493904709815979}, {'label': 'sadness', 'score': 0.0305040143430233}, {'label': 'caring', 'score': 0.004055838566273451}, {'label': 'optimism', 'score': 0.0035047808196395636}, {'label': 'disappointment', 'score': 0.002683996921405196}]
[{'label': 'neutral', 'score': 0.8824793696403503}, {'label': 'sadness', 'score': 0.05499983951449394}, {'label': 'fear', 'score': 0.020294448360800743}, {'label': 'caring', 'score': 0.014643404632806778}, {'label': 'optimism', 'score': 0.005615786649286747}]
[{'label': 'neutral', 'score': 0.7243665456771851}, {'label': 'fear', 'score': 0.11879825592041016}, {'label': 'sadness', 'score': 0.09716694056987762}, {'label': 'caring', 'score': 0.01834084838628769}, {'label': 'nervousness', 'score': 0.010789128951728344}]
[{'label': 'neutral', 'score': 0.6555072069168091}, {'label': 'fear', 'score': 0.2100076824426651}, {'label': 'sadness', 'score': 0.04487410560250282}, {'label': 'nervousness', 'score': 0.03337058052420616}, {'label': 'caring', 'score': 0.020338725298643112}]
[{'label': 'neutral', 'score': 0.8393921256065369}, {'label': 'fear', 'score': 0.0770772323012352}, {'label': 'sadness', 'score': 0.025623129680752754}, {'label': 'caring', 'score': 0.022464171051979065}, {'label': 'approval', 'score': 0.009902555495500565}]
[{'label': 'neutral', 'score': 0.8849071264266968}, {'label': 'sadness', 'score': 0.0371243879199028}, {'label': 'caring', 'score': 0.033330950886011124}, {'label': 'fear', 'score': 0.017618641257286072}, {'label': 'approval', 'score': 0.008816799148917198}]
[{'label': 'neutral', 'score': 0.9086393117904663}, {'label': 'caring', 'score': 0.03778548538684845}, {'label': 'sadness', 'score': 0.02504044771194458}, {'label': 'approval', 'score': 0.009188421070575714}, {'label': 'fear', 'score': 0.00393049418926239}]
[{'label': 'neutral', 'score': 0.9097692370414734}, {'label': 'caring', 'score': 0.03454115241765976}, {'label': 'sadness', 'score': 0.022104518488049507}, {'label': 'approval', 'score': 0.015192867256700993}, {'label': 'optimism', 'score': 0.00372730428352952}]
[{'label': 'neutral', 'score': 0.9127798080444336}, {'label': 'caring', 'score': 0.03469449654221535}, {'label': 'sadness', 'score': 0.019983308389782906}, {'label': 'approval', 'score': 0.014652193523943424}, {'label': 'optimism', 'score': 0.0038753219414502382}]
[{'label': 'neutral', 'score': 0.8657360076904297}, {'label': 'sadness', 'score': 0.04237353801727295}, {'label': 'caring', 'score': 0.03920470178127289}, {'label': 'fear', 'score': 0.019032111391425133}, {'label': 'approval', 'score': 0.010260284878313541}]
[{'label': 'neutral', 'score': 0.9019650816917419}, {'label': 'sadness', 'score': 0.029221152886748314}, {'label': 'caring', 'score': 0.025416290387511253}, {'label': 'fear', 'score': 0.021344846114516258}, {'label': 'approval', 'score': 0.005152334459125996}]
[{'label': 'neutral', 'score': 0.9335976243019104}, {'label': 'caring', 'score': 0.024451131001114845}, {'label': 'sadness', 'score': 0.018991615623235703}, {'label': 'fear', 'score': 0.008737311698496342}, {'label': 'optimism', 'score': 0.0028057852759957314}]
[{'label': 'neutral', 'score': 0.9416671395301819}, {'label': 'caring', 'score': 0.025821924209594727}, {'label': 'sadness', 'score': 0.016777044162154198}, {'label': 'fear', 'score': 0.003447927301749587}, {'label': 'optimism', 'score': 0.0021163388155400753}]
[{'label': 'neutral', 'score': 0.9294245839118958}, {'label': 'caring', 'score': 0.026197966188192368}, {'label': 'sadness', 'score': 0.023036710917949677}, {'label': 'joy', 'score': 0.0032733608968555927}, {'label': 'approval', 'score': 0.0032035373151302338}]
[{'label': 'neutral', 'score': 0.8991981744766235}, {'label': 'caring', 'score': 0.03933170437812805}, {'label': 'sadness', 'score': 0.025579359382390976}, {'label': 'joy', 'score': 0.010818775743246078}, {'label': 'approval', 'score': 0.006453246343880892}]
[{'label': 'neutral', 'score': 0.9319674372673035}, {'label': 'caring', 'score': 0.01923223026096821}, {'label': 'sadness', 'score': 0.01753058470785618}, {'label': 'joy', 'score': 0.010448683984577656}, {'label': 'approval', 'score': 0.004945043474435806}]
[{'label': 'neutral', 'score': 0.9262515306472778}, {'label': 'joy', 'score': 0.019295336678624153}, {'label': 'approval', 'score': 0.015579469501972198}, {'label': 'caring', 'score': 0.013462516479194164}, {'label': 'sadness', 'score': 0.007830062881112099}]
[{'label': 'neutral', 'score': 0.9435269832611084}, {'label': 'sadness', 'score': 0.018883123993873596}, {'label': 'caring', 'score': 0.013434875756502151}, {'label': 'approval', 'score': 0.008157298900187016}, {'label': 'optimism', 'score': 0.004457768518477678}]
[{'label': 'neutral', 'score': 0.956186830997467}, {'label': 'caring', 'score': 0.01393040455877781}, {'label': 'sadness', 'score': 0.012924246490001678}, {'label': 'optimism', 'score': 0.0035320117603987455}, {'label': 'remorse', 'score': 0.002044130815193057}]
[{'label': 'neutral', 'score': 0.972745954990387}, {'label': 'caring', 'score': 0.009643606841564178}, {'label': 'sadness', 'score': 0.0046851192601025105}, {'label': 'optimism', 'score': 0.004096750635653734}, {'label': 'remorse', 'score': 0.0015690341824665666}]
[{'label': 'neutral', 'score': 0.9729684591293335}, {'label': 'caring', 'score': 0.010523717850446701}, {'label': 'sadness', 'score': 0.004747978411614895}, {'label': 'optimism', 'score': 0.00356463436037302}, {'label': 'remorse', 'score': 0.001710195792838931}]
[{'label': 'neutral', 'score': 0.9612768888473511}, {'label': 'caring', 'score': 0.019477801397442818}, {'label': 'sadness', 'score': 0.005803151521831751}, {'label': 'optimism', 'score': 0.004653474316000938}, {'label': 'remorse', 'score': 0.001494009979069233}]
[{'label': 'neutral', 'score': 0.9469529986381531}, {'label': 'caring', 'score': 0.028971191495656967}, {'label': 'sadness', 'score': 0.00784057192504406}, {'label': 'optimism', 'score': 0.005550129804760218}, {'label': 'joy', 'score': 0.0017129738116636872}]
[{'label': 'neutral', 'score': 0.94737309217453}, {'label': 'caring', 'score': 0.0287934560328722}, {'label': 'sadness', 'score': 0.007469706702977419}, {'label': 'optimism', 'score': 0.005761235486716032}, {'label': 'joy', 'score': 0.0015957416035234928}]
[{'label': 'neutral', 'score': 0.9542337656021118}, {'label': 'caring', 'score': 0.022130725905299187}, {'label': 'sadness', 'score': 0.0072382595390081406}, {'label': 'optimism', 'score': 0.005249509587883949}, {'label': 'approval', 'score': 0.0016942393267527223}]
[{'label': 'neutral', 'score': 0.7935493588447571}, {'label': 'fear', 'score': 0.08565600216388702}, {'label': 'caring', 'score': 0.04015500098466873}, {'label': 'sadness', 'score': 0.028915124014019966}, {'label': 'approval', 'score': 0.013427680358290672}]
[{'label': 'neutral', 'score': 0.9638780951499939}, {'label': 'sadness', 'score': 0.0111128194257617}, {'label': 'caring', 'score': 0.010362043045461178}, {'label': 'fear', 'score': 0.005557157099246979}, {'label': 'approval', 'score': 0.001538034062832594}]
[{'label': 'neutral', 'score': 0.9650541543960571}, {'label': 'fear', 'score': 0.009005163796246052}, {'label': 'sadness', 'score': 0.008414149284362793}, {'label': 'caring', 'score': 0.007460703607648611}, {'label': 'approval', 'score': 0.002052132971584797}]
[{'label': 'neutral', 'score': 0.9622437357902527}, {'label': 'fear', 'score': 0.00928008183836937}, {'label': 'caring', 'score': 0.009153579361736774}, {'label': 'sadness', 'score': 0.008287720382213593}, {'label': 'approval', 'score': 0.0029683925677090883}]
[{'label': 'neutral', 'score': 0.9207042455673218}, {'label': 'fear', 'score': 0.029245074838399887}, {'label': 'sadness', 'score': 0.01845637522637844}, {'label': 'caring', 'score': 0.013910786248743534}, {'label': 'approval', 'score': 0.005144416820257902}]
[{'label': 'neutral', 'score': 0.7436014413833618}, {'label': 'fear', 'score': 0.17379222810268402}, {'label': 'sadness', 'score': 0.024401113390922546}, {'label': 'caring', 'score': 0.01999952830374241}, {'label': 'approval', 'score': 0.012785282917320728}]
[{'label': 'neutral', 'score': 0.7484477162361145}, {'label': 'fear', 'score': 0.16977792978286743}, {'label': 'sadness', 'score': 0.02067464217543602}, {'label': 'approval', 'score': 0.015507936477661133}, {'label': 'caring', 'score': 0.01316620409488678}]
[{'label': 'neutral', 'score': 0.9047355055809021}, {'label': 'fear', 'score': 0.04989573732018471}, {'label': 'sadness', 'score': 0.007917252369225025}, {'label': 'approval', 'score': 0.007845866493880749}, {'label': 'caring', 'score': 0.005794106516987085}]
[{'label': 'neutral', 'score': 0.9510921239852905}, {'label': 'fear', 'score': 0.019013915210962296}, {'label': 'caring', 'score': 0.007418380584567785}, {'label': 'approval', 'score': 0.006875395774841309}, {'label': 'optimism', 'score': 0.00481942854821682}]
[{'label': 'neutral', 'score': 0.961487352848053}, {'label': 'fear', 'score': 0.015513867139816284}, {'label': 'caring', 'score': 0.006287677679210901}, {'label': 'approval', 'score': 0.004836478736251593}, {'label': 'optimism', 'score': 0.00296587822958827}]
[{'label': 'neutral', 'score': 0.9786264896392822}, {'label': 'caring', 'score': 0.005770904012024403}, {'label': 'approval', 'score': 0.004039339255541563}, {'label': 'fear', 'score': 0.002862483961507678}, {'label': 'optimism', 'score': 0.0021399774122983217}]
[{'label': 'neutral', 'score': 0.9769022464752197}, {'label': 'sadness', 'score': 0.0063050296157598495}, {'label': 'caring', 'score': 0.0057443659752607346}, {'label': 'curiosity', 'score': 0.0027504104655236006}, {'label': 'remorse', 'score': 0.0018858757102862}]
[{'label': 'neutral', 'score': 0.978922963142395}, {'label': 'caring', 'score': 0.007946531288325787}, {'label': 'sadness', 'score': 0.0032867828849703074}, {'label': 'curiosity', 'score': 0.0015631257556378841}, {'label': 'remorse', 'score': 0.001494957017712295}]
[{'label': 'neutral', 'score': 0.9784036874771118}, {'label': 'caring', 'score': 0.008639323525130749}, {'label': 'sadness', 'score': 0.0032215744722634554}, {'label': 'remorse', 'score': 0.0014801601646468043}, {'label': 'curiosity', 'score': 0.0014343104558065534}]
[{'label': 'neutral', 'score': 0.9688225388526917}, {'label': 'caring', 'score': 0.012738854624330997}, {'label': 'fear', 'score': 0.003955776337534189}, {'label': 'sadness', 'score': 0.0033486862666904926}, {'label': 'approval', 'score': 0.0028911312110722065}]
[{'label': 'neutral', 'score': 0.9676088094711304}, {'label': 'caring', 'score': 0.01279447041451931}, {'label': 'sadness', 'score': 0.004476454108953476}, {'label': 'fear', 'score': 0.0038721575401723385}, {'label': 'approval', 'score': 0.0034747563768178225}]
[{'label': 'neutral', 'score': 0.9700294137001038}, {'label': 'caring', 'score': 0.010993046686053276}, {'label': 'fear', 'score': 0.005854895804077387}, {'label': 'approval', 'score': 0.0034812772646546364}, {'label': 'sadness', 'score': 0.0025423713959753513}]
[{'label': 'neutral', 'score': 0.9540426731109619}, {'label': 'fear', 'score': 0.016000375151634216}, {'label': 'caring', 'score': 0.01132573839277029}, {'label': 'approval', 'score': 0.006885598413646221}, {'label': 'sadness', 'score': 0.00274750217795372}]
[{'label': 'neutral', 'score': 0.898674488067627}, {'label': 'fear', 'score': 0.04608524963259697}, {'label': 'approval', 'score': 0.020446985960006714}, {'label': 'caring', 'score': 0.014620288275182247}, {'label': 'nervousness', 'score': 0.004345539957284927}]
[{'label': 'neutral', 'score': 0.8588950634002686}, {'label': 'fear', 'score': 0.08136935532093048}, {'label': 'approval', 'score': 0.020159829407930374}, {'label': 'caring', 'score': 0.01182260736823082}, {'label': 'nervousness', 'score': 0.006899342406541109}]
[{'label': 'neutral', 'score': 0.8336520791053772}, {'label': 'fear', 'score': 0.10458158701658249}, {'label': 'approval', 'score': 0.024325184524059296}, {'label': 'sadness', 'score': 0.008271771483123302}, {'label': 'caring', 'score': 0.006150576286017895}]
[{'label': 'neutral', 'score': 0.8394108414649963}, {'label': 'fear', 'score': 0.09660011529922485}, {'label': 'sadness', 'score': 0.017830466851592064}, {'label': 'approval', 'score': 0.014611019752919674}, {'label': 'caring', 'score': 0.012661532498896122}]
[{'label': 'neutral', 'score': 0.9211032390594482}, {'label': 'fear', 'score': 0.025120804086327553}, {'label': 'sadness', 'score': 0.02005821093916893}, {'label': 'caring', 'score': 0.01580512337386608}, {'label': 'approval', 'score': 0.004726611077785492}]
[{'label': 'neutral', 'score': 0.7893965840339661}, {'label': 'sadness', 'score': 0.11689233034849167}, {'label': 'fear', 'score': 0.036038924008607864}, {'label': 'caring', 'score': 0.014297544956207275}, {'label': 'disappointment', 'score': 0.011268377304077148}]
[{'label': 'neutral', 'score': 0.6806833148002625}, {'label': 'fear', 'score': 0.18808290362358093}, {'label': 'sadness', 'score': 0.04865607991814613}, {'label': 'annoyance', 'score': 0.018507691100239754}, {'label': 'disappointment', 'score': 0.0135799590498209}]
[{'label': 'neutral', 'score': 0.5347670912742615}, {'label': 'fear', 'score': 0.27923518419265747}, {'label': 'sadness', 'score': 0.043612007051706314}, {'label': 'approval', 'score': 0.03995293751358986}, {'label': 'annoyance', 'score': 0.027304785326123238}]
[{'label': 'neutral', 'score': 0.6481888890266418}, {'label': 'fear', 'score': 0.22078707814216614}, {'label': 'sadness', 'score': 0.04877737909555435}, {'label': 'annoyance', 'score': 0.017332615330815315}, {'label': 'disappointment', 'score': 0.012861923314630985}]
[{'label': 'neutral', 'score': 0.5142066478729248}, {'label': 'fear', 'score': 0.18852294981479645}, {'label': 'approval', 'score': 0.08935417979955673}, {'label': 'sadness', 'score': 0.07906478643417358}, {'label': 'disgust', 'score': 0.021560033783316612}]
[{'label': 'fear', 'score': 0.44642895460128784}, {'label': 'neutral', 'score': 0.270756334066391}, {'label': 'sadness', 'score': 0.1444796770811081}, {'label': 'approval', 'score': 0.031153980642557144}, {'label': 'disappointment', 'score': 0.02145039476454258}]
[{'label': 'fear', 'score': 0.4443601667881012}, {'label': 'neutral', 'score': 0.2721715271472931}, {'label': 'sadness', 'score': 0.13834069669246674}, {'label': 'approval', 'score': 0.03515121340751648}, {'label': 'disappointment', 'score': 0.021518805995583534}]
[{'label': 'neutral', 'score': 0.6179799437522888}, {'label': 'sadness', 'score': 0.1649150401353836}, {'label': 'fear', 'score': 0.04610079154372215}, {'label': 'annoyance', 'score': 0.03979804739356041}, {'label': 'disappointment', 'score': 0.03465363383293152}]
[{'label': 'neutral', 'score': 0.7712242007255554}, {'label': 'sadness', 'score': 0.12180988490581512}, {'label': 'disappointment', 'score': 0.02131648175418377}, {'label': 'annoyance', 'score': 0.018216339871287346}, {'label': 'fear', 'score': 0.013120866380631924}]
[{'label': 'neutral', 'score': 0.7928130030632019}, {'label': 'sadness', 'score': 0.08920435607433319}, {'label': 'annoyance', 'score': 0.022583147510886192}, {'label': 'disappointment', 'score': 0.02025633119046688}, {'label': 'caring', 'score': 0.016890976577997208}]
[{'label': 'neutral', 'score': 0.7939234375953674}, {'label': 'sadness', 'score': 0.06149587407708168}, {'label': 'caring', 'score': 0.028244340792298317}, {'label': 'approval', 'score': 0.020659873262047768}, {'label': 'annoyance', 'score': 0.018182218074798584}]
[{'label': 'neutral', 'score': 0.8100324869155884}, {'label': 'sadness', 'score': 0.04334850609302521}, {'label': 'annoyance', 'score': 0.03235437721014023}, {'label': 'disappointment', 'score': 0.021008357405662537}, {'label': 'approval', 'score': 0.01489219255745411}]
[{'label': 'neutral', 'score': 0.9181718230247498}, {'label': 'approval', 'score': 0.014251341111958027}, {'label': 'annoyance', 'score': 0.009618815965950489}, {'label': 'caring', 'score': 0.009257910773158073}, {'label': 'fear', 'score': 0.00815234798938036}]
[{'label': 'neutral', 'score': 0.574070155620575}, {'label': 'fear', 'score': 0.20966686308383942}, {'label': 'approval', 'score': 0.06921537220478058}, {'label': 'disgust', 'score': 0.0385422483086586}, {'label': 'disapproval', 'score': 0.025036215782165527}]
[{'label': 'neutral', 'score': 0.8747317790985107}, {'label': 'fear', 'score': 0.027538998052477837}, {'label': 'disapproval', 'score': 0.015461621806025505}, {'label': 'disappointment', 'score': 0.014498813077807426}, {'label': 'sadness', 'score': 0.014111930504441261}]
[{'label': 'neutral', 'score': 0.9060878157615662}, {'label': 'approval', 'score': 0.016912169754505157}, {'label': 'fear', 'score': 0.01572274975478649}, {'label': 'disapproval', 'score': 0.010771962814033031}, {'label': 'caring', 'score': 0.009849245660007}]
[{'label': 'neutral', 'score': 0.9299815893173218}, {'label': 'caring', 'score': 0.016654811799526215}, {'label': 'approval', 'score': 0.014756934717297554}, {'label': 'sadness', 'score': 0.0074005951173603535}, {'label': 'disappointment', 'score': 0.0051911575719714165}]
[{'label': 'neutral', 'score': 0.9472207427024841}, {'label': 'caring', 'score': 0.013459806330502033}, {'label': 'approval', 'score': 0.009689836762845516}, {'label': 'sadness', 'score': 0.007829329930245876}, {'label': 'disappointment', 'score': 0.00387556292116642}]
[{'label': 'neutral', 'score': 0.9378566145896912}, {'label': 'sadness', 'score': 0.017781076952815056}, {'label': 'caring', 'score': 0.011813311837613583}, {'label': 'disappointment', 'score': 0.005537257995456457}, {'label': 'approval', 'score': 0.0046602776274085045}]
[{'label': 'neutral', 'score': 0.9295489192008972}, {'label': 'sadness', 'score': 0.014280606992542744}, {'label': 'caring', 'score': 0.011820744723081589}, {'label': 'disapproval', 'score': 0.008496630936861038}, {'label': 'approval', 'score': 0.006339038256555796}]
[{'label': 'neutral', 'score': 0.8722041845321655}, {'label': 'disapproval', 'score': 0.026692360639572144}, {'label': 'approval', 'score': 0.020811138674616814}, {'label': 'annoyance', 'score': 0.014480243436992168}, {'label': 'disgust', 'score': 0.011768913827836514}]
[{'label': 'neutral', 'score': 0.8624614477157593}, {'label': 'approval', 'score': 0.03591916337609291}, {'label': 'disapproval', 'score': 0.028447531163692474}, {'label': 'annoyance', 'score': 0.01416616141796112}, {'label': 'fear', 'score': 0.010951287113130093}]
[{'label': 'neutral', 'score': 0.9165905117988586}, {'label': 'approval', 'score': 0.019243407994508743}, {'label': 'disapproval', 'score': 0.010449967347085476}, {'label': 'sadness', 'score': 0.009988303296267986}, {'label': 'fear', 'score': 0.009449073113501072}]
[{'label': 'neutral', 'score': 0.9050484299659729}, {'label': 'approval', 'score': 0.024853289127349854}, {'label': 'fear', 'score': 0.022936828434467316}, {'label': 'sadness', 'score': 0.009425470605492592}, {'label': 'disapproval', 'score': 0.006494519300758839}]
[{'label': 'neutral', 'score': 0.7947538495063782}, {'label': 'fear', 'score': 0.10893668979406357}, {'label': 'approval', 'score': 0.03705032914876938}, {'label': 'sadness', 'score': 0.01081310585141182}, {'label': 'disappointment', 'score': 0.008083825930953026}]
[{'label': 'neutral', 'score': 0.9852973818778992}, {'label': 'approval', 'score': 0.0031355370301753283}, {'label': 'optimism', 'score': 0.0028069016989320517}, {'label': 'caring', 'score': 0.00205436535179615}, {'label': 'sadness', 'score': 0.001503056031651795}]
[{'label': 'neutral', 'score': 0.9825650453567505}, {'label': 'approval', 'score': 0.0034869620576500893}, {'label': 'optimism', 'score': 0.002427753759548068}, {'label': 'caring', 'score': 0.002363956067711115}, {'label': 'sadness', 'score': 0.0018534583505243063}]
[{'label': 'neutral', 'score': 0.8338419198989868}, {'label': 'fear', 'score': 0.07739879190921783}, {'label': 'disapproval', 'score': 0.014255662448704243}, {'label': 'sadness', 'score': 0.013468208722770214}, {'label': 'annoyance', 'score': 0.010826751589775085}]
[{'label': 'neutral', 'score': 0.8169438242912292}, {'label': 'fear', 'score': 0.10389523953199387}, {'label': 'approval', 'score': 0.015136332251131535}, {'label': 'disapproval', 'score': 0.011818348430097103}, {'label': 'sadness', 'score': 0.011407401412725449}]
[{'label': 'neutral', 'score': 0.8940442800521851}, {'label': 'approval', 'score': 0.03536093980073929}, {'label': 'fear', 'score': 0.03217313066124916}, {'label': 'disapproval', 'score': 0.007452905178070068}, {'label': 'sadness', 'score': 0.006263290997594595}]
[{'label': 'neutral', 'score': 0.9800042510032654}, {'label': 'approval', 'score': 0.004604441113770008}, {'label': 'caring', 'score': 0.0025881710462272167}, {'label': 'annoyance', 'score': 0.0021467742044478655}, {'label': 'fear', 'score': 0.001976524479687214}]
[{'label': 'neutral', 'score': 0.9770696759223938}, {'label': 'approval', 'score': 0.004088382702320814}, {'label': 'fear', 'score': 0.0028766803443431854}, {'label': 'annoyance', 'score': 0.0027081675361841917}, {'label': 'optimism', 'score': 0.002013471210375428}]
